session_id,week,cohort,rank_1_listing_tier,budget_in_top5_pct,time_to_first_click_seconds,scroll_depth_pct,filters_applied,premium_filter_available
182,1,Mission,premium,0.152,11,0.342,0,True
183,1,Mission,premium,0.157,10,0.346,0,True
184,1,Mission,luxury,0.13,10,0.409,0,True
185,1,Mission,mid,0.134,9,0.4,0,True
186,1,Mission,mid,0.158,11,0.391,0,True
187,1,Mission,premium,0.132,12,0.344,0,True
188,1,Mission,premium,0.118,12,0.415,0,True
189,1,Mission,mid,0.122,12,0.371,0,True
190,1,Mission,mid,0.169,10,0.345,0,True
191,1,Mission,premium,0.14,10,0.398,0,True
192,1,Mission,premium,0.126,11,0.387,0,True
193,1,Mission,mid,0.155,11,0.333,0,True
194,1,Mission,premium,0.155,9,0.37,0,True
195,1,Mission,luxury,0.144,9,0.372,0,True
196,1,Mission,luxury,0.165,10,0.411,0,True
197,1,Mission,mid,0.17,10,0.42,0,True
198,1,Mission,mid,0.167,11,0.405,0,True
199,1,Mission,premium,0.16,12,0.344,0,True
200,1,Mission,mid,0.136,11,0.41,0,True
201,1,Mission,premium,0.144,11,0.373,0,True
202,1,Mission,mid,0.114,12,0.368,1,True
203,1,Mission,premium,0.169,11,0.363,0,True
204,1,Mission,premium,0.123,8,0.379,1,True
205,1,Mission,luxury,0.137,9,0.337,0,True
206,1,Mission,mid,0.151,10,0.411,0,True
207,1,Mission,mid,0.17,9,0.334,0,True
208,1,Mission,premium,0.113,12,0.389,0,True
209,1,Mission,luxury,0.147,9,0.428,0,True
210,1,Mission,premium,0.155,8,0.362,1,True
211,1,Mission,mid,0.126,8,0.365,0,True
212,1,Mission,premium,0.157,12,0.363,0,True
213,1,Mission,mid,0.162,8,0.396,0,True
214,1,Mission,mid,0.165,10,0.358,0,True
215,1,Mission,mid,0.159,12,0.389,0,True
216,1,Mission,premium,0.113,9,0.404,0,True
217,1,Mission,mid,0.157,11,0.391,0,True
218,1,Mission,premium,0.123,12,0.398,0,True
219,1,Mission,premium,0.12,11,0.412,0,True
220,1,Mission,mid,0.163,11,0.382,0,True
221,1,Mission,premium,0.161,11,0.391,1,True
222,1,Mission,mid,0.147,9,0.33,0,True
223,1,Mission,luxury,0.13,9,0.331,0,True
224,1,Mission,luxury,0.143,10,0.347,1,True
225,1,Mission,premium,0.119,12,0.389,0,True
226,1,Mission,luxury,0.169,12,0.36,0,True
227,1,Mission,premium,0.128,12,0.366,0,True
228,1,Mission,premium,0.139,9,0.396,0,True
229,1,Mission,premium,0.134,9,0.343,0,True
230,1,Mission,premium,0.151,9,0.379,0,True
231,1,Mission,luxury,0.125,12,0.344,0,True
232,1,Mission,mid,0.142,11,0.355,0,True
233,1,Mission,premium,0.154,12,0.401,0,True
234,1,Mission,luxury,0.125,9,0.406,0,True
235,1,Mission,premium,0.161,11,0.335,0,True
236,1,Mission,mid,0.124,10,0.423,0,True
237,1,Mission,luxury,0.144,9,0.355,0,True
238,1,Mission,premium,0.164,10,0.406,1,True
239,1,Mission,premium,0.118,12,0.344,0,True
240,1,Mission,mid,0.143,10,0.374,0,True
241,1,Mission,premium,0.156,12,0.349,0,True
242,1,Mission,premium,0.17,11,0.408,0,True
243,1,Mission,mid,0.132,11,0.391,0,True
244,1,Mission,premium,0.127,12,0.388,1,True
245,1,Mission,mid,0.138,9,0.417,0,True
246,1,Mission,mid,0.147,10,0.359,0,True
247,1,Mission,luxury,0.12,10,0.374,0,True
248,1,Mission,mid,0.111,10,0.421,0,True
249,1,Mission,premium,0.152,11,0.354,1,True
250,1,Mission,mid,0.141,9,0.351,0,True
251,1,Mission,mid,0.133,12,0.339,0,True
252,1,Mission,mid,0.163,9,0.423,0,True
253,1,Mission,premium,0.112,10,0.417,0,True
254,1,Mission,mid,0.161,11,0.407,0,True
255,1,Mission,luxury,0.147,11,0.333,0,True
256,1,Mission,mid,0.164,9,0.37,0,True
257,1,Mission,premium,0.143,12,0.38,0,True
258,1,Mission,luxury,0.142,11,0.378,0,True
259,1,Mission,mid,0.153,10,0.41,0,True
260,1,Mission,mid,0.158,9,0.406,0,True
261,1,Mission,mid,0.117,9,0.419,0,True
262,1,Mission,premium,0.143,9,0.405,0,True
263,1,Mission,premium,0.127,12,0.356,0,True
264,1,Mission,premium,0.118,9,0.411,0,True
265,1,Mission,luxury,0.153,12,0.354,0,True
266,1,Mission,premium,0.133,10,0.383,0,True
267,1,Mission,premium,0.152,10,0.344,1,True
268,1,Mission,luxury,0.166,9,0.351,0,True
269,1,Mission,mid,0.145,12,0.376,0,True
270,1,Mission,luxury,0.15,9,0.385,0,True
271,1,Mission,luxury,0.14,11,0.334,0,True
272,1,Mission,premium,0.123,9,0.422,0,True
273,1,Mission,premium,0.123,9,0.348,1,True
274,1,Mission,mid,0.149,12,0.407,0,True
275,1,Mission,premium,0.16,9,0.382,0,True
276,1,Mission,premium,0.125,12,0.366,0,True
277,1,Mission,mid,0.158,10,0.368,0,True
278,1,Mission,mid,0.139,13,0.428,0,True
279,1,Mission,mid,0.136,11,0.403,0,True
280,1,Mission,mid,0.156,12,0.351,0,True
281,1,Mission,luxury,0.151,10,0.421,0,True
282,1,Mission,premium,0.117,12,0.401,0,True
283,1,Mission,premium,0.149,9,0.392,0,True
284,1,Mission,luxury,0.113,12,0.36,0,True
285,1,Mission,premium,0.114,11,0.427,0,True
286,1,Mission,luxury,0.168,11,0.345,0,True
287,1,Mission,premium,0.143,11,0.383,0,True
288,1,Mission,mid,0.164,10,0.415,0,True
289,1,Mission,premium,0.163,11,0.426,0,True
290,1,Mission,mid,0.111,8,0.372,0,True
291,1,Mission,mid,0.155,9,0.348,1,True
292,1,Mission,mid,0.14,12,0.339,1,True
293,1,Mission,luxury,0.134,10,0.39,1,True
294,1,Mission,premium,0.13,12,0.374,1,True
295,1,Mission,luxury,0.155,9,0.415,0,True
296,1,Mission,premium,0.156,8,0.345,0,True
297,1,Mission,luxury,0.14,11,0.388,0,True
298,1,Mission,mid,0.117,9,0.415,0,True
299,1,Mission,mid,0.12,10,0.342,0,True
300,1,Mission,luxury,0.163,12,0.413,0,True
301,1,Mission,premium,0.114,11,0.361,0,True
302,1,Mission,mid,0.165,10,0.382,0,True
303,1,Mission,mid,0.157,11,0.404,0,True
304,1,Mission,mid,0.114,10,0.371,0,True
305,1,Mission,premium,0.161,12,0.387,0,True
306,1,Mission,luxury,0.118,9,0.391,1,True
307,1,Mission,premium,0.151,11,0.377,0,True
308,1,Mission,premium,0.147,9,0.429,0,True
309,1,Mission,mid,0.134,10,0.425,0,True
310,1,Mission,luxury,0.151,12,0.407,1,True
311,1,Mission,luxury,0.149,10,0.345,0,True
312,1,Mission,luxury,0.11,10,0.429,0,True
313,1,Mission,mid,0.143,9,0.368,0,True
314,1,Mission,premium,0.112,11,0.379,1,True
315,1,Mission,luxury,0.116,10,0.392,0,True
316,1,Mission,premium,0.113,12,0.393,0,True
317,1,Mission,mid,0.132,9,0.409,0,True
318,1,Mission,luxury,0.166,10,0.381,0,True
319,1,Mission,premium,0.114,9,0.422,0,True
320,1,Mission,mid,0.127,11,0.352,0,True
321,1,Mission,mid,0.16,8,0.415,0,True
322,1,Mission,premium,0.144,11,0.427,0,True
323,1,Mission,mid,0.12,10,0.369,0,True
324,1,Mission,premium,0.155,10,0.387,0,True
325,1,Mission,mid,0.138,10,0.411,0,True
326,1,Mission,premium,0.153,11,0.335,0,True
327,1,Mission,luxury,0.16,13,0.366,0,True
328,1,Mission,premium,0.115,8,0.359,0,True
329,1,Mission,mid,0.158,11,0.38,0,True
330,1,Mission,mid,0.113,13,0.415,0,True
331,1,Mission,luxury,0.155,10,0.34,0,True
332,1,Mission,premium,0.132,12,0.359,0,True
333,1,Mission,mid,0.127,10,0.364,0,True
334,1,Mission,mid,0.159,10,0.354,0,True
335,1,Mission,premium,0.153,12,0.355,0,True
336,1,Mission,mid,0.16,9,0.402,0,True
337,1,Mission,mid,0.113,10,0.371,0,True
338,1,Mission,premium,0.137,9,0.36,0,True
339,1,Mission,premium,0.127,9,0.409,0,True
340,1,Mission,mid,0.115,12,0.375,0,True
341,1,Mission,mid,0.118,12,0.386,0,True
342,1,Mission,mid,0.118,8,0.348,0,True
343,1,Mission,luxury,0.144,9,0.339,0,True
344,1,Mission,mid,0.142,10,0.337,0,True
345,1,Mission,premium,0.137,11,0.347,1,True
346,1,Mission,mid,0.167,12,0.347,0,True
347,1,Mission,premium,0.128,12,0.366,1,True
348,1,Mission,luxury,0.166,10,0.389,0,True
349,1,Mission,mid,0.165,9,0.372,0,True
350,1,Mission,mid,0.117,11,0.38,1,True
351,1,DealSeeker,premium,0.532,11,0.374,0,True
352,1,DealSeeker,luxury,0.517,16,0.355,0,True
353,1,DealSeeker,mid,0.517,15,0.429,0,True
354,1,DealSeeker,luxury,0.536,13,0.397,0,True
355,1,DealSeeker,premium,0.512,11,0.385,0,True
356,1,DealSeeker,premium,0.521,13,0.406,0,True
357,1,DealSeeker,premium,0.512,14,0.334,0,True
358,1,DealSeeker,mid,0.492,16,0.393,0,True
359,1,DealSeeker,mid,0.503,15,0.422,0,True
360,1,DealSeeker,premium,0.495,13,0.372,0,True
361,1,DealSeeker,luxury,0.523,11,0.382,0,True
362,1,DealSeeker,premium,0.52,14,0.373,0,True
363,1,DealSeeker,premium,0.53,14,0.411,0,True
364,1,DealSeeker,mid,0.49,15,0.361,0,True
365,1,DealSeeker,premium,0.5,14,0.409,0,True
366,1,DealSeeker,mid,0.531,13,0.375,0,True
367,1,DealSeeker,premium,0.539,14,0.365,0,True
368,1,DealSeeker,mid,0.51,14,0.349,0,True
369,1,DealSeeker,mid,0.501,16,0.339,0,True
370,1,DealSeeker,premium,0.512,15,0.422,0,True
371,1,DealSeeker,mid,0.486,15,0.397,1,True
372,1,DealSeeker,mid,0.513,15,0.406,0,True
373,1,DealSeeker,premium,0.512,15,0.376,0,True
374,1,DealSeeker,mid,0.522,15,0.359,0,True
375,1,DealSeeker,premium,0.519,16,0.383,0,True
376,1,DealSeeker,luxury,0.513,15,0.374,0,True
377,1,DealSeeker,mid,0.527,12,0.364,0,True
378,1,DealSeeker,premium,0.497,12,0.336,0,True
379,1,DealSeeker,mid,0.482,11,0.382,0,True
380,1,DealSeeker,mid,0.511,15,0.356,0,True
381,1,DealSeeker,premium,0.496,14,0.42,0,True
382,1,DealSeeker,premium,0.484,11,0.39,0,True
383,1,DealSeeker,luxury,0.481,11,0.426,1,True
384,1,DealSeeker,luxury,0.507,16,0.347,0,True
385,1,DealSeeker,premium,0.521,13,0.409,0,True
386,1,DealSeeker,luxury,0.525,14,0.421,1,True
387,1,DealSeeker,mid,0.531,13,0.36,0,True
388,1,DealSeeker,mid,0.501,13,0.42,0,True
389,1,DealSeeker,mid,0.499,14,0.332,1,True
390,1,DealSeeker,premium,0.525,11,0.406,0,True
391,1,DealSeeker,premium,0.518,16,0.379,0,True
392,1,DealSeeker,premium,0.486,14,0.361,0,True
393,1,DealSeeker,premium,0.5,12,0.416,0,True
394,1,DealSeeker,mid,0.508,12,0.367,1,True
395,1,DealSeeker,mid,0.534,12,0.392,0,True
396,1,DealSeeker,mid,0.536,12,0.359,0,True
397,1,DealSeeker,premium,0.486,15,0.397,1,True
398,1,DealSeeker,luxury,0.481,14,0.358,0,True
399,1,DealSeeker,luxury,0.529,12,0.339,0,True
400,1,DealSeeker,premium,0.531,16,0.423,0,True
401,1,DealSeeker,mid,0.496,12,0.374,1,True
402,1,DealSeeker,mid,0.513,16,0.341,0,True
403,1,DealSeeker,mid,0.502,12,0.411,0,True
404,1,DealSeeker,mid,0.518,11,0.406,0,True
405,1,DealSeeker,premium,0.53,12,0.425,0,True
406,1,DealSeeker,mid,0.49,14,0.394,0,True
407,1,DealSeeker,luxury,0.508,15,0.395,0,True
408,1,DealSeeker,premium,0.484,14,0.365,0,True
409,1,DealSeeker,premium,0.508,12,0.383,0,True
410,1,DealSeeker,premium,0.536,15,0.376,0,True
411,1,DealSeeker,mid,0.512,12,0.385,0,True
412,1,DealSeeker,premium,0.494,13,0.411,0,True
413,1,DealSeeker,mid,0.507,14,0.422,0,True
414,1,DealSeeker,luxury,0.496,12,0.335,0,True
415,1,DealSeeker,premium,0.506,11,0.361,0,True
416,1,DealSeeker,premium,0.533,14,0.398,0,True
417,1,DealSeeker,premium,0.515,12,0.38,0,True
418,1,DealSeeker,luxury,0.524,14,0.343,0,True
419,1,DealSeeker,mid,0.496,16,0.347,1,True
420,1,DealSeeker,luxury,0.528,11,0.349,0,True
421,1,DealSeeker,premium,0.49,14,0.345,0,True
422,1,DealSeeker,premium,0.53,15,0.379,0,True
423,1,DealSeeker,premium,0.505,11,0.348,1,True
424,1,DealSeeker,premium,0.49,11,0.393,0,True
425,1,DealSeeker,luxury,0.537,11,0.378,0,True
426,1,DealSeeker,mid,0.519,14,0.379,0,True
427,1,DealSeeker,luxury,0.491,13,0.382,0,True
428,1,DealSeeker,premium,0.525,15,0.387,0,True
429,1,DealSeeker,luxury,0.493,13,0.334,0,True
430,1,DealSeeker,mid,0.528,14,0.38,0,True
431,1,DealSeeker,mid,0.487,13,0.368,0,True
432,1,DealSeeker,mid,0.488,16,0.416,0,True
433,1,DealSeeker,mid,0.505,13,0.406,1,True
434,1,DealSeeker,mid,0.505,14,0.4,1,True
435,1,DealSeeker,mid,0.512,13,0.398,0,True
436,1,DealSeeker,luxury,0.524,16,0.339,0,True
437,1,DealSeeker,mid,0.518,13,0.412,0,True
438,1,DealSeeker,premium,0.525,16,0.339,0,True
439,1,DealSeeker,premium,0.496,16,0.38,0,True
440,1,DealSeeker,mid,0.515,15,0.419,0,True
441,1,DealSeeker,premium,0.513,13,0.414,0,True
442,1,DealSeeker,mid,0.539,11,0.338,0,True
443,1,DealSeeker,mid,0.492,12,0.415,0,True
444,1,DealSeeker,luxury,0.527,11,0.398,0,True
445,1,DealSeeker,mid,0.513,13,0.356,0,True
446,1,DealSeeker,premium,0.511,14,0.377,0,True
447,1,DealSeeker,mid,0.536,13,0.415,0,True
448,1,DealSeeker,premium,0.51,11,0.39,0,True
449,1,DealSeeker,premium,0.53,16,0.36,0,True
450,1,DealSeeker,premium,0.522,11,0.353,0,True
451,1,DealSeeker,mid,0.488,14,0.383,0,True
452,1,DealSeeker,mid,0.52,14,0.414,0,True
453,1,DealSeeker,premium,0.523,15,0.408,1,True
454,1,DealSeeker,luxury,0.481,12,0.404,0,True
455,1,DealSeeker,luxury,0.512,11,0.381,1,True
456,1,DealSeeker,premium,0.523,14,0.409,0,True
457,1,DealSeeker,mid,0.513,14,0.342,0,True
458,1,DealSeeker,premium,0.538,12,0.422,0,True
459,1,DealSeeker,mid,0.489,11,0.353,0,True
460,1,DealSeeker,mid,0.527,13,0.345,0,True
461,1,DealSeeker,mid,0.48,14,0.346,0,True
462,1,DealSeeker,mid,0.489,16,0.363,0,True
463,1,DealSeeker,premium,0.525,15,0.395,0,True
464,1,DealSeeker,premium,0.52,13,0.409,0,True
465,1,DealSeeker,mid,0.513,14,0.363,0,True
466,1,DealSeeker,mid,0.501,11,0.355,0,True
467,1,DealSeeker,mid,0.493,14,0.382,0,True
468,1,DealSeeker,mid,0.526,12,0.409,0,True
469,1,DealSeeker,premium,0.496,13,0.414,0,True
470,1,DealSeeker,premium,0.52,13,0.331,0,True
471,1,DealSeeker,premium,0.511,14,0.381,1,True
472,1,DealSeeker,mid,0.539,16,0.353,0,True
473,1,DealSeeker,premium,0.517,12,0.36,0,True
474,1,DealSeeker,premium,0.507,12,0.418,0,True
475,1,DealSeeker,luxury,0.507,14,0.364,0,True
476,1,DealSeeker,mid,0.512,15,0.413,0,True
477,1,DealSeeker,premium,0.486,14,0.351,0,True
478,1,DealSeeker,luxury,0.529,16,0.353,0,True
479,1,DealSeeker,luxury,0.495,15,0.414,0,True
480,1,DealSeeker,mid,0.525,11,0.43,1,True
481,1,DealSeeker,mid,0.528,14,0.36,0,True
482,1,DealSeeker,premium,0.527,16,0.33,0,True
483,1,DealSeeker,mid,0.534,11,0.413,0,True
484,1,DealSeeker,premium,0.521,16,0.335,0,True
485,1,DealSeeker,premium,0.491,13,0.379,0,True
486,1,DealSeeker,luxury,0.484,14,0.344,0,True
487,1,DealSeeker,premium,0.519,13,0.338,0,True
488,1,DealSeeker,mid,0.505,14,0.346,0,True
489,1,DealSeeker,premium,0.538,14,0.399,0,True
490,1,DealSeeker,mid,0.515,13,0.417,0,True
491,1,DealSeeker,premium,0.53,16,0.404,0,True
492,1,DealSeeker,mid,0.531,14,0.37,0,True
493,1,DealSeeker,premium,0.512,16,0.337,0,True
494,1,DealSeeker,mid,0.492,12,0.38,0,True
495,1,DealSeeker,luxury,0.511,16,0.413,0,True
496,1,DealSeeker,premium,0.487,13,0.402,0,True
497,1,DealSeeker,luxury,0.482,14,0.393,0,True
498,1,DealSeeker,mid,0.498,15,0.354,1,True
499,1,DealSeeker,premium,0.532,15,0.331,0,True
500,1,DealSeeker,premium,0.488,15,0.333,0,True
501,1,DealSeeker,premium,0.504,16,0.375,0,True
502,1,DealSeeker,luxury,0.484,12,0.426,0,True
503,1,DealSeeker,mid,0.494,13,0.342,0,True
504,1,DealSeeker,luxury,0.532,13,0.348,0,True
505,1,DealSeeker,premium,0.503,11,0.38,0,True
506,1,DealSeeker,premium,0.503,15,0.343,0,True
507,1,DealSeeker,premium,0.487,16,0.337,0,True
508,1,DealSeeker,mid,0.501,13,0.409,0,True
509,1,DealSeeker,premium,0.508,12,0.353,0,True
510,1,DealSeeker,mid,0.481,13,0.406,0,True
511,1,DealSeeker,mid,0.522,13,0.374,0,True
512,1,DealSeeker,premium,0.494,15,0.403,0,True
513,1,DealSeeker,premium,0.52,15,0.347,0,True
514,1,DealSeeker,premium,0.49,11,0.426,1,True
515,1,DealSeeker,mid,0.492,14,0.367,0,True
516,1,DealSeeker,premium,0.518,12,0.412,0,True
517,1,DealSeeker,luxury,0.484,13,0.362,0,True
518,1,DealSeeker,mid,0.491,16,0.368,0,True
519,1,DealSeeker,luxury,0.516,16,0.373,0,True
520,1,DealSeeker,mid,0.534,15,0.332,0,True
521,1,DealSeeker,premium,0.534,15,0.424,0,True
522,1,DealSeeker,mid,0.511,11,0.33,0,True
523,1,DealSeeker,mid,0.526,16,0.388,0,True
524,1,DealSeeker,premium,0.481,13,0.394,0,True
525,1,DealSeeker,premium,0.522,12,0.373,0,True
526,1,DealSeeker,premium,0.539,13,0.33,0,True
527,1,DealSeeker,mid,0.5,14,0.357,0,True
528,1,DealSeeker,mid,0.511,14,0.404,0,True
529,1,DealSeeker,mid,0.502,16,0.35,0,True
