user_id,cohort,tenure_days,acquisition_channel,city_tier,avg_booking_value,joined_week
169,HVT,182,organic,tier2,651.37,4
170,HVT,332,organic,resort,602.69,4
171,HVT,646,organic,tier1,665.54,2
172,HVT,765,organic,tier1,653.2,4
173,HVT,224,organic,resort,638.29,4
174,HVT,575,direct,resort,663.96,2
175,HVT,694,organic,tier1,655.0,4
176,HVT,282,organic,tier1,640.0,4
177,HVT,850,direct,tier1,614.98,3
178,HVT,526,organic,tier1,652.78,4
179,HVT,504,organic,tier1,629.61,2
180,HVT,826,organic,tier1,642.4,4
181,HVT,280,direct,resort,585.01,3
182,HVT,209,direct,tier2,647.28,3
183,HVT,547,organic,resort,582.95,4
184,HVT,759,direct,tier1,585.87,4
185,HVT,814,direct,resort,658.82,2
186,HVT,417,organic,tier2,614.0,1
187,HVT,656,organic,tier1,575.86,3
188,HVT,781,organic,resort,636.82,4
189,HVT,489,direct,resort,652.94,1
190,HVT,422,organic,tier2,625.4,3
191,HVT,202,organic,tier2,569.36,1
192,HVT,800,organic,tier2,645.27,2
193,HVT,801,organic,tier1,631.51,3
194,HVT,874,direct,tier1,657.89,1
195,HVT,496,organic,tier1,625.87,2
196,HVT,272,organic,tier2,642.47,2
197,HVT,385,direct,tier2,621.05,3
198,HVT,348,organic,resort,664.21,3
199,HVT,526,direct,resort,663.77,2
200,HVT,411,organic,tier2,577.49,4
201,HVT,194,organic,tier1,613.53,3
202,HVT,778,organic,tier2,579.27,2
203,HVT,662,direct,tier2,659.06,2
204,HVT,843,direct,resort,658.48,3
205,HVT,844,organic,tier1,582.38,1
206,HVT,491,organic,tier1,578.17,2
207,HVT,577,organic,tier2,634.86,4
208,HVT,781,direct,resort,633.32,4
209,HVT,810,organic,tier2,571.79,3
210,HVT,402,organic,resort,662.55,3
211,HVT,281,organic,tier2,574.55,3
212,HVT,374,direct,resort,577.62,2
213,HVT,837,direct,tier1,646.36,2
214,HVT,308,direct,tier1,650.61,2
215,HVT,780,direct,tier1,601.05,2
216,HVT,790,direct,tier2,653.44,2
217,HVT,313,organic,tier1,579.43,1
218,HVT,314,direct,tier2,646.67,2
219,HVT,782,organic,tier1,585.79,1
220,HVT,309,organic,tier1,642.29,4
221,HVT,639,organic,tier1,613.25,2
222,HVT,809,direct,tier2,613.85,1
223,HVT,242,organic,resort,610.71,1
224,HVT,682,organic,tier1,657.48,3
225,HVT,802,direct,tier1,581.04,3
226,HVT,570,organic,resort,618.55,4
227,HVT,281,direct,tier1,611.09,2
228,HVT,603,organic,resort,607.99,1
229,HVT,500,organic,tier2,634.33,3
230,HVT,336,organic,tier1,577.58,1
231,HVT,275,organic,tier1,642.18,3
232,HVT,313,direct,tier2,634.81,4
233,HVT,542,organic,tier1,664.32,3
234,HVT,540,direct,tier1,583.86,4
235,HVT,409,direct,tier2,652.15,3
236,HVT,297,organic,tier1,648.38,1
237,HVT,803,organic,tier1,586.4,3
238,HVT,527,organic,tier1,586.5,2
239,HVT,759,organic,tier1,582.59,1
240,HVT,273,direct,resort,610.07,3
241,HVT,341,organic,tier2,639.91,1
242,HVT,233,direct,tier1,643.16,1
243,HVT,870,direct,tier2,612.38,4
244,HVT,677,organic,resort,595.57,1
245,HVT,533,organic,tier1,596.57,4
246,HVT,719,organic,tier1,590.36,1
247,HVT,187,direct,tier2,662.03,2
248,HVT,441,organic,tier2,580.42,4
249,HVT,620,direct,tier1,606.15,2
250,HVT,692,organic,tier1,607.82,1
251,HVT,626,direct,resort,659.64,3
252,HVT,769,organic,resort,638.72,4
253,HVT,476,direct,resort,570.62,3
254,HVT,355,organic,tier2,577.27,1
255,HVT,429,organic,resort,620.37,4
256,HVT,497,organic,tier1,601.49,2
257,HVT,258,direct,tier1,658.14,3
258,HVT,539,direct,tier1,578.73,3
259,HVT,382,direct,tier1,643.73,1
260,HVT,361,organic,resort,643.16,4
261,HVT,877,organic,tier2,583.49,1
262,HVT,660,organic,tier2,647.3,1
263,HVT,540,direct,tier2,614.22,1
264,HVT,238,organic,tier2,576.15,1
265,HVT,809,organic,resort,625.94,1
266,HVT,640,direct,tier2,628.38,2
267,HVT,243,organic,tier1,648.75,3
268,HVT,266,direct,tier1,593.06,4
269,HVT,629,direct,tier2,605.43,3
270,HVT,576,organic,tier2,635.69,1
271,HVT,826,organic,tier1,601.16,4
272,HVT,470,organic,tier1,601.52,2
273,HVT,538,organic,resort,581.31,1
274,HVT,497,organic,tier2,648.97,1
275,HVT,841,organic,tier2,570.36,3
276,HVT,364,direct,tier2,662.27,4
277,HVT,376,direct,tier1,583.88,3
278,HVT,283,direct,tier2,655.22,2
279,HVT,791,organic,tier1,584.6,2
280,HVT,628,direct,resort,604.58,2
281,HVT,634,organic,resort,591.7,2
282,HVT,496,organic,tier1,604.93,4
283,HVT,652,organic,resort,618.29,4
284,HVT,345,direct,tier1,654.88,1
285,HVT,836,organic,tier2,623.39,1
286,HVT,708,direct,tier2,576.85,2
287,HVT,459,organic,tier1,650.73,1
288,HVT,407,organic,tier2,660.57,4
289,HVT,234,organic,tier2,591.87,1
290,HVT,563,direct,tier1,600.07,1
291,HVT,845,organic,tier1,582.17,3
292,HVT,663,direct,resort,612.92,1
293,HVT,261,direct,tier2,589.88,2
294,HVT,741,organic,tier1,645.31,2
295,HVT,488,direct,tier1,592.14,4
296,HVT,244,direct,resort,627.57,1
297,HVT,827,direct,tier1,597.36,1
298,HVT,809,organic,tier1,624.99,2
299,HVT,860,direct,tier2,575.25,1
300,HVT,579,organic,tier1,631.42,3
301,HVT,439,direct,tier2,646.53,3
302,HVT,426,direct,tier2,581.75,3
303,HVT,739,organic,tier1,650.67,4
304,HVT,892,organic,tier1,648.8,1
305,HVT,648,direct,tier2,588.49,2
306,HVT,222,organic,tier2,619.52,4
307,HVT,439,direct,tier1,596.85,1
308,HVT,851,organic,tier2,580.87,3
309,HVT,627,organic,resort,657.02,4
310,HVT,527,direct,resort,636.99,3
311,HVT,711,organic,tier1,640.45,1
312,HVT,620,direct,tier2,600.32,1
313,HVT,515,organic,tier2,612.65,4
314,HVT,350,organic,tier2,612.77,3
315,HVT,809,organic,tier2,631.79,1
316,HVT,256,organic,tier2,619.29,2
317,HVT,211,direct,resort,572.0,1
318,HVT,421,organic,tier2,606.42,1
319,HVT,799,direct,resort,662.38,3
320,HVT,634,direct,tier1,620.91,4
321,HVT,501,organic,tier1,663.54,1
322,HVT,370,organic,resort,658.89,1
323,HVT,448,organic,resort,589.78,3
324,HVT,890,organic,tier1,580.69,1
325,HVT,642,direct,resort,667.17,3
326,HVT,863,organic,tier1,622.94,3
327,HVT,487,direct,tier1,647.04,2
328,HVT,304,direct,tier1,591.97,4
329,HVT,206,organic,tier2,614.78,2
330,HVT,806,direct,tier1,599.14,4
331,HVT,718,organic,resort,649.97,1
332,HVT,308,organic,tier1,613.05,3
333,HVT,311,direct,tier1,611.34,1
334,HVT,307,direct,tier2,584.84,3
335,HVT,410,organic,tier2,652.21,3
336,HVT,381,organic,tier1,630.36,1
337,HVT,694,direct,tier1,585.49,3
338,HVT,757,direct,tier1,576.59,3
339,HVT,846,direct,resort,629.68,1
340,HVT,689,organic,tier2,616.31,4
341,HVT,484,organic,tier1,636.65,2
342,HVT,630,organic,resort,614.48,3
343,HVT,801,direct,tier2,653.74,3
344,HVT,533,organic,tier1,643.77,1
345,HVT,506,direct,resort,580.67,4
346,HVT,433,direct,tier1,573.56,4
347,HVT,810,organic,tier1,663.75,2
348,HVT,515,organic,tier1,644.02,4
349,HVT,707,organic,resort,655.48,4
350,HVT,203,direct,resort,618.54,2
351,HVT,400,organic,tier1,573.56,4
352,HVT,791,organic,tier2,621.63,1
353,HVT,621,direct,tier2,640.5,4
354,HVT,554,direct,resort,573.62,2
355,HVT,551,organic,tier1,606.76,4
356,HVT,743,organic,tier1,581.28,1
357,HVT,583,organic,tier2,623.72,3
358,HVT,327,direct,resort,618.01,1
359,HVT,219,direct,tier2,648.06,4
360,HVT,332,direct,tier2,660.65,3
361,HVT,346,organic,tier2,627.27,4
362,HVT,756,organic,resort,649.22,3
363,HVT,519,direct,resort,626.28,1
364,HVT,791,organic,tier2,664.18,2
365,HVT,232,organic,tier1,620.4,4
366,HVT,331,direct,tier1,625.18,1
367,HVT,375,direct,resort,599.58,2
368,HVT,602,direct,resort,618.18,4
369,HVT,243,direct,tier1,624.02,4
370,HVT,718,organic,tier2,663.16,4
371,HVT,725,organic,tier2,635.39,3
372,HVT,804,organic,tier1,663.22,3
373,HVT,751,organic,tier1,661.65,3
374,HVT,475,direct,resort,599.91,3
375,HVT,753,organic,tier2,580.61,4
376,HVT,584,organic,tier1,597.28,3
377,HVT,260,organic,resort,633.42,4
378,HVT,399,direct,tier2,660.82,3
379,HVT,320,direct,tier1,592.53,2
380,HVT,833,direct,tier1,578.47,3
381,HVT,663,direct,tier1,569.07,2
382,HVT,596,organic,resort,632.89,3
383,HVT,508,organic,tier1,658.34,1
384,HVT,847,direct,tier1,658.86,2
385,HVT,607,direct,tier1,667.16,4
386,HVT,687,direct,tier2,655.25,1
387,HVT,485,direct,tier2,596.7,4
388,HVT,317,organic,tier2,587.63,1
389,HVT,518,direct,resort,632.66,2
390,HVT,194,organic,tier2,624.7,2
391,HVT,359,organic,resort,619.51,1
392,HVT,590,direct,tier1,665.63,4
393,HVT,511,direct,tier1,594.35,2
394,HVT,637,organic,tier2,598.42,1
395,HVT,447,organic,tier1,574.7,1
396,HVT,656,organic,tier1,608.65,3
397,HVT,886,direct,tier2,604.9,2
398,HVT,404,direct,resort,583.71,3
399,HVT,605,organic,tier1,643.89,1
400,HVT,718,organic,tier2,576.28,1
401,HVT,243,direct,tier1,584.83,4
402,HVT,299,direct,resort,577.55,4
403,HVT,236,organic,tier1,619.31,4
404,HVT,757,direct,resort,635.08,3
405,HVT,202,organic,tier2,649.29,2
406,HVT,772,direct,tier1,610.46,1
407,HVT,734,direct,tier1,666.07,4
408,HVT,212,organic,resort,586.36,2
409,HVT,836,organic,tier2,666.73,4
410,HVT,639,organic,resort,576.5,2
411,HVT,849,organic,tier1,586.21,4
412,HVT,721,direct,tier1,651.11,1
413,HVT,485,organic,resort,621.16,2
414,HVT,433,organic,tier2,583.9,2
415,HVT,295,direct,resort,629.36,1
416,HVT,426,direct,tier1,578.54,1
417,HVT,637,direct,tier1,641.78,4
418,HVT,629,direct,tier1,643.15,1
419,HVT,323,organic,tier1,649.22,3
420,HVT,771,organic,tier1,598.4,2
421,HVT,856,direct,resort,598.27,1
422,HVT,750,direct,resort,623.52,1
423,HVT,532,organic,tier2,637.41,4
424,HVT,332,organic,resort,586.74,4
425,HVT,426,direct,tier2,653.35,2
426,HVT,654,direct,resort,664.25,2
427,HVT,577,direct,tier2,588.67,1
428,HVT,640,organic,tier1,621.52,2
429,HVT,232,organic,resort,635.17,1
430,HVT,254,direct,tier1,615.96,3
431,HVT,490,direct,tier1,661.23,1
432,HVT,670,direct,tier1,607.78,2
433,HVT,745,organic,tier2,606.2,3
434,HVT,495,organic,tier2,619.27,4
435,HVT,657,direct,resort,643.87,3
436,HVT,388,organic,tier2,609.49,2
437,HVT,329,direct,tier2,623.27,4
438,HVT,482,direct,tier1,601.18,4
439,HVT,763,direct,resort,623.01,3
440,HVT,443,organic,resort,614.13,3
441,HVT,353,direct,resort,586.76,1
442,HVT,716,direct,tier1,662.02,1
443,HVT,186,organic,tier1,651.87,2
444,HVT,249,direct,tier1,590.19,4
445,HVT,562,direct,resort,633.75,1
446,HVT,186,organic,tier1,570.21,3
447,HVT,728,organic,tier1,618.22,4
448,HVT,363,direct,tier1,620.41,2
449,HVT,376,organic,tier2,594.99,4
450,HVT,260,organic,resort,613.95,2
451,HVT,893,direct,tier2,636.2,1
452,HVT,849,direct,tier1,608.63,4
453,HVT,745,organic,tier1,631.52,2
454,HVT,264,organic,resort,632.33,3
455,HVT,759,direct,tier1,591.28,4
456,HVT,457,direct,tier1,636.24,3
457,HVT,736,direct,tier1,660.4,3
458,HVT,196,direct,tier1,642.94,4
459,HVT,258,organic,tier1,624.32,4
460,HVT,873,organic,resort,643.27,2
461,HVT,885,direct,tier2,573.87,4
462,HVT,417,direct,tier2,628.4,4
463,HVT,514,direct,tier2,646.04,4
464,HVT,682,direct,tier2,623.24,4
465,HVT,622,direct,resort,577.03,3
466,HVT,432,direct,tier1,595.06,4
467,HVT,829,direct,resort,599.87,1
468,HVT,273,direct,tier2,612.54,3
469,HVT,284,direct,tier1,587.09,4
470,HVT,750,organic,tier1,571.16,3
471,HVT,747,direct,tier2,653.96,1
472,HVT,478,organic,resort,645.6,2
473,HVT,765,direct,resort,585.32,3
474,HVT,488,organic,resort,582.99,2
475,HVT,625,organic,resort,598.2,1
476,HVT,549,organic,tier1,639.84,4
477,HVT,788,direct,resort,579.14,3
478,HVT,186,organic,tier2,651.78,4
479,HVT,517,organic,tier2,611.14,2
480,HVT,487,organic,tier1,615.92,2
481,HVT,587,organic,tier2,641.22,4
482,HVT,769,direct,tier2,605.74,4
483,HVT,553,direct,tier1,627.12,2
484,HVT,878,direct,resort,661.8,2
485,HVT,628,organic,tier1,649.54,4
486,HVT,869,organic,tier1,631.18,2
487,HVT,438,direct,resort,646.58,1
488,HVT,639,organic,resort,621.4,4
489,HVT,736,direct,tier2,637.94,1
490,HVT,291,direct,tier2,585.01,1
491,HVT,756,organic,tier2,664.05,4
492,HVT,288,direct,tier1,594.14,2
493,HVT,636,organic,resort,614.35,2
494,HVT,533,direct,resort,578.9,4
495,HVT,267,direct,tier1,603.0,3
496,HVT,646,direct,resort,603.0,1
497,HVT,628,organic,tier2,575.2,1
498,HVT,297,direct,tier2,632.63,2
499,HVT,429,direct,tier1,601.29,4
500,HVT,653,direct,resort,630.83,2
501,HVT,835,organic,resort,571.45,2
502,HVT,640,organic,resort,569.0,2
503,HVT,390,organic,tier1,625.65,2
504,HVT,554,organic,tier1,613.8,3
505,HVT,866,organic,tier2,627.59,4
506,HVT,781,direct,tier2,603.36,4
507,HVT,812,direct,tier2,659.4,1
508,HVT,868,direct,tier2,580.21,3
509,HVT,299,direct,tier2,637.13,4
510,HVT,608,direct,resort,610.39,4
511,HVT,830,direct,tier1,616.98,2
512,HVT,371,organic,resort,629.81,3
513,HVT,189,organic,tier1,587.85,4
514,HVT,755,organic,resort,636.26,4
515,HVT,634,organic,tier1,576.73,1
516,HVT,405,organic,tier1,595.74,3
517,HVT,352,organic,resort,622.92,1
518,HVT,766,direct,tier2,645.2,3
519,HVT,735,direct,resort,622.58,4
520,HVT,284,direct,tier2,655.06,1
521,HVT,640,organic,tier2,653.81,1
522,HVT,629,direct,tier1,589.31,3
523,HVT,804,organic,tier1,629.49,2
524,HVT,391,direct,tier2,621.19,2
525,HVT,511,organic,tier2,625.19,1
526,HVT,318,organic,tier1,666.7,2
527,HVT,898,direct,tier1,583.02,3
528,HVT,433,organic,resort,582.62,3
529,HVT,822,organic,resort,613.25,1
530,HVT,592,organic,tier2,613.52,4
531,HVT,515,direct,tier1,640.83,4
532,HVT,830,organic,tier1,647.24,4
533,HVT,403,organic,tier1,617.48,3
534,HVT,470,organic,tier1,624.54,4
535,HVT,531,direct,tier1,578.41,4
536,HVT,196,direct,tier1,612.19,1
537,HVT,618,direct,tier1,655.79,3
538,HVT,342,organic,tier1,633.29,3
539,HVT,264,organic,tier1,573.68,3
540,HVT,896,direct,resort,633.37,1
541,HVT,181,direct,resort,576.27,2
542,HVT,711,organic,tier1,569.36,3
543,HVT,303,organic,tier1,615.79,2
544,HVT,572,direct,tier1,578.76,3
545,HVT,486,direct,resort,645.04,2
546,HVT,836,direct,tier1,621.02,1
547,HVT,804,direct,resort,603.29,2
548,HVT,823,direct,resort,629.48,4
549,HVT,402,direct,tier1,582.4,1
550,HVT,783,organic,tier2,663.81,3
551,HVT,323,direct,tier2,632.3,2
552,HVT,746,organic,tier1,652.4,3
553,HVT,390,direct,resort,597.78,1
554,HVT,425,organic,resort,579.71,4
555,HVT,833,direct,tier1,666.14,3
556,HVT,315,organic,resort,604.69,2
557,HVT,662,direct,tier1,626.64,1
558,HVT,448,direct,tier1,659.78,4
559,HVT,698,organic,resort,610.44,4
560,HVT,264,direct,tier2,576.83,1
561,HVT,703,direct,tier1,621.6,4
562,HVT,780,direct,tier2,637.65,2
563,HVT,239,direct,tier1,659.99,1
564,HVT,644,direct,tier2,634.42,2
565,HVT,302,direct,tier1,637.92,2
566,HVT,688,organic,tier2,585.07,2
567,HVT,455,direct,tier1,601.69,4
568,HVT,458,direct,tier2,638.99,1
569,HVT,688,organic,tier2,574.04,2
570,HVT,556,direct,tier2,645.03,1
571,HVT,413,direct,tier1,653.47,1
572,HVT,430,direct,resort,604.55,2
573,HVT,363,direct,resort,590.76,2
574,HVT,606,organic,tier2,650.23,3
575,HVT,302,direct,tier1,590.63,1
576,HVT,590,direct,resort,654.19,3
577,HVT,515,direct,resort,569.35,2
578,HVT,478,organic,tier1,614.43,4
579,HVT,380,direct,tier1,569.19,4
580,HVT,204,direct,tier2,631.44,1
581,HVT,523,direct,resort,652.51,3
582,HVT,286,direct,tier1,610.07,1
583,HVT,325,organic,tier1,572.9,2
584,HVT,712,organic,tier2,613.89,1
585,HVT,774,direct,tier1,631.57,4
586,HVT,256,direct,resort,634.06,2
587,HVT,422,organic,tier2,652.7,4
588,HVT,897,organic,tier2,613.33,2
589,HVT,256,direct,tier1,645.68,1
590,HVT,339,direct,tier1,613.01,3
591,HVT,596,direct,tier2,663.94,2
592,HVT,642,organic,resort,594.76,1
593,HVT,272,direct,tier2,650.27,1
594,HVT,400,organic,tier1,577.58,2
595,HVT,544,organic,tier1,635.52,3
596,HVT,358,direct,resort,653.06,2
597,HVT,276,organic,tier1,648.05,2
598,HVT,304,direct,tier1,650.67,2
599,HVT,313,direct,resort,605.37,1
600,HVT,776,organic,tier1,570.72,1
601,HVT,382,organic,tier1,577.65,3
602,HVT,305,direct,resort,573.57,4
603,HVT,584,organic,tier1,606.4,4
604,HVT,356,organic,tier1,658.37,3
605,HVT,466,organic,tier1,571.99,2
606,HVT,842,organic,resort,609.3,4
607,HVT,242,direct,tier2,606.43,4
608,HVT,384,direct,tier1,666.39,3
609,HVT,671,organic,tier2,658.81,3
610,HVT,577,organic,tier1,571.14,2
611,HVT,210,organic,tier1,648.52,4
612,HVT,722,organic,tier1,664.87,1
613,HVT,433,direct,tier2,621.33,1
614,HVT,404,organic,tier2,661.03,2
615,HVT,360,direct,tier2,648.28,3
616,HVT,785,direct,tier2,662.25,2
617,HVT,756,direct,resort,622.17,2
618,HVT,682,direct,tier1,574.11,2
619,HVT,200,organic,tier1,601.36,2
620,HVT,313,organic,tier1,659.41,3
621,HVT,240,direct,tier1,626.56,2
622,HVT,293,organic,tier1,605.5,4
623,HVT,780,direct,tier2,598.4,2
624,HVT,341,organic,resort,632.75,2
625,HVT,755,organic,tier1,634.37,2
626,HVT,567,organic,tier2,581.15,1
627,HVT,898,organic,tier1,586.56,3
628,HVT,806,direct,tier1,661.18,2
629,HVT,519,direct,tier1,602.85,3
630,HVT,351,direct,tier2,612.72,3
631,HVT,394,direct,tier1,603.22,1
632,HVT,181,direct,resort,611.89,4
633,HVT,350,organic,resort,655.75,3
634,HVT,739,organic,tier1,650.51,2
635,HVT,346,organic,tier1,647.58,1
636,HVT,481,direct,tier2,594.38,1
637,HVT,255,organic,tier1,656.36,2
638,HVT,256,direct,tier2,627.3,4
639,HVT,211,organic,tier1,628.61,4
640,HVT,340,direct,tier1,601.3,2
641,HVT,599,organic,tier2,597.97,1
642,HVT,230,organic,resort,583.75,3
643,HVT,183,organic,tier1,597.69,4
644,HVT,384,direct,tier1,589.02,3
645,HVT,263,organic,tier1,599.05,4
646,HVT,662,organic,tier2,577.57,4
647,HVT,369,organic,resort,605.09,4
648,HVT,225,organic,resort,614.54,2
649,HVT,455,direct,tier1,642.94,1
650,HVT,267,organic,resort,664.54,2
651,HVT,746,direct,resort,649.48,4
652,HVT,728,organic,tier1,615.65,1
653,HVT,584,direct,tier1,580.45,4
654,HVT,357,direct,tier1,648.5,2
655,HVT,223,organic,tier1,666.28,4
656,HVT,386,direct,tier2,600.18,1
657,HVT,269,organic,resort,623.15,3
658,HVT,712,organic,tier1,646.33,4
659,HVT,295,organic,tier1,583.21,1
660,HVT,288,direct,tier2,654.34,3
661,HVT,600,organic,resort,633.31,4
662,HVT,218,direct,tier2,608.41,4
663,HVT,219,organic,tier2,636.84,1
664,HVT,666,organic,tier2,570.56,3
665,HVT,498,organic,resort,653.42,1
666,HVT,413,direct,tier2,664.89,4
667,HVT,508,organic,resort,628.38,1
668,HVT,372,organic,tier1,658.88,4
669,HVT,676,organic,tier1,619.51,2
670,HVT,247,organic,resort,581.97,1
671,HVT,357,direct,tier1,651.32,2
