attempt_id,view_id,user_id,checkout_price,price_delta_pct,abandoned,abandonment_reason,week_number
ATT0000041,VEW0007944,USR003491,11608.72,-0.0052,False,,23
ATT0000042,VEW0012827,USR002516,13867.62,0.0124,False,,7
ATT0000043,VEW0010622,USR002269,38451.1,-0.01,False,,2
ATT0000044,VEW0000144,USR002322,13793.44,0.0074,False,,11
ATT0000045,VEW0012655,USR000801,4982.94,0.0159,False,,14
ATT0000046,VEW0009301,USR001864,2420.69,-0.0034,False,,14
ATT0000047,VEW0014817,USR003627,37857.33,-0.0,False,,23
ATT0000048,VEW0002671,USR002952,7473.89,0.2964,True,price_shock,23
ATT0000049,VEW0010933,USR001000,7554.44,-0.0026,False,,7
ATT0000050,VEW0012371,USR002257,18425.88,0.0154,True,,15
ATT0000051,VEW0012822,USR003272,5915.78,0.001,True,,1
ATT0000052,VEW0010518,USR002093,3198.24,0.2956,True,price_shock,24
ATT0000053,VEW0008588,USR003969,17650.86,-0.0032,False,,22
ATT0000054,VEW0001225,USR000007,6085.45,-0.0088,False,,11
ATT0000055,VEW0002626,USR001879,7669.38,0.2426,True,price_shock,24
ATT0000056,VEW0000899,USR000436,3495.21,0.226,False,,17
ATT0000057,VEW0005241,USR002981,4427.29,0.0041,False,,10
ATT0000058,VEW0003704,USR001117,2737.06,0.0076,False,,2
ATT0000059,VEW0014752,USR001953,28329.77,-0.0087,False,,7
ATT0000060,VEW0011125,USR000040,4465.1,-0.0073,True,,4
ATT0000061,VEW0005226,USR002683,5346.5,0.0046,True,,13
ATT0000062,VEW0014349,USR003961,7226.41,0.3239,True,price_shock,20
ATT0000063,VEW0009096,USR002792,6298.32,0.3016,False,,22
ATT0000064,VEW0002559,USR003582,5540.6,0.2336,False,,16
ATT0000065,VEW0002428,USR003301,2651.83,0.3354,True,price_shock,21
ATT0000066,VEW0010198,USR001045,4956.06,0.3393,True,price_shock,21
ATT0000067,VEW0005218,USR000324,15984.68,0.2622,False,,20
ATT0000068,VEW0008339,USR002402,4034.44,0.3001,False,,18
ATT0000069,VEW0002633,USR000695,6969.76,0.284,False,,18
ATT0000070,VEW0013915,USR003942,17146.79,0.0183,False,,7
ATT0000071,VEW0007207,USR000295,3887.91,0.0053,False,,14
ATT0000072,VEW0005138,USR000744,2670.94,0.3448,True,price_shock,26
ATT0000073,VEW0009441,USR001573,23137.14,-0.004,False,,5
ATT0000074,VEW0007126,USR002088,10647.15,0.0004,False,,17
ATT0000075,VEW0004036,USR003923,6370.69,0.0134,False,,21
ATT0000076,VEW0002084,USR003862,16440.2,0.0135,True,,16
ATT0000077,VEW0013591,USR000987,4201.12,0.012,True,,6
ATT0000078,VEW0011222,USR003218,7333.17,0.3317,True,price_shock,19
ATT0000079,VEW0010965,USR003033,27748.71,0.0111,False,,8
ATT0000080,VEW0007626,USR003616,7882.81,0.3027,True,price_shock,25
ATT0000081,VEW0007029,USR003032,8395.33,0.2797,False,,19
ATT0000082,VEW0012717,USR002978,2470.12,0.004,True,,9
ATT0000083,VEW0001416,USR000071,6776.71,0.0022,False,,13
ATT0000084,VEW0006679,USR001513,9690.05,0.3006,False,,24
ATT0000085,VEW0007095,USR001646,6179.76,0.0022,True,,20
ATT0000086,VEW0012836,USR003319,5042.73,-0.0056,False,,5
ATT0000087,VEW0002364,USR003044,3430.52,-0.0068,True,,10
ATT0000088,VEW0001292,USR002150,6019.85,0.3402,True,price_shock,24
ATT0000089,VEW0004997,USR002201,37964.78,-0.0093,False,,13
ATT0000090,VEW0008448,USR003772,4492.77,-0.0068,False,,5
ATT0000091,VEW0005537,USR002432,5343.5,0.2779,True,price_shock,19
ATT0000092,VEW0002026,USR003337,9174.96,-0.0021,False,,7
ATT0000093,VEW0001722,USR000942,9525.21,0.0022,True,,17
ATT0000094,VEW0008350,USR000994,8117.68,0.2353,True,price_shock,26
ATT0000095,VEW0011423,USR000688,7636.93,0.237,False,,24
ATT0000096,VEW0004097,USR002866,6546.76,0.014,False,,11
ATT0000097,VEW0014627,USR003466,7690.54,0.3187,True,price_shock,22
ATT0000098,VEW0012643,USR000244,4064.94,-0.0069,False,,11
ATT0000099,VEW0013374,USR000193,2113.52,0.01,False,,9
ATT0000100,VEW0004247,USR002078,12565.28,0.0083,False,,8
ATT0000101,VEW0002929,USR003447,6080.31,0.3127,True,price_shock,23
ATT0000102,VEW0006887,USR003783,10971.56,0.2817,True,price_shock,20
ATT0000103,VEW0007640,USR002715,2695.0,-0.0019,False,,10
ATT0000104,VEW0012697,USR003969,31777.73,0.0099,False,,9
ATT0000105,VEW0006101,USR002724,9228.0,0.2683,True,price_shock,24
ATT0000106,VEW0003935,USR003525,2844.5,-0.0034,False,,11
ATT0000107,VEW0011694,USR002868,22435.39,0.0023,False,,20
ATT0000108,VEW0006964,USR000980,5402.55,0.0129,False,,26
ATT0000109,VEW0009045,USR002630,11578.56,0.0043,False,,8
ATT0000110,VEW0009426,USR003829,3014.08,-0.001,False,,11
ATT0000111,VEW0006545,USR003869,9383.41,0.3281,False,,25
ATT0000112,VEW0012423,USR003039,6875.81,0.0164,False,,23
ATT0000113,VEW0006096,USR000982,10636.3,0.003,True,,16
ATT0000114,VEW0014383,USR003715,7677.46,0.2687,True,price_shock,22
ATT0000115,VEW0012961,USR002509,44547.69,0.0084,False,,21
ATT0000116,VEW0006756,USR001608,2107.09,-0.0083,True,,25
ATT0000117,VEW0002763,USR001432,7776.25,0.0107,False,,2
ATT0000118,VEW0006690,USR000507,5664.87,0.3217,True,price_shock,21
ATT0000119,VEW0001169,USR003120,7840.66,0.0019,False,,11
ATT0000120,VEW0007456,USR003712,4649.58,-0.0048,False,,7
ATT0000121,VEW0014654,USR000106,5046.25,-0.0091,False,,9
ATT0000122,VEW0012506,USR003827,11532.6,0.3028,False,,25
ATT0000123,VEW0001849,USR003285,6188.06,0.255,True,price_shock,25
ATT0000124,VEW0009119,USR003817,19307.85,0.0039,False,,10
ATT0000125,VEW0014324,USR000697,2515.61,0.0016,False,,9
ATT0000126,VEW0014481,USR001432,3913.51,-0.0048,False,,18
ATT0000127,VEW0011985,USR002206,3707.7,0.2861,True,price_shock,19
ATT0000128,VEW0004808,USR003245,4365.22,0.0038,False,,9
ATT0000129,VEW0007894,USR002731,22504.81,0.0087,False,,15
ATT0000130,VEW0000296,USR002007,9265.8,-0.0024,False,,1
ATT0000131,VEW0007057,USR002645,2829.73,-0.0036,False,,25
ATT0000132,VEW0012459,USR001601,5521.07,0.3259,True,price_shock,18
ATT0000133,VEW0006234,USR002310,12101.4,0.3113,True,price_shock,16
ATT0000134,VEW0005168,USR003088,10314.69,0.0132,False,,22
ATT0000135,VEW0001161,USR001140,2572.58,-0.0063,False,,3
ATT0000136,VEW0008716,USR000300,9095.35,0.2491,False,,21
ATT0000137,VEW0007465,USR000551,4039.07,0.0073,False,,7
ATT0000138,VEW0002159,USR002222,5525.71,0.3314,False,,18
ATT0000139,VEW0002626,USR002083,6275.61,0.0168,False,,24
ATT0000140,VEW0004707,USR002994,5178.2,0.015,False,,23
ATT0000141,VEW0010470,USR001366,5627.24,-0.0087,False,,6
ATT0000142,VEW0009832,USR002774,2498.0,0.0146,False,,1
ATT0000143,VEW0013323,USR001516,22458.64,0.017,False,,19
ATT0000144,VEW0003165,USR003883,4269.73,0.2274,True,price_shock,23
ATT0000145,VEW0001316,USR002611,31779.61,0.0025,False,,21
ATT0000146,VEW0014922,USR003281,41962.03,0.0061,False,,19
ATT0000147,VEW0011734,USR003701,5392.25,-0.003,False,,5
ATT0000148,VEW0003732,USR002470,6048.39,0.2872,True,price_shock,25
ATT0000149,VEW0002267,USR003159,5001.98,0.0166,False,,5
ATT0000150,VEW0001171,USR000985,4992.21,0.016,False,,11
ATT0000151,VEW0004134,USR003251,17326.49,0.0182,False,,24
ATT0000152,VEW0013420,USR003149,15226.06,0.0045,True,,19
ATT0000153,VEW0007509,USR001654,3830.69,0.0023,False,,1
ATT0000154,VEW0014317,USR001786,5248.08,0.3066,True,price_shock,21
ATT0000155,VEW0009345,USR003350,10776.08,0.0025,False,,26
ATT0000156,VEW0005385,USR001697,8463.36,-0.0087,True,,8
ATT0000157,VEW0007478,USR003299,5640.78,0.3136,True,price_shock,17
ATT0000158,VEW0008758,USR002842,4972.56,-0.0016,False,,3
ATT0000159,VEW0014211,USR003163,4627.65,-0.0085,False,,6
ATT0000160,VEW0005035,USR001465,7340.84,0.2227,True,price_shock,20
ATT0000161,VEW0004223,USR003007,8483.01,0.0179,False,,13
ATT0000162,VEW0013941,USR000907,3452.91,-0.0024,False,,11
ATT0000163,VEW0008427,USR002754,4946.92,0.0034,False,,7
ATT0000164,VEW0003258,USR000230,5592.79,0.0185,False,,9
ATT0000165,VEW0010821,USR000517,2846.26,0.004,False,,4
ATT0000166,VEW0013750,USR003292,5287.89,-0.0076,False,,7
ATT0000167,VEW0013332,USR003784,5813.93,0.0066,False,,9
ATT0000168,VEW0013733,USR001139,5588.65,-0.0074,False,,12
ATT0000169,VEW0010069,USR001551,3065.57,-0.0071,False,,11
ATT0000170,VEW0010732,USR000255,2004.88,0.0155,False,,22
ATT0000171,VEW0014998,USR000273,6521.37,-0.0013,True,timeout,22
ATT0000172,VEW0001440,USR003095,6936.56,0.0104,True,,2
ATT0000173,VEW0008029,USR003118,11257.98,0.0053,False,,14
ATT0000174,VEW0009005,USR001946,6808.17,-0.0033,False,,11
ATT0000175,VEW0004327,USR002770,10150.48,0.0055,False,,10
ATT0000176,VEW0000104,USR002171,15561.35,-0.0079,False,,13
ATT0000177,VEW0007309,USR001388,6192.56,0.0004,False,,8
ATT0000178,VEW0004501,USR003399,7258.91,0.0057,False,,14
ATT0000179,VEW0008809,USR000014,6539.12,0.2497,True,price_shock,25
ATT0000180,VEW0006045,USR003340,15392.49,0.0098,False,,12
ATT0000181,VEW0010085,USR002426,9028.95,0.2267,False,,24
ATT0000182,VEW0003525,USR003669,3732.08,0.0045,True,,3
ATT0000183,VEW0013859,USR002460,5434.49,0.0114,False,,14
ATT0000184,VEW0012990,USR002490,14611.28,0.2759,True,price_shock,24
ATT0000185,VEW0005892,USR002015,14177.89,0.0162,True,,15
ATT0000186,VEW0009217,USR001832,3450.84,0.009,False,,2
ATT0000187,VEW0002375,USR003419,5797.95,0.3446,False,,25
ATT0000188,VEW0007192,USR002470,4308.47,0.2569,False,,25
ATT0000189,VEW0002156,USR002751,5002.45,0.0182,True,,9
ATT0000190,VEW0003834,USR001253,4851.33,0.0082,True,,17
ATT0000191,VEW0011623,USR003810,3307.29,0.0124,False,,11
ATT0000192,VEW0010297,USR003235,58748.44,0.0171,True,,13
ATT0000193,VEW0001860,USR003844,14190.3,0.0065,False,,1
ATT0000194,VEW0010178,USR000163,4032.4,0.0159,True,,11
ATT0000195,VEW0007640,USR001145,2717.01,0.0063,True,error,10
ATT0000196,VEW0008996,USR001987,4955.32,0.008,False,,10
ATT0000197,VEW0011324,USR002384,3240.88,0.0034,False,,5
ATT0000198,VEW0003489,USR003370,7921.2,-0.0056,False,,7
ATT0000199,VEW0013080,USR002964,6530.66,0.0066,False,,8
ATT0000200,VEW0006627,USR001604,7966.02,0.0193,False,,12
ATT0000201,VEW0004400,USR002281,2457.89,0.0136,False,,1
ATT0000202,VEW0012942,USR002397,19890.43,0.0124,False,,14
ATT0000203,VEW0012815,USR002596,5939.61,0.0093,True,,8
ATT0000204,VEW0002560,USR002341,6576.25,0.2652,True,price_shock,23
ATT0000205,VEW0004311,USR001601,24595.78,-0.0049,False,,8
ATT0000206,VEW0011294,USR002942,3315.07,0.2492,False,,22
ATT0000207,VEW0011072,USR001303,5887.01,-0.0098,False,,3
ATT0000208,VEW0009528,USR001590,14138.95,0.0102,False,,18
ATT0000209,VEW0001701,USR002996,13250.03,0.0144,True,,16
ATT0000210,VEW0014770,USR000876,6244.12,0.255,True,price_shock,25
ATT0000211,VEW0014002,USR000118,5730.43,0.2319,True,price_shock,16
ATT0000212,VEW0011428,USR002396,6140.25,0.0001,False,,3
ATT0000213,VEW0013629,USR002324,4480.68,-0.0012,True,,12
ATT0000214,VEW0013674,USR002133,11676.81,0.0035,True,,7
ATT0000215,VEW0005893,USR001523,7166.98,0.2543,True,price_shock,23
ATT0000216,VEW0005532,USR001753,5502.34,0.0002,True,error,7
ATT0000217,VEW0005216,USR000001,12141.01,0.0172,False,,16
ATT0000218,VEW0009052,USR002454,22241.16,0.0,False,,25
ATT0000219,VEW0006532,USR002458,26928.37,0.0136,False,,18
ATT0000220,VEW0012700,USR001312,4426.23,0.3014,True,price_shock,19
ATT0000221,VEW0009879,USR001219,41486.76,0.0001,False,,1
ATT0000222,VEW0002581,USR001313,2906.88,0.0145,False,,9
ATT0000223,VEW0002206,USR000148,5549.44,0.2974,False,,22
ATT0000224,VEW0000022,USR003005,6601.24,0.2211,False,,17
ATT0000225,VEW0012411,USR002121,23831.94,-0.0079,False,,23
ATT0000226,VEW0000132,USR003379,4234.65,0.3178,True,price_shock,24
ATT0000227,VEW0010832,USR000263,3266.28,0.0034,False,,17
ATT0000228,VEW0000074,USR002649,8444.73,0.0022,True,,26
ATT0000229,VEW0004740,USR000603,3368.98,-0.0056,False,,10
ATT0000230,VEW0003157,USR003258,7489.55,0.2405,True,price_shock,17
ATT0000231,VEW0010000,USR000865,27854.15,0.0139,True,,17
ATT0000232,VEW0004163,USR003430,16126.46,0.0149,False,,13
ATT0000233,VEW0012823,USR003300,5858.18,0.2928,True,price_shock,22
ATT0000234,VEW0012737,USR000903,29118.92,-0.0011,False,,17
ATT0000235,VEW0013840,USR002984,6204.35,0.018,False,,7
ATT0000236,VEW0001068,USR001911,3655.83,0.0087,True,,11
ATT0000237,VEW0005544,USR003325,4201.17,0.0139,False,,6
ATT0000238,VEW0001103,USR003512,25217.4,-0.0099,True,,20
ATT0000239,VEW0011764,USR000144,3856.81,0.0035,False,,10
ATT0000240,VEW0008475,USR001138,5379.91,0.0161,False,,1
ATT0000241,VEW0005218,USR001361,16006.54,0.264,True,price_shock,20
ATT0000242,VEW0012617,USR001575,8793.93,0.0118,False,,6
ATT0000243,VEW0010702,USR003985,20530.12,0.0097,True,,23
ATT0000244,VEW0002775,USR001731,2105.73,-0.0054,False,,11
ATT0000245,VEW0012825,USR000640,3882.18,0.3207,False,,24
ATT0000246,VEW0000837,USR000740,11682.39,0.2346,True,price_shock,17
ATT0000247,VEW0013979,USR003749,10760.96,0.0118,False,,9
ATT0000248,VEW0010526,USR003119,5698.71,0.3488,False,,22
ATT0000249,VEW0014897,USR000307,4592.35,0.3445,True,price_shock,21
ATT0000250,VEW0002559,USR003797,5946.7,0.324,True,price_shock,16
ATT0000251,VEW0006560,USR003840,13017.31,0.006,False,,23
ATT0000252,VEW0002578,USR003211,8047.9,0.3077,True,price_shock,16
ATT0000253,VEW0010924,USR003257,9506.28,0.3147,True,price_shock,22
ATT0000254,VEW0000873,USR002729,3362.88,-0.0097,False,,3
ATT0000255,VEW0002916,USR003520,10915.61,0.2333,True,price_shock,16
ATT0000256,VEW0008727,USR003716,21302.38,0.0079,False,,22
ATT0000257,VEW0006772,USR000456,8944.48,-0.0098,False,,22
ATT0000258,VEW0005515,USR000295,3811.57,0.0173,False,,8
ATT0000259,VEW0014093,USR001530,8187.15,0.2837,False,,20
ATT0000260,VEW0004306,USR002385,7506.99,-0.0023,True,,8
ATT0000261,VEW0012377,USR000567,10049.34,0.0018,False,,24
ATT0000262,VEW0006154,USR001998,8521.08,0.3306,False,,24
ATT0000263,VEW0005872,USR001251,2503.85,0.0178,False,,9
ATT0000264,VEW0004411,USR003376,39136.32,-0.0065,False,,21
ATT0000265,VEW0009391,USR002202,4963.64,0.0133,False,,11
ATT0000266,VEW0013309,USR003857,25459.31,0.0073,False,,19
ATT0000267,VEW0011461,USR001816,4054.42,0.0076,False,,14
ATT0000268,VEW0013906,USR000579,18312.6,0.0134,False,,2
ATT0000269,VEW0007313,USR001439,38438.74,-0.0033,False,,7
ATT0000270,VEW0006068,USR001760,21303.79,0.0059,False,,9
ATT0000271,VEW0006624,USR003518,7848.43,0.2615,True,price_shock,26
ATT0000272,VEW0010001,USR001616,5436.23,-0.0072,False,,7
ATT0000273,VEW0000596,USR002302,13163.07,0.2337,True,price_shock,25
ATT0000274,VEW0007972,USR003634,8947.03,-0.0059,False,,18
ATT0000275,VEW0000255,USR001078,7478.67,0.0084,False,,26
ATT0000276,VEW0008362,USR002779,2893.1,-0.0068,False,,2
ATT0000277,VEW0013295,USR001977,25928.73,0.0071,False,,1
ATT0000278,VEW0011212,USR003896,4165.03,0.0076,False,,21
ATT0000279,VEW0012116,USR000905,16190.75,0.0171,False,,12
ATT0000280,VEW0008407,USR003140,4739.69,0.3014,True,price_shock,25
ATT0000281,VEW0007488,USR001109,5754.11,0.3481,False,,25
ATT0000282,VEW0003552,USR000689,14258.2,-0.0091,False,,15
ATT0000283,VEW0014525,USR001361,2736.19,0.3115,True,price_shock,23
ATT0000284,VEW0005941,USR001603,6377.32,0.2234,True,price_shock,16
ATT0000285,VEW0005490,USR001967,4551.26,0.3148,False,,20
ATT0000286,VEW0014636,USR003422,3963.15,0.0016,False,,18
ATT0000287,VEW0012643,USR003331,4127.2,0.0083,False,,11
ATT0000288,VEW0010931,USR002788,14533.77,0.2602,True,price_shock,21
ATT0000289,VEW0009072,USR001091,7366.78,0.2407,False,,17
ATT0000290,VEW0011224,USR000562,40112.52,0.0117,False,,13
ATT0000291,VEW0005859,USR002292,9362.72,0.0171,True,timeout,3
ATT0000292,VEW0012539,USR000631,1456.63,-0.0045,True,,10
ATT0000293,VEW0002576,USR002313,17912.57,0.0176,False,,9
ATT0000294,VEW0008608,USR000873,18125.45,-0.0058,True,timeout,15
ATT0000295,VEW0003009,USR002344,14288.46,0.0121,False,,21
ATT0000296,VEW0005364,USR001700,31381.52,0.0188,False,,9
ATT0000297,VEW0008697,USR000382,7444.08,-0.0056,True,,3
ATT0000298,VEW0000021,USR001029,2753.47,0.0031,False,,9
ATT0000299,VEW0009869,USR002563,8328.58,0.2639,False,,16
ATT0000300,VEW0008495,USR003067,3931.95,0.0017,False,,10
ATT0000301,VEW0002210,USR001058,7006.26,0.0126,False,,8
ATT0000302,VEW0009138,USR001109,4834.3,0.306,True,price_shock,25
ATT0000303,VEW0010591,USR002879,3819.33,0.0191,False,,7
ATT0000304,VEW0001954,USR003922,3620.94,-0.0044,False,,14
ATT0000305,VEW0012567,USR002401,12775.86,0.0063,True,,8
ATT0000306,VEW0009750,USR001859,7416.65,0.2784,False,,17
ATT0000307,VEW0008198,USR000521,4769.72,0.3395,True,price_shock,22
ATT0000308,VEW0012480,USR000527,4208.48,-0.0097,False,,10
ATT0000309,VEW0013975,USR002943,5208.6,0.0197,False,,9
ATT0000310,VEW0009718,USR002391,6417.09,0.2824,True,price_shock,17
ATT0000311,VEW0013630,USR001028,10708.0,0.3013,True,price_shock,24
ATT0000312,VEW0000507,USR000723,5862.88,0.2668,True,price_shock,20
ATT0000313,VEW0008266,USR002455,5205.91,0.0156,False,,1
ATT0000314,VEW0010427,USR003101,3278.76,0.0069,False,,15
ATT0000315,VEW0009577,USR002453,32054.35,0.0099,False,,22
ATT0000316,VEW0004089,USR003792,10724.77,0.0095,False,,18
ATT0000317,VEW0005867,USR002353,11415.07,0.0009,True,,11
ATT0000318,VEW0002987,USR001921,5343.48,0.2299,True,price_shock,24
ATT0000319,VEW0006111,USR002688,26729.89,0.0142,False,,2
ATT0000320,VEW0000512,USR001791,22099.53,-0.0013,False,,6
ATT0000321,VEW0011166,USR003242,18663.26,0.0155,False,,6
ATT0000322,VEW0001267,USR001674,9686.34,0.2991,False,,19
ATT0000323,VEW0007870,USR002662,4963.76,0.0006,False,,4
ATT0000324,VEW0001706,USR000291,14365.43,0.0078,False,,23
ATT0000325,VEW0001556,USR003152,18369.54,0.0094,False,,16
ATT0000326,VEW0006184,USR003301,5753.09,0.0112,False,,25
ATT0000327,VEW0007165,USR002856,41036.46,0.0147,False,,5
ATT0000328,VEW0002577,USR000582,4292.8,-0.0052,False,,7
ATT0000329,VEW0009657,USR000904,7907.97,0.0183,False,,26
ATT0000330,VEW0006819,USR001377,22352.62,0.0023,False,,11
ATT0000331,VEW0003724,USR002295,5747.08,0.0158,False,,11
ATT0000332,VEW0005860,USR003931,21716.25,-0.0034,False,,19
ATT0000333,VEW0007532,USR002511,7137.24,0.2238,True,price_shock,18
ATT0000334,VEW0012813,USR003087,11085.93,0.2945,True,price_shock,21
ATT0000335,VEW0000531,USR000198,6344.44,-0.0003,False,,16
ATT0000336,VEW0011855,USR003373,19788.83,0.348,False,,18
ATT0000337,VEW0009302,USR003197,6650.8,-0.0069,False,,2
ATT0000338,VEW0011248,USR000020,12028.07,-0.0086,False,,14
ATT0000339,VEW0002179,USR003350,7112.66,-0.0086,False,,14
ATT0000340,VEW0013414,USR000056,3444.94,-0.0035,True,,2
ATT0000341,VEW0010074,USR000535,6311.58,0.2953,False,,19
ATT0000342,VEW0002073,USR000527,16491.41,0.0052,False,,17
ATT0000343,VEW0012815,USR000977,5887.84,0.0005,True,,8
ATT0000344,VEW0001553,USR001836,22261.2,-0.0073,True,,5
ATT0000345,VEW0001633,USR001931,12726.75,-0.003,False,,6
ATT0000346,VEW0008801,USR001908,7371.62,0.2439,False,,26
ATT0000347,VEW0002020,USR000081,30288.16,0.0124,True,,21
ATT0000348,VEW0003068,USR001589,2939.82,0.0134,False,,5
ATT0000349,VEW0003800,USR000508,6780.26,0.0133,False,,2
ATT0000350,VEW0011902,USR002634,6924.4,0.346,True,price_shock,20
ATT0000351,VEW0014433,USR001031,4636.07,0.335,False,,25
ATT0000352,VEW0010472,USR001503,10357.22,0.2847,False,,21
ATT0000353,VEW0003915,USR002017,12059.22,0.0024,False,,23
ATT0000354,VEW0009429,USR000703,13613.71,0.3391,False,,25
ATT0000355,VEW0008506,USR001479,6663.72,0.2995,False,,17
ATT0000356,VEW0010733,USR001683,4163.05,-0.0012,False,,8
ATT0000357,VEW0006790,USR002624,3166.54,0.0069,True,timeout,7
ATT0000358,VEW0009851,USR003570,4819.68,0.0198,True,,12
ATT0000359,VEW0007735,USR002419,4469.08,0.0155,True,,21
ATT0000360,VEW0003375,USR000967,22964.49,-0.0016,False,,15
ATT0000361,VEW0008118,USR000954,4569.86,0.0186,False,,12
ATT0000362,VEW0002887,USR003118,5200.59,0.0194,True,,16
ATT0000363,VEW0009619,USR003466,5950.79,-0.0031,False,,10
ATT0000364,VEW0014949,USR002029,6798.97,0.3364,False,,26
ATT0000365,VEW0012575,USR000801,15233.51,0.0165,False,,3
ATT0000366,VEW0001604,USR002738,4108.33,-0.0088,False,,12
ATT0000367,VEW0007651,USR000861,2787.37,0.0101,True,,5
ATT0000368,VEW0001387,USR003742,6575.77,0.2597,True,price_shock,17
ATT0000369,VEW0007822,USR003126,4025.76,0.0102,False,,4
ATT0000370,VEW0013886,USR000469,4769.36,0.3388,True,price_shock,25
ATT0000371,VEW0011180,USR001287,8336.06,0.2848,True,price_shock,16
ATT0000372,VEW0010757,USR000309,3813.14,0.0024,False,,15
ATT0000373,VEW0012301,USR003728,2202.37,0.0176,True,,15
ATT0000374,VEW0009745,USR001895,4076.15,0.0192,False,,10
ATT0000375,VEW0014342,USR003515,12879.08,-0.0081,False,,4
ATT0000376,VEW0004090,USR003479,4747.46,0.0177,False,,11
ATT0000377,VEW0003642,USR003249,5102.28,-0.0075,False,,14
ATT0000378,VEW0008794,USR002502,4988.32,0.0001,False,,2
ATT0000379,VEW0011680,USR002682,7930.18,0.3191,True,price_shock,19
ATT0000380,VEW0006951,USR003119,7486.57,0.321,True,price_shock,23
ATT0000381,VEW0004791,USR003688,6184.66,0.0118,False,,10
ATT0000382,VEW0010711,USR001319,6397.63,-0.0088,False,,15
ATT0000383,VEW0014654,USR003572,5062.16,-0.006,False,,9
ATT0000384,VEW0013475,USR001873,7602.92,0.0181,False,,3
ATT0000385,VEW0006617,USR003646,9028.38,-0.0076,False,,9
ATT0000386,VEW0012574,USR000035,7084.33,0.2302,True,price_shock,23
ATT0000387,VEW0000286,USR001236,5191.5,0.3286,False,,18
ATT0000388,VEW0009816,USR003051,9718.01,0.0092,False,,7
ATT0000389,VEW0013927,USR000109,21665.06,0.0005,False,,22
ATT0000390,VEW0011835,USR003059,4896.64,0.2415,True,price_shock,22
ATT0000391,VEW0003669,USR002423,9182.16,0.0165,True,,15
ATT0000392,VEW0004256,USR000413,9817.62,0.0197,True,,11
ATT0000393,VEW0013441,USR000752,20159.85,-0.0085,True,,8
ATT0000394,VEW0004024,USR000521,6392.13,0.0066,False,,10
ATT0000395,VEW0007006,USR002835,7798.95,-0.0022,True,,14
ATT0000396,VEW0004142,USR000262,2257.65,0.015,False,,11
ATT0000397,VEW0002703,USR002801,7248.23,0.265,False,,22
ATT0000398,VEW0007059,USR000840,4221.53,0.0114,False,,14
