search_id,session_id,destination,check_in_date,check_out_date,search_price_shown,is_domestic,week_number
SCH0000024,SES0004385,Bangkok,2024-06-16,2024-08-02,8845.16,False,23
SCH0000025,SES0011681,Ahmedabad,2024-01-10,2024-02-12,3953.07,True,1
SCH0000026,SES0007162,Delhi,2024-07-04,2024-05-09,5137.74,True,17
SCH0000027,SES0010291,Singapore,2024-04-22,2024-05-18,10142.64,False,13
SCH0000028,SES0008957,Pune,2024-07-18,2024-05-25,5711.74,True,17
SCH0000029,SES0011149,London,2024-04-11,2024-02-26,13355.46,False,3
SCH0000030,SES0009303,Chennai,2024-04-21,2024-03-18,4373.52,True,6
SCH0000031,SES0006237,Hyderabad,2024-08-13,2024-08-24,3863.46,True,22
SCH0000032,SES0011323,Hyderabad,2024-05-14,2024-05-25,10310.43,True,11
SCH0000033,SES0009148,Jaipur,2024-05-30,2024-07-26,4888.31,True,18
SCH0000034,SES0001427,Pune,2024-05-03,2024-05-04,3219.29,True,8
SCH0000035,SES0006993,London,2024-06-08,2024-05-16,27208.17,False,14
SCH0000036,SES0006976,Kolkata,2024-03-09,2024-01-15,3015.93,True,1
SCH0000037,SES0003854,Goa,2024-05-12,2024-05-07,5343.02,True,16
SCH0000038,SES0004950,Delhi,2024-04-07,2024-05-02,2244.26,True,9
SCH0000039,SES0009044,Singapore,2024-03-09,2024-03-03,9282.69,False,3
SCH0000040,SES0011126,Dubai,2024-07-29,2024-05-18,19899.12,False,19
SCH0000041,SES0000686,Pune,2024-08-08,2024-08-18,6603.71,True,25
SCH0000042,SES0003380,Hyderabad,2024-07-20,2024-09-16,5263.48,True,25
SCH0000043,SES0004377,Chennai,2024-04-23,2024-03-28,4692.59,True,8
SCH0000044,SES0004135,New York,2024-05-13,2024-03-29,15513.22,False,8
SCH0000045,SES0011026,New York,2024-04-30,2024-07-06,8610.51,False,17
SCH0000046,SES0006737,Mumbai,2024-08-16,2024-08-11,3685.13,True,23
SCH0000047,SES0007975,Bangkok,2024-05-11,2024-05-19,14323.84,False,11
SCH0000048,SES0009258,Ahmedabad,2024-03-02,2024-03-05,7501.43,True,7
SCH0000049,SES0005334,Bengaluru,2024-03-02,2024-02-29,5638.92,True,8
SCH0000050,SES0010182,Pune,2024-07-24,2024-06-21,2427.9,True,23
SCH0000051,SES0005566,New York,2024-01-14,2024-01-18,21206.05,False,1
SCH0000052,SES0007052,Hyderabad,2024-05-16,2024-05-27,4213.16,True,15
SCH0000053,SES0006490,Bangkok,2024-05-02,2024-04-16,12855.65,False,13
SCH0000054,SES0011424,Ahmedabad,2024-06-12,2024-04-28,6277.14,True,12
SCH0000055,SES0009114,Dubai,2024-03-28,2024-04-02,30197.06,False,10
SCH0000056,SES0003546,Bangkok,2024-05-09,2024-04-12,28728.36,False,12
SCH0000057,SES0005085,Mumbai,2024-07-01,2024-07-16,3513.31,True,22
SCH0000058,SES0001209,Ahmedabad,2024-03-11,2024-04-28,4342.98,True,8
SCH0000059,SES0002134,Pune,2024-05-21,2024-04-02,5611.12,True,10
SCH0000060,SES0011963,Hyderabad,2024-03-21,2024-03-08,7260.6,True,4
SCH0000061,SES0004858,London,2024-02-24,2024-03-20,14191.7,False,7
SCH0000062,SES0011959,Delhi,2024-06-14,2024-08-17,4563.0,True,22
SCH0000063,SES0011505,Chennai,2024-06-04,2024-06-02,3157.28,True,19
SCH0000064,SES0005187,Goa,2024-05-14,2024-06-30,3045.8,True,17
SCH0000065,SES0004945,Goa,2024-03-24,2024-06-06,6802.26,True,11
SCH0000066,SES0000701,Ahmedabad,2024-04-30,2024-05-11,8454.85,True,12
SCH0000067,SES0010226,London,2024-06-11,2024-04-03,17395.99,False,12
SCH0000068,SES0007213,Bangkok,2024-07-15,2024-07-10,29785.19,False,18
SCH0000069,SES0002310,Jaipur,2024-07-05,2024-05-18,5679.7,True,19
SCH0000070,SES0008359,Dubai,2024-01-23,2024-03-25,13061.71,False,3
SCH0000071,SES0002825,Bengaluru,2024-04-14,2024-03-27,5679.16,True,5
SCH0000072,SES0000189,Dubai,2024-04-18,2024-06-27,38910.46,False,14
SCH0000073,SES0000593,Hyderabad,2024-02-14,2024-03-14,4844.84,True,3
SCH0000074,SES0006291,Mumbai,2024-02-28,2024-04-26,9189.87,True,6
SCH0000075,SES0000780,Ahmedabad,2024-07-03,2024-07-15,1723.48,True,21
SCH0000076,SES0000096,Delhi,2024-06-09,2024-04-21,6827.82,True,14
SCH0000077,SES0002629,Goa,2024-06-02,2024-05-09,5088.91,True,12
SCH0000078,SES0009827,Ahmedabad,2024-08-26,2024-07-11,4360.74,True,26
SCH0000079,SES0006373,New York,2024-08-26,2024-08-18,18880.41,False,24
SCH0000080,SES0011448,Singapore,2024-02-16,2024-05-01,8000.0,False,6
SCH0000081,SES0007187,London,2024-08-27,2024-07-26,16157.89,False,23
SCH0000082,SES0001108,Dubai,2024-04-23,2024-07-07,21559.16,False,16
SCH0000083,SES0006888,Kolkata,2024-03-08,2024-04-14,8876.46,True,7
SCH0000084,SES0007558,Delhi,2024-07-08,2024-05-24,3994.57,True,18
SCH0000085,SES0009851,Goa,2024-07-05,2024-06-02,3556.75,True,21
SCH0000086,SES0010493,Pune,2024-06-27,2024-07-27,4021.05,True,24
SCH0000087,SES0004246,Chennai,2024-04-28,2024-05-17,7088.02,True,13
SCH0000088,SES0005252,Singapore,2024-08-09,2024-07-24,21255.6,False,25
SCH0000089,SES0000164,Bengaluru,2024-08-24,2024-08-09,3976.26,True,26
SCH0000090,SES0009771,Dubai,2024-06-10,2024-04-26,23309.91,False,14
SCH0000091,SES0004589,Delhi,2024-05-12,2024-03-27,5109.37,True,11
SCH0000092,SES0009386,Delhi,2024-02-27,2024-03-21,7240.59,True,4
SCH0000093,SES0008699,Ahmedabad,2024-08-02,2024-07-09,3711.45,True,20
SCH0000094,SES0000212,Bengaluru,2024-09-07,2024-08-04,4311.04,True,25
SCH0000095,SES0007271,Jaipur,2024-06-17,2024-07-21,4201.33,True,23
SCH0000096,SES0011968,Pune,2024-05-27,2024-04-25,2736.94,True,12
SCH0000097,SES0009712,Mumbai,2024-03-14,2024-04-04,5532.79,True,6
SCH0000098,SES0000954,Singapore,2024-06-12,2024-06-24,20548.18,False,17
SCH0000099,SES0006911,Pune,2024-04-12,2024-03-25,4924.83,True,3
SCH0000100,SES0004083,Ahmedabad,2024-03-18,2024-04-02,4474.57,True,4
SCH0000101,SES0003175,Kolkata,2024-08-23,2024-08-17,2790.15,True,24
SCH0000102,SES0011392,Goa,2024-02-25,2024-01-18,4153.65,True,2
SCH0000103,SES0009939,Mumbai,2024-04-17,2024-04-18,4285.16,True,15
SCH0000104,SES0007031,Bangkok,2024-03-07,2024-03-13,12074.62,False,3
SCH0000105,SES0011075,Delhi,2024-04-26,2024-03-13,4607.71,True,8
SCH0000106,SES0002830,Bangkok,2024-03-02,2024-03-07,22071.12,False,1
SCH0000107,SES0003753,London,2024-07-04,2024-06-08,46309.06,False,22
SCH0000108,SES0010584,Delhi,2024-04-07,2024-06-18,5270.24,True,13
SCH0000109,SES0002164,Chennai,2024-05-21,2024-06-02,5448.09,True,17
SCH0000110,SES0008240,London,2024-04-23,2024-06-07,17374.82,False,12
SCH0000111,SES0009510,Pune,2024-07-18,2024-07-06,2281.28,True,22
SCH0000112,SES0002159,Bengaluru,2024-06-20,2024-08-07,4862.92,True,20
SCH0000113,SES0004581,Chennai,2024-07-12,2024-08-22,5034.61,True,22
SCH0000114,SES0003169,Hyderabad,2024-04-27,2024-03-18,13164.73,True,6
SCH0000115,SES0007877,Chennai,2024-04-18,2024-05-20,4550.79,True,13
SCH0000116,SES0001328,Bangkok,2024-05-29,2024-05-15,20968.44,False,17
SCH0000117,SES0010958,Delhi,2024-06-05,2024-08-13,4847.0,True,20
SCH0000118,SES0006638,Bengaluru,2024-06-16,2024-07-29,3079.52,True,23
SCH0000119,SES0006818,Mumbai,2024-06-24,2024-06-30,7763.04,True,25
SCH0000120,SES0008864,Hyderabad,2024-03-09,2024-02-24,6639.38,True,3
SCH0000121,SES0003165,Bengaluru,2024-04-29,2024-03-29,6744.03,True,6
SCH0000122,SES0004831,Jaipur,2024-04-07,2024-02-22,3416.07,True,7
SCH0000123,SES0006895,Jaipur,2024-04-24,2024-05-04,8613.77,True,8
SCH0000124,SES0009472,London,2024-03-10,2024-04-04,8947.01,False,3
SCH0000125,SES0000282,Singapore,2024-06-29,2024-07-06,24183.56,False,15
SCH0000126,SES0003421,Jaipur,2024-03-18,2024-04-19,11803.86,True,8
SCH0000127,SES0006471,Chennai,2024-06-03,2024-04-07,3306.96,True,11
SCH0000128,SES0007756,Dubai,2024-07-06,2024-05-11,13586.76,False,15
SCH0000129,SES0002697,Chennai,2024-05-03,2024-06-22,5114.63,True,16
SCH0000130,SES0004615,Dubai,2024-04-08,2024-05-10,14020.31,False,8
SCH0000131,SES0000559,Dubai,2024-08-05,2024-08-09,8305.46,False,21
SCH0000132,SES0009082,Bengaluru,2024-03-16,2024-04-01,5051.42,True,6
SCH0000133,SES0002275,Goa,2024-05-10,2024-06-28,3213.38,True,13
SCH0000134,SES0000407,Kolkata,2024-03-31,2024-04-15,5939.84,True,7
SCH0000135,SES0002321,Jaipur,2024-04-26,2024-04-29,3402.38,True,12
SCH0000136,SES0001566,Bengaluru,2024-08-04,2024-07-10,9135.96,True,19
SCH0000137,SES0011585,Dubai,2024-07-09,2024-07-11,12190.03,False,19
SCH0000138,SES0002504,Bengaluru,2024-06-26,2024-05-14,4320.71,True,14
SCH0000139,SES0000299,Hyderabad,2024-05-25,2024-06-13,6804.96,True,19
SCH0000140,SES0002447,Jaipur,2024-02-04,2024-02-24,3003.86,True,1
SCH0000141,SES0000239,Dubai,2024-01-08,2024-02-16,20205.9,False,1
SCH0000142,SES0000103,Ahmedabad,2024-03-15,2024-04-03,8290.43,True,3
SCH0000143,SES0009122,Kolkata,2024-07-18,2024-06-07,2583.77,True,22
SCH0000144,SES0009086,Kolkata,2024-06-07,2024-06-09,5291.48,True,19
SCH0000145,SES0006515,Delhi,2024-04-18,2024-06-25,5453.17,True,15
SCH0000146,SES0000118,Kolkata,2024-06-04,2024-04-23,6719.23,True,15
SCH0000147,SES0000737,Goa,2024-05-04,2024-06-28,2996.56,True,13
SCH0000148,SES0003487,Delhi,2024-06-20,2024-07-03,2898.12,True,21
SCH0000149,SES0000595,Kolkata,2024-05-07,2024-07-19,6055.83,True,16
SCH0000150,SES0006499,London,2024-03-03,2024-03-14,20920.66,False,8
SCH0000151,SES0007151,Goa,2024-07-22,2024-08-06,5432.73,True,23
SCH0000152,SES0004110,Ahmedabad,2024-06-24,2024-05-16,5645.3,True,15
SCH0000153,SES0005107,Chennai,2024-09-03,2024-08-02,3744.3,True,24
SCH0000154,SES0004003,Jaipur,2024-01-08,2024-02-16,5393.24,True,1
SCH0000155,SES0006306,Mumbai,2024-04-27,2024-05-06,5526.05,True,9
SCH0000156,SES0010581,London,2024-06-18,2024-06-11,12617.3,False,18
SCH0000157,SES0003183,Singapore,2024-06-16,2024-06-15,45838.85,False,17
SCH0000158,SES0003599,Pune,2024-05-28,2024-04-23,5940.41,True,11
SCH0000159,SES0004043,Delhi,2024-04-15,2024-04-26,3051.77,True,4
SCH0000160,SES0011794,Dubai,2024-05-02,2024-03-05,25041.18,False,6
SCH0000161,SES0002427,London,2024-09-20,2024-09-17,11077.37,False,26
SCH0000162,SES0007449,Ahmedabad,2024-03-23,2024-03-03,6733.39,True,6
SCH0000163,SES0004433,Goa,2024-04-16,2024-04-24,7812.17,True,8
SCH0000164,SES0007358,Pune,2024-04-05,2024-04-03,3539.45,True,12
SCH0000165,SES0010178,London,2024-07-19,2024-07-06,29193.11,False,23
SCH0000166,SES0006436,Chennai,2024-04-11,2024-03-27,5797.1,True,3
SCH0000167,SES0006010,Dubai,2024-02-27,2024-03-15,27201.57,False,8
SCH0000168,SES0006070,Chennai,2024-03-04,2024-04-05,10495.66,True,5
SCH0000169,SES0002958,Goa,2024-07-21,2024-07-12,4455.28,True,19
SCH0000170,SES0008590,Ahmedabad,2024-05-27,2024-05-19,3635.51,True,10
SCH0000171,SES0003049,Ahmedabad,2024-08-04,2024-06-18,3443.33,True,19
SCH0000172,SES0008690,Bangkok,2024-05-21,2024-05-29,11993.2,False,18
SCH0000173,SES0006750,Delhi,2024-06-19,2024-07-13,4765.51,True,22
SCH0000174,SES0004471,Bangkok,2024-04-16,2024-04-22,21387.8,False,5
SCH0000175,SES0010416,Pune,2024-03-03,2024-02-29,5489.96,True,1
SCH0000176,SES0000300,Chennai,2024-07-06,2024-08-12,6842.26,True,26
SCH0000177,SES0000316,Jaipur,2024-05-11,2024-03-20,4940.4,True,10
SCH0000178,SES0001523,Goa,2024-03-20,2024-02-21,8790.38,True,3
SCH0000179,SES0011056,New York,2024-03-27,2024-03-21,15798.52,False,6
SCH0000180,SES0003301,Kolkata,2024-04-19,2024-04-06,14589.65,True,5
SCH0000181,SES0006850,Delhi,2024-06-30,2024-07-24,6312.37,True,22
SCH0000182,SES0011870,Bangkok,2024-03-25,2024-03-06,11747.8,False,3
SCH0000183,SES0000886,Ahmedabad,2024-04-06,2024-04-23,3202.36,True,4
SCH0000184,SES0006953,Delhi,2024-06-10,2024-06-24,5960.97,True,23
SCH0000185,SES0000126,London,2024-04-13,2024-05-06,16127.3,False,6
SCH0000186,SES0011612,London,2024-03-21,2024-04-20,25770.87,False,9
SCH0000187,SES0003699,Bengaluru,2024-05-07,2024-05-22,5938.99,True,18
SCH0000188,SES0000879,Goa,2024-08-22,2024-07-31,4773.66,True,22
SCH0000189,SES0009040,Goa,2024-08-04,2024-09-10,3502.68,True,24
SCH0000190,SES0003569,Goa,2024-04-18,2024-04-22,2681.31,True,4
SCH0000191,SES0007862,New York,2024-04-04,2024-04-29,14425.35,False,5
SCH0000192,SES0000654,Dubai,2024-04-21,2024-03-29,27672.64,False,12
SCH0000193,SES0005712,Kolkata,2024-06-15,2024-06-19,5354.2,True,16
SCH0000194,SES0000358,Pune,2024-06-21,2024-07-14,2986.04,True,23
SCH0000195,SES0002081,Bangkok,2024-07-28,2024-08-09,19664.9,False,22
SCH0000196,SES0001801,New York,2024-07-05,2024-05-02,21865.35,False,17
SCH0000197,SES0005294,Bangkok,2024-04-29,2024-07-05,11592.01,False,15
SCH0000198,SES0001555,Ahmedabad,2024-07-05,2024-05-18,5226.46,True,15
SCH0000199,SES0007068,Kolkata,2024-03-21,2024-04-11,5030.54,True,4
SCH0000200,SES0008902,Pune,2024-06-25,2024-06-01,3111.35,True,15
SCH0000201,SES0002873,Delhi,2024-08-06,2024-07-11,5670.97,True,26
SCH0000202,SES0000223,Bangkok,2024-01-27,2024-02-13,23870.35,False,3
SCH0000203,SES0000126,London,2024-03-11,2024-04-30,30993.28,False,6
SCH0000204,SES0008880,Ahmedabad,2024-05-26,2024-05-22,7491.47,True,15
SCH0000205,SES0011486,Goa,2024-02-20,2024-04-12,2832.55,True,3
SCH0000206,SES0007895,Bengaluru,2024-05-22,2024-05-30,3377.43,True,18
SCH0000207,SES0005591,Pune,2024-04-17,2024-02-25,6039.12,True,7
SCH0000208,SES0002118,Delhi,2024-06-10,2024-07-17,6036.11,True,16
SCH0000209,SES0008401,Bangkok,2024-04-20,2024-06-12,23330.66,False,12
SCH0000210,SES0007223,New York,2024-06-07,2024-06-08,120000.0,False,12
SCH0000211,SES0009209,Jaipur,2024-05-05,2024-04-27,6175.57,True,9
SCH0000212,SES0003866,Mumbai,2024-06-16,2024-08-27,7740.54,True,23
SCH0000213,SES0006288,New York,2024-04-01,2024-05-02,29056.6,False,9
SCH0000214,SES0005402,Kolkata,2024-04-26,2024-05-29,6377.66,True,15
SCH0000215,SES0002760,Delhi,2024-06-21,2024-06-15,4332.47,True,19
SCH0000216,SES0009233,Jaipur,2024-09-01,2024-08-08,6658.09,True,23
SCH0000217,SES0009267,Jaipur,2024-03-11,2024-05-01,3607.86,True,5
SCH0000218,SES0002693,Bengaluru,2024-02-14,2024-02-03,4470.58,True,4
SCH0000219,SES0007640,Ahmedabad,2024-05-01,2024-07-17,4047.5,True,16
SCH0000220,SES0008602,Mumbai,2024-03-30,2024-03-14,5078.39,True,1
SCH0000221,SES0000776,Mumbai,2024-05-02,2024-04-17,12405.11,True,14
SCH0000222,SES0005562,Mumbai,2024-03-09,2024-03-15,2328.77,True,9
SCH0000223,SES0003837,Hyderabad,2024-05-18,2024-04-24,6467.24,True,8
SCH0000224,SES0011050,Pune,2024-07-31,2024-08-10,2578.37,True,26
SCH0000225,SES0008845,Dubai,2024-04-05,2024-03-13,14243.19,False,3
SCH0000226,SES0011967,Bengaluru,2024-06-02,2024-06-30,7597.54,True,19
SCH0000227,SES0008165,Delhi,2024-05-17,2024-03-29,5042.78,True,10
SCH0000228,SES0002855,Bengaluru,2024-04-25,2024-03-25,3193.59,True,6
SCH0000229,SES0007341,Kolkata,2024-07-03,2024-06-07,3691.83,True,21
SCH0000230,SES0006061,Goa,2024-05-07,2024-08-01,6450.02,True,18
SCH0000231,SES0003440,Jaipur,2024-03-23,2024-04-04,3669.66,True,10
SCH0000232,SES0001198,Delhi,2024-04-28,2024-05-18,5359.27,True,14
SCH0000233,SES0009373,Goa,2024-06-29,2024-07-27,5005.18,True,24
SCH0000234,SES0003797,London,2024-06-17,2024-06-15,13019.45,False,17
SCH0000235,SES0004952,New York,2024-08-29,2024-08-17,52678.99,False,25
SCH0000236,SES0009953,Ahmedabad,2024-07-04,2024-06-28,6333.24,True,15
SCH0000237,SES0004486,Dubai,2024-06-15,2024-06-09,8000.0,False,22
SCH0000238,SES0011124,Kolkata,2024-05-09,2024-06-19,5295.34,True,14
SCH0000239,SES0000895,Delhi,2024-07-25,2024-07-18,3771.72,True,25
SCH0000240,SES0000955,Delhi,2024-06-16,2024-06-04,6911.72,True,12
SCH0000241,SES0007311,Delhi,2024-05-24,2024-05-20,3579.55,True,19
SCH0000242,SES0000806,Pune,2024-06-14,2024-05-14,4694.31,True,14
SCH0000243,SES0001760,Bengaluru,2024-04-30,2024-05-28,6014.9,True,12
SCH0000244,SES0009250,Jaipur,2024-05-10,2024-05-16,6948.65,True,15
SCH0000245,SES0003090,Jaipur,2024-04-20,2024-05-02,3040.82,True,12
SCH0000246,SES0010327,Ahmedabad,2024-04-18,2024-02-12,4299.27,True,5
SCH0000247,SES0005288,Bengaluru,2024-04-25,2024-05-01,4064.4,True,16
SCH0000248,SES0011462,New York,2024-02-24,2024-04-07,13008.2,False,2
SCH0000249,SES0002883,Mumbai,2024-03-21,2024-04-12,9958.5,True,2
SCH0000250,SES0011044,Goa,2024-05-20,2024-04-23,5779.04,True,12
SCH0000251,SES0003313,Kolkata,2024-07-23,2024-06-28,2968.01,True,19
SCH0000252,SES0006426,Dubai,2024-02-14,2024-03-17,28536.26,False,6
SCH0000253,SES0005723,Goa,2024-03-01,2024-05-18,11485.75,True,8
SCH0000254,SES0009344,Mumbai,2024-06-25,2024-05-25,7427.81,True,16
SCH0000255,SES0011707,Mumbai,2024-02-24,2024-02-03,2676.46,True,1
SCH0000256,SES0006579,Singapore,2024-03-21,2024-02-22,14155.85,False,5
SCH0000257,SES0001363,Mumbai,2024-07-29,2024-06-10,8158.08,True,22
SCH0000258,SES0002885,Chennai,2024-05-23,2024-04-11,3703.12,True,13
SCH0000259,SES0010334,New York,2024-05-21,2024-06-20,22514.38,False,14
SCH0000260,SES0010065,Delhi,2024-06-19,2024-06-08,6699.94,True,22
SCH0000261,SES0003356,Delhi,2024-06-08,2024-05-31,3392.18,True,16
SCH0000262,SES0011877,New York,2024-04-20,2024-03-13,17504.92,False,4
SCH0000263,SES0001093,Kolkata,2024-04-05,2024-02-06,1500.0,True,2
SCH0000264,SES0002639,London,2024-03-02,2024-03-17,10805.45,False,2
SCH0000265,SES0003826,London,2024-02-10,2024-02-06,15894.3,False,1
SCH0000266,SES0003894,Dubai,2024-04-23,2024-05-15,9663.47,False,11
SCH0000267,SES0005058,Hyderabad,2024-03-31,2024-02-28,9442.39,True,5
SCH0000268,SES0011719,Pune,2024-03-13,2024-03-11,2773.72,True,7
SCH0000269,SES0011735,Goa,2024-07-22,2024-08-15,4121.54,True,22
SCH0000270,SES0010112,Pune,2024-05-28,2024-06-15,5178.63,True,17
SCH0000271,SES0008658,Jaipur,2024-06-03,2024-05-19,8747.38,True,17
SCH0000272,SES0006631,Chennai,2024-01-24,2024-02-25,2767.38,True,1
SCH0000273,SES0001744,Goa,2024-03-06,2024-05-07,7826.46,True,7
SCH0000274,SES0004026,Hyderabad,2024-04-27,2024-04-13,4934.93,True,12
SCH0000275,SES0001370,Bengaluru,2024-02-03,2024-03-05,3318.93,True,4
SCH0000276,SES0005909,Hyderabad,2024-07-03,2024-08-18,5912.6,True,22
SCH0000277,SES0000608,Delhi,2024-08-11,2024-06-13,5322.1,True,23
SCH0000278,SES0010361,Bengaluru,2024-05-11,2024-05-06,3865.76,True,8
SCH0000279,SES0004290,Dubai,2024-04-12,2024-06-04,18674.25,False,12
SCH0000280,SES0011511,Delhi,2024-06-30,2024-06-28,4212.77,True,14
SCH0000281,SES0005331,Dubai,2024-04-19,2024-03-25,19086.92,False,7
SCH0000282,SES0011559,London,2024-02-26,2024-03-19,25111.1,False,2
SCH0000283,SES0003657,Chennai,2024-05-05,2024-04-25,9268.78,True,6
SCH0000284,SES0003828,London,2024-03-19,2024-04-22,9711.75,False,7
SCH0000285,SES0006345,Ahmedabad,2024-06-08,2024-05-25,11535.83,True,18
SCH0000286,SES0011202,Chennai,2024-03-08,2024-05-05,2251.08,True,7
SCH0000287,SES0001080,New York,2024-08-07,2024-09-15,16715.76,False,26
SCH0000288,SES0001497,Ahmedabad,2024-08-16,2024-09-23,6218.77,True,26
SCH0000289,SES0011609,Jaipur,2024-05-18,2024-05-17,5499.41,True,18
SCH0000290,SES0005908,Chennai,2024-06-01,2024-06-10,3831.15,True,18
SCH0000291,SES0002370,Singapore,2024-07-09,2024-06-28,16251.47,False,16
SCH0000292,SES0007709,Delhi,2024-05-20,2024-05-29,4035.15,True,16
SCH0000293,SES0010660,Hyderabad,2024-07-05,2024-08-03,3882.58,True,24
SCH0000294,SES0006105,Mumbai,2024-07-04,2024-06-02,6903.89,True,17
SCH0000295,SES0009476,New York,2024-02-18,2024-04-22,21558.12,False,6
SCH0000296,SES0003776,Ahmedabad,2024-07-23,2024-06-27,3725.05,True,19
SCH0000297,SES0006311,Delhi,2024-05-08,2024-04-12,7043.36,True,11
SCH0000298,SES0006842,Bengaluru,2024-07-06,2024-05-31,5557.59,True,18
SCH0000299,SES0005628,Delhi,2024-04-20,2024-05-09,6803.18,True,13
SCH0000300,SES0007071,Pune,2024-06-04,2024-06-15,6322.38,True,15
SCH0000301,SES0010148,Singapore,2024-05-16,2024-04-06,11914.39,False,13
SCH0000302,SES0005273,Goa,2024-03-01,2024-03-21,3928.16,True,6
SCH0000303,SES0007212,Ahmedabad,2024-06-05,2024-07-03,6627.07,True,16
SCH0000304,SES0011640,Pune,2024-02-22,2024-02-05,6273.87,True,3
SCH0000305,SES0009426,Goa,2024-06-02,2024-08-02,4873.85,True,19
SCH0000306,SES0000104,Jaipur,2024-05-29,2024-05-06,5150.92,True,17
SCH0000307,SES0004424,Goa,2024-07-16,2024-06-21,8193.25,True,18
SCH0000308,SES0010300,Dubai,2024-05-11,2024-04-05,13416.15,False,12
SCH0000309,SES0009427,Pune,2024-05-01,2024-04-25,6117.07,True,8
SCH0000310,SES0010333,Bengaluru,2024-07-02,2024-06-21,4532.93,True,17
SCH0000311,SES0007204,Hyderabad,2024-07-15,2024-09-13,4504.93,True,25
SCH0000312,SES0005224,Hyderabad,2024-04-01,2024-05-05,7627.46,True,12
SCH0000313,SES0001848,Chennai,2024-06-25,2024-08-31,6837.43,True,25
SCH0000314,SES0009686,Chennai,2024-04-10,2024-04-18,6804.94,True,7
SCH0000315,SES0009013,Delhi,2024-04-25,2024-06-25,8284.91,True,16
SCH0000316,SES0002024,Jaipur,2024-03-20,2024-04-03,4956.23,True,3
SCH0000317,SES0008589,Singapore,2024-03-31,2024-04-09,25361.22,False,4
SCH0000318,SES0002373,Kolkata,2024-03-16,2024-05-04,4341.14,True,8
SCH0000319,SES0007223,Kolkata,2024-04-12,2024-06-10,5595.21,True,12
SCH0000320,SES0001671,Hyderabad,2024-07-29,2024-07-30,4665.46,True,26
SCH0000321,SES0001108,Chennai,2024-05-18,2024-07-10,5109.2,True,16
SCH0000322,SES0001196,London,2024-05-03,2024-07-13,24284.13,False,17
SCH0000323,SES0004526,Hyderabad,2024-06-22,2024-05-20,3542.94,True,14
SCH0000324,SES0003705,Singapore,2024-06-23,2024-05-31,51338.37,False,16
SCH0000325,SES0011842,Delhi,2024-03-29,2024-04-06,3286.55,True,3
SCH0000326,SES0010926,Mumbai,2024-05-01,2024-05-04,3023.97,True,8
SCH0000327,SES0011996,Singapore,2024-04-18,2024-04-05,32178.55,False,8
SCH0000328,SES0001495,Dubai,2024-05-15,2024-05-04,26791.27,False,16
SCH0000329,SES0004794,Bengaluru,2024-07-15,2024-06-25,6308.47,True,20
SCH0000330,SES0006779,Singapore,2024-06-22,2024-05-26,24690.47,False,15
SCH0000331,SES0011310,Hyderabad,2024-07-12,2024-05-28,4890.75,True,16
SCH0000332,SES0007992,London,2024-07-03,2024-07-19,11514.62,False,25
SCH0000333,SES0005939,Hyderabad,2024-09-10,2024-08-09,5066.08,True,26
SCH0000334,SES0007950,Kolkata,2024-03-08,2024-02-17,3748.59,True,5
SCH0000335,SES0000165,Jaipur,2024-07-23,2024-08-27,7259.37,True,25
SCH0000336,SES0011750,London,2024-07-30,2024-09-16,16755.32,False,26
SCH0000337,SES0004458,Jaipur,2024-02-23,2024-03-20,3532.64,True,6
