view_id,search_id,hotel_id,listed_price,week_number
VEW0000160,SCH0008330,HTL0063,4694.06,3
VEW0000161,SCH0006600,HTL0047,9693.88,17
VEW0000162,SCH0015787,HTL0021,2703.89,9
VEW0000163,SCH0008476,HTL0041,3905.74,8
VEW0000164,SCH0004564,HTL0069,5380.72,1
VEW0000165,SCH0006914,HTL0014,7749.36,11
VEW0000166,SCH0014893,HTL0060,6224.87,7
VEW0000167,SCH0009553,HTL0090,5979.61,11
VEW0000168,SCH0010776,HTL0100,19668.15,14
VEW0000169,SCH0012700,HTL0062,3996.75,23
VEW0000170,SCH0003205,HTL0039,3269.63,11
VEW0000171,SCH0007749,HTL0096,26569.18,7
VEW0000172,SCH0016086,HTL0107,33487.57,8
VEW0000173,SCH0001617,HTL0063,5596.42,1
VEW0000174,SCH0014933,HTL0030,4718.68,16
VEW0000175,SCH0015202,HTL0073,6614.79,1
VEW0000176,SCH0014834,HTL0029,6041.54,24
VEW0000177,SCH0002932,HTL0033,4095.94,16
VEW0000178,SCH0016070,HTL0059,6293.32,1
VEW0000179,SCH0012835,HTL0042,5996.1,16
VEW0000180,SCH0004440,HTL0010,6036.72,23
VEW0000181,SCH0013451,HTL0074,6935.21,3
VEW0000182,SCH0001356,HTL0110,8051.51,25
VEW0000183,SCH0011799,HTL0082,9883.61,7
VEW0000184,SCH0010109,HTL0102,17654.95,18
VEW0000185,SCH0011465,HTL0084,18801.52,24
VEW0000186,SCH0001285,HTL0035,3562.36,10
VEW0000187,SCH0011741,HTL0004,4901.42,17
VEW0000188,SCH0009675,HTL0117,24044.44,23
VEW0000189,SCH0011763,HTL0042,2431.87,15
VEW0000190,SCH0007818,HTL0076,3415.78,11
VEW0000191,SCH0005009,HTL0087,3737.69,4
VEW0000192,SCH0002371,HTL0041,4621.36,23
VEW0000193,SCH0015976,HTL0092,18857.44,22
VEW0000194,SCH0003050,HTL0060,7704.92,9
VEW0000195,SCH0004601,HTL0032,4498.43,24
VEW0000196,SCH0009162,HTL0097,17549.67,2
VEW0000197,SCH0011821,HTL0025,3884.91,17
VEW0000198,SCH0008130,HTL0120,20172.89,6
VEW0000199,SCH0008552,HTL0044,3637.55,16
VEW0000200,SCH0007446,HTL0054,9075.05,22
VEW0000201,SCH0017132,HTL0095,44001.69,25
VEW0000202,SCH0015236,HTL0094,19823.16,4
VEW0000203,SCH0011963,HTL0063,3068.88,16
VEW0000204,SCH0008933,HTL0085,4885.82,8
VEW0000205,SCH0010583,HTL0083,4105.71,4
VEW0000206,SCH0003525,HTL0113,13201.38,20
VEW0000207,SCH0001672,HTL0120,14917.84,18
VEW0000208,SCH0004772,HTL0056,3358.99,13
VEW0000209,SCH0002469,HTL0066,6586.93,24
VEW0000210,SCH0002248,HTL0017,2937.21,17
VEW0000211,SCH0003571,HTL0051,4421.44,12
VEW0000212,SCH0016351,HTL0100,7932.37,4
VEW0000213,SCH0007966,HTL0082,3995.62,4
VEW0000214,SCH0012119,HTL0115,12128.0,19
VEW0000215,SCH0010569,HTL0013,4145.77,15
VEW0000216,SCH0003442,HTL0087,3926.74,16
VEW0000217,SCH0005301,HTL0110,16687.23,6
VEW0000218,SCH0014532,HTL0114,17716.45,18
VEW0000219,SCH0010429,HTL0047,7667.85,25
VEW0000220,SCH0006274,HTL0030,3216.71,15
VEW0000221,SCH0012489,HTL0109,18165.55,23
VEW0000222,SCH0004817,HTL0057,8406.5,25
VEW0000223,SCH0001538,HTL0108,14040.77,10
VEW0000224,SCH0008068,HTL0039,7057.2,14
VEW0000225,SCH0003641,HTL0116,13795.71,10
VEW0000226,SCH0005207,HTL0064,7677.52,21
VEW0000227,SCH0015061,HTL0081,8997.73,9
VEW0000228,SCH0011164,HTL0040,12516.77,11
VEW0000229,SCH0003638,HTL0082,5559.28,22
VEW0000230,SCH0007751,HTL0033,4904.89,23
VEW0000231,SCH0014768,HTL0026,10957.22,11
VEW0000232,SCH0011595,HTL0014,5056.46,21
VEW0000233,SCH0008404,HTL0066,4686.6,10
VEW0000234,SCH0002951,HTL0062,7843.55,10
VEW0000235,SCH0012212,HTL0044,4794.7,26
VEW0000236,SCH0006247,HTL0028,5981.21,15
VEW0000237,SCH0011243,HTL0003,4387.03,15
VEW0000238,SCH0001433,HTL0117,27811.38,26
VEW0000239,SCH0001839,HTL0012,4757.48,9
VEW0000240,SCH0015938,HTL0087,5887.95,3
VEW0000241,SCH0004204,HTL0113,11034.92,1
VEW0000242,SCH0017745,HTL0049,8307.35,14
VEW0000243,SCH0000760,HTL0019,6410.29,11
VEW0000244,SCH0017197,HTL0004,7770.25,20
VEW0000245,SCH0008606,HTL0110,31862.51,9
VEW0000246,SCH0000619,HTL0085,6097.83,11
VEW0000247,SCH0008707,HTL0083,5452.35,17
VEW0000248,SCH0000329,HTL0013,6336.61,20
VEW0000249,SCH0013953,HTL0118,43195.21,5
VEW0000250,SCH0004067,HTL0113,19709.36,6
VEW0000251,SCH0006991,HTL0120,24888.89,22
VEW0000252,SCH0006236,HTL0080,7289.52,4
VEW0000253,SCH0015531,HTL0101,36167.05,1
VEW0000254,SCH0004304,HTL0015,6492.21,20
VEW0000255,SCH0014867,HTL0074,7416.03,26
VEW0000256,SCH0002419,HTL0055,5721.62,4
VEW0000257,SCH0007188,HTL0035,11623.15,5
VEW0000258,SCH0008005,HTL0073,8366.67,24
VEW0000259,SCH0001591,HTL0102,10555.18,21
VEW0000260,SCH0015491,HTL0082,3164.28,26
VEW0000261,SCH0016164,HTL0081,6611.92,8
VEW0000262,SCH0010640,HTL0084,4765.93,26
VEW0000263,SCH0008232,HTL0010,2408.38,22
VEW0000264,SCH0006028,HTL0057,2660.55,10
VEW0000265,SCH0007544,HTL0003,8582.97,11
VEW0000266,SCH0014558,HTL0089,8427.69,13
VEW0000267,SCH0007939,HTL0097,38755.72,7
VEW0000268,SCH0012449,HTL0077,5732.11,13
VEW0000269,SCH0002486,HTL0093,27921.97,21
VEW0000270,SCH0010993,HTL0048,3966.85,16
VEW0000271,SCH0015393,HTL0086,6750.64,2
VEW0000272,SCH0010214,HTL0051,4734.94,1
VEW0000273,SCH0007142,HTL0059,5851.45,16
VEW0000274,SCH0009996,HTL0072,8157.1,24
VEW0000275,SCH0009751,HTL0101,14357.49,24
VEW0000276,SCH0012477,HTL0042,4574.51,15
VEW0000277,SCH0005821,HTL0062,5080.5,14
VEW0000278,SCH0005149,HTL0085,6550.88,9
VEW0000279,SCH0006174,HTL0032,2929.66,9
VEW0000280,SCH0000716,HTL0096,30940.98,18
VEW0000281,SCH0010939,HTL0108,8114.74,25
VEW0000282,SCH0001766,HTL0119,11803.52,6
VEW0000283,SCH0011440,HTL0103,18305.39,17
VEW0000284,SCH0015055,HTL0022,4512.03,22
VEW0000285,SCH0012589,HTL0091,7912.58,15
VEW0000286,SCH0003851,HTL0065,3907.4,18
VEW0000287,SCH0010979,HTL0113,30301.83,10
VEW0000288,SCH0002467,HTL0066,3647.31,6
VEW0000289,SCH0007043,HTL0005,6033.13,16
VEW0000290,SCH0010237,HTL0009,7596.4,19
VEW0000291,SCH0001541,HTL0023,4734.46,18
VEW0000292,SCH0003776,HTL0107,22770.38,20
VEW0000293,SCH0013140,HTL0070,4704.93,5
VEW0000294,SCH0006409,HTL0038,4040.63,2
VEW0000295,SCH0001861,HTL0046,4593.89,8
VEW0000296,SCH0003074,HTL0076,9288.5,1
VEW0000297,SCH0004985,HTL0003,6123.34,18
VEW0000298,SCH0012085,HTL0072,3503.31,12
VEW0000299,SCH0016860,HTL0050,6371.01,11
VEW0000300,SCH0003677,HTL0118,18962.49,17
VEW0000301,SCH0009148,HTL0091,14280.56,23
VEW0000302,SCH0014947,HTL0084,4951.43,12
VEW0000303,SCH0012261,HTL0100,8066.12,19
VEW0000304,SCH0017993,HTL0025,4132.98,12
VEW0000305,SCH0008119,HTL0001,4595.49,12
VEW0000306,SCH0016621,HTL0040,3789.23,6
VEW0000307,SCH0011277,HTL0010,10606.18,21
VEW0000308,SCH0017310,HTL0077,4762.31,11
VEW0000309,SCH0015922,HTL0109,13466.0,10
VEW0000310,SCH0013708,HTL0003,5794.65,15
VEW0000311,SCH0010615,HTL0022,5282.65,15
VEW0000312,SCH0008061,HTL0081,5181.18,26
VEW0000313,SCH0013360,HTL0011,7152.83,21
VEW0000314,SCH0004670,HTL0012,4912.75,8
VEW0000315,SCH0011293,HTL0090,7911.21,5
VEW0000316,SCH0006781,HTL0025,7862.46,21
VEW0000317,SCH0000325,HTL0079,3286.49,3
VEW0000318,SCH0007216,HTL0069,6111.5,24
VEW0000319,SCH0015186,HTL0058,4468.31,26
VEW0000320,SCH0012424,HTL0094,27762.02,20
VEW0000321,SCH0000518,HTL0092,10732.68,12
VEW0000322,SCH0011869,HTL0014,5674.3,25
VEW0000323,SCH0011902,HTL0039,2975.5,16
VEW0000324,SCH0009353,HTL0120,10795.22,15
VEW0000325,SCH0002848,HTL0120,11576.31,21
VEW0000326,SCH0005969,HTL0068,5531.77,24
VEW0000327,SCH0008695,HTL0093,17431.0,25
VEW0000328,SCH0000276,HTL0073,6067.05,22
VEW0000329,SCH0011538,HTL0071,5275.06,4
VEW0000330,SCH0006102,HTL0093,19681.71,9
VEW0000331,SCH0017141,HTL0071,7191.04,25
VEW0000332,SCH0004873,HTL0014,2912.01,18
VEW0000333,SCH0016675,HTL0055,4642.43,20
VEW0000334,SCH0007132,HTL0046,4479.2,8
VEW0000335,SCH0012342,HTL0022,4310.72,2
VEW0000336,SCH0015197,HTL0086,5872.14,16
VEW0000337,SCH0002490,HTL0032,2322.04,12
VEW0000338,SCH0013460,HTL0116,17372.52,4
VEW0000339,SCH0001870,HTL0095,14648.39,3
VEW0000340,SCH0006868,HTL0120,12212.24,8
VEW0000341,SCH0004210,HTL0070,3119.94,2
VEW0000342,SCH0001052,HTL0075,5859.16,22
VEW0000343,SCH0017200,HTL0026,5020.7,26
VEW0000344,SCH0005600,HTL0104,22564.08,26
VEW0000345,SCH0016990,HTL0115,9413.23,24
VEW0000346,SCH0009281,HTL0090,7983.03,18
VEW0000347,SCH0016267,HTL0012,5646.09,13
VEW0000348,SCH0001129,HTL0039,4906.68,14
VEW0000349,SCH0016353,HTL0116,21787.19,17
VEW0000350,SCH0014051,HTL0038,5505.5,2
VEW0000351,SCH0017152,HTL0079,9818.04,9
VEW0000352,SCH0010726,HTL0104,12519.67,7
VEW0000353,SCH0017406,HTL0032,6580.52,20
VEW0000354,SCH0010536,HTL0073,2951.71,15
VEW0000355,SCH0014736,HTL0006,2605.21,15
VEW0000356,SCH0002852,HTL0061,6836.56,21
VEW0000357,SCH0015286,HTL0116,8442.83,2
VEW0000358,SCH0001738,HTL0053,3279.33,14
VEW0000359,SCH0017514,HTL0108,23076.83,9
VEW0000360,SCH0008981,HTL0037,4221.8,10
VEW0000361,SCH0009718,HTL0067,3138.77,21
VEW0000362,SCH0000881,HTL0109,64406.37,24
VEW0000363,SCH0014027,HTL0065,4407.52,14
VEW0000364,SCH0012038,HTL0108,7813.5,21
VEW0000365,SCH0007705,HTL0068,3615.59,24
VEW0000366,SCH0009716,HTL0038,4694.68,11
VEW0000367,SCH0001790,HTL0003,8525.14,21
VEW0000368,SCH0012937,HTL0007,7065.11,5
VEW0000369,SCH0000031,HTL0025,3803.15,22
VEW0000370,SCH0013358,HTL0117,12186.27,24
VEW0000371,SCH0016304,HTL0063,4339.47,16
VEW0000372,SCH0007294,HTL0105,11305.18,3
VEW0000373,SCH0006617,HTL0084,7604.38,10
VEW0000374,SCH0015649,HTL0018,1810.28,26
VEW0000375,SCH0005430,HTL0089,2426.5,12
VEW0000376,SCH0007147,HTL0010,6333.13,9
VEW0000377,SCH0013194,HTL0063,2352.86,10
VEW0000378,SCH0005003,HTL0051,2335.01,20
VEW0000379,SCH0011630,HTL0069,9935.15,5
VEW0000380,SCH0017430,HTL0115,28004.65,18
VEW0000381,SCH0009749,HTL0049,3761.81,13
VEW0000382,SCH0014639,HTL0040,3775.88,2
VEW0000383,SCH0013173,HTL0093,13251.67,26
VEW0000384,SCH0007487,HTL0090,7953.96,4
VEW0000385,SCH0016708,HTL0054,3626.07,4
VEW0000386,SCH0011648,HTL0008,4714.35,3
VEW0000387,SCH0005368,HTL0093,15867.05,11
VEW0000388,SCH0012222,HTL0057,4609.01,24
VEW0000389,SCH0000732,HTL0045,3247.98,20
VEW0000390,SCH0012704,HTL0005,3606.06,9
VEW0000391,SCH0009388,HTL0050,10149.24,15
VEW0000392,SCH0016248,HTL0077,3508.72,4
VEW0000393,SCH0013422,HTL0118,20979.04,5
VEW0000394,SCH0001561,HTL0080,4801.73,7
VEW0000395,SCH0006838,HTL0002,2430.99,20
VEW0000396,SCH0016149,HTL0089,3978.65,23
VEW0000397,SCH0013548,HTL0100,31073.82,7
VEW0000398,SCH0010198,HTL0022,7415.48,4
VEW0000399,SCH0012278,HTL0053,5517.13,5
VEW0000400,SCH0016917,HTL0083,3842.33,1
VEW0000401,SCH0011676,HTL0100,11908.35,26
VEW0000402,SCH0005675,HTL0094,9201.75,17
VEW0000403,SCH0016674,HTL0039,4340.13,24
VEW0000404,SCH0003335,HTL0114,35828.21,6
VEW0000405,SCH0005487,HTL0107,19078.03,17
VEW0000406,SCH0004722,HTL0013,6216.34,20
VEW0000407,SCH0003918,HTL0057,6181.97,21
VEW0000408,SCH0002167,HTL0088,3537.61,14
VEW0000409,SCH0005865,HTL0002,4032.66,1
VEW0000410,SCH0015982,HTL0110,14336.71,13
VEW0000411,SCH0014853,HTL0008,6586.87,5
VEW0000412,SCH0016048,HTL0110,9419.15,22
VEW0000413,SCH0004423,HTL0100,32881.8,13
VEW0000414,SCH0001147,HTL0015,3211.28,6
VEW0000415,SCH0016870,HTL0117,13328.67,13
VEW0000416,SCH0002754,HTL0052,4527.14,7
VEW0000417,SCH0017053,HTL0087,12705.68,22
VEW0000418,SCH0003956,HTL0057,3947.57,2
VEW0000419,SCH0013925,HTL0088,11733.81,5
VEW0000420,SCH0005516,HTL0080,2701.85,2
VEW0000421,SCH0013862,HTL0044,9135.36,23
VEW0000422,SCH0007568,HTL0010,2973.49,5
VEW0000423,SCH0017318,HTL0002,5111.72,21
VEW0000424,SCH0016708,HTL0028,3508.45,4
VEW0000425,SCH0013886,HTL0033,2809.49,21
VEW0000426,SCH0003384,HTL0106,30479.35,23
VEW0000427,SCH0012599,HTL0021,6574.72,15
VEW0000428,SCH0013547,HTL0009,3127.0,19
VEW0000429,SCH0004964,HTL0024,5667.49,14
VEW0000430,SCH0015007,HTL0034,8137.26,7
VEW0000431,SCH0011469,HTL0018,4495.07,6
VEW0000432,SCH0004318,HTL0051,7679.0,19
VEW0000433,SCH0012546,HTL0014,3606.5,22
VEW0000434,SCH0011046,HTL0020,7010.16,16
VEW0000435,SCH0008174,HTL0115,12359.94,6
VEW0000436,SCH0005278,HTL0084,2967.59,4
VEW0000437,SCH0003057,HTL0070,4046.26,3
VEW0000438,SCH0012245,HTL0075,9432.16,7
VEW0000439,SCH0008394,HTL0030,4257.21,4
VEW0000440,SCH0004770,HTL0055,6889.37,8
VEW0000441,SCH0002133,HTL0073,6449.37,11
VEW0000442,SCH0007575,HTL0002,3665.72,14
VEW0000443,SCH0005309,HTL0102,12009.45,26
VEW0000444,SCH0008575,HTL0110,16848.14,8
VEW0000445,SCH0010294,HTL0068,4694.01,10
VEW0000446,SCH0000105,HTL0071,4685.16,8
VEW0000447,SCH0002706,HTL0107,30932.95,9
VEW0000448,SCH0011312,HTL0036,3134.26,23
VEW0000449,SCH0001046,HTL0048,6939.15,13
VEW0000450,SCH0001452,HTL0104,41563.19,7
VEW0000451,SCH0017018,HTL0069,5909.41,17
VEW0000452,SCH0014097,HTL0080,6499.44,23
VEW0000453,SCH0013536,HTL0062,6998.22,19
VEW0000454,SCH0012688,HTL0113,16874.29,8
VEW0000455,SCH0000657,HTL0021,4923.99,16
VEW0000456,SCH0003551,HTL0085,3922.69,26
VEW0000457,SCH0004029,HTL0092,39131.92,25
VEW0000458,SCH0006713,HTL0090,8928.13,9
VEW0000459,SCH0000508,HTL0104,11364.49,9
VEW0000460,SCH0005053,HTL0050,5466.02,12
VEW0000461,SCH0006705,HTL0104,16231.89,23
VEW0000462,SCH0001491,HTL0066,4058.74,6
VEW0000463,SCH0004878,HTL0025,5921.95,7
VEW0000464,SCH0001029,HTL0023,6099.07,10
VEW0000465,SCH0002450,HTL0021,3667.44,12
VEW0000466,SCH0012468,HTL0027,5982.82,1
VEW0000467,SCH0008885,HTL0115,43797.83,15
VEW0000468,SCH0004487,HTL0003,5838.8,21
VEW0000469,SCH0005998,HTL0004,2972.4,9
VEW0000470,SCH0015470,HTL0116,11277.81,5
VEW0000471,SCH0016750,HTL0112,17884.16,16
VEW0000472,SCH0016102,HTL0059,6564.65,13
VEW0000473,SCH0016773,HTL0057,2173.41,16
VEW0000474,SCH0012712,HTL0045,7163.83,21
VEW0000475,SCH0011632,HTL0007,4224.08,6
VEW0000476,SCH0007207,HTL0065,5569.47,3
VEW0000477,SCH0006118,HTL0066,3443.67,25
VEW0000478,SCH0012521,HTL0034,4932.9,25
VEW0000479,SCH0017752,HTL0059,4466.37,10
VEW0000480,SCH0003190,HTL0042,10380.96,8
VEW0000481,SCH0013051,HTL0008,5529.55,26
VEW0000482,SCH0012970,HTL0082,5277.92,19
VEW0000483,SCH0016824,HTL0068,4028.21,6
VEW0000484,SCH0009075,HTL0120,50517.47,20
VEW0000485,SCH0011072,HTL0112,8230.23,19
VEW0000486,SCH0012221,HTL0074,6297.97,7
VEW0000487,SCH0017585,HTL0103,15219.76,1
VEW0000488,SCH0010955,HTL0116,12570.01,24
VEW0000489,SCH0015396,HTL0094,12742.96,26
VEW0000490,SCH0014879,HTL0009,4848.33,16
VEW0000491,SCH0012234,HTL0103,17378.98,22
VEW0000492,SCH0006427,HTL0097,11813.16,15
VEW0000493,SCH0009708,HTL0041,7428.67,23
VEW0000494,SCH0002768,HTL0017,5811.84,18
VEW0000495,SCH0006283,HTL0071,7197.5,15
VEW0000496,SCH0017013,HTL0084,4980.92,13
VEW0000497,SCH0006194,HTL0030,7331.44,26
VEW0000498,SCH0012146,HTL0096,25256.44,21
VEW0000499,SCH0016949,HTL0104,13606.67,5
VEW0000500,SCH0013788,HTL0005,3953.5,14
VEW0000501,SCH0016475,HTL0046,3339.62,12
VEW0000502,SCH0002826,HTL0034,9523.17,19
VEW0000503,SCH0001833,HTL0053,7175.29,24
VEW0000504,SCH0013932,HTL0090,2402.79,17
VEW0000505,SCH0016273,HTL0080,3045.09,1
VEW0000506,SCH0002038,HTL0050,4086.43,25
VEW0000507,SCH0008915,HTL0082,4628.08,20
VEW0000508,SCH0009989,HTL0023,3266.05,5
VEW0000509,SCH0001041,HTL0012,9733.32,6
VEW0000510,SCH0012460,HTL0003,4906.69,1
VEW0000511,SCH0000398,HTL0034,8355.31,22
VEW0000512,SCH0009957,HTL0091,22128.49,6
VEW0000513,SCH0016838,HTL0042,3658.31,7
VEW0000514,SCH0003019,HTL0037,4064.34,10
VEW0000515,SCH0016913,HTL0019,2898.73,26
VEW0000516,SCH0017849,HTL0104,21060.78,1
