booking_id,attempt_id,user_id,hotel_id,booking_value,platform_commission_pct,revenue,week_number,is_domestic
BKG0000038,ATT0001852,USR003017,HTL0048,3049.55,0.1084,330.5,16,True
BKG0000039,ATT0005407,USR001738,HTL0100,15468.84,0.0991,1532.57,24,False
BKG0000040,ATT0002980,USR001685,HTL0087,3217.43,0.122,392.65,1,True
BKG0000041,ATT0003739,USR003997,HTL0095,12577.78,0.1416,1780.8,13,False
BKG0000042,ATT0001873,USR001792,HTL0048,2726.95,0.1129,308.0,5,True
BKG0000043,ATT0000847,USR002026,HTL0088,3852.27,0.1317,507.39,6,True
BKG0000044,ATT0001892,USR001156,HTL0062,7542.31,0.1362,1026.92,14,True
BKG0000045,ATT0001566,USR000084,HTL0118,15802.96,0.1023,1617.05,20,False
BKG0000046,ATT0004852,USR003133,HTL0027,4132.25,0.151,624.08,4,True
BKG0000047,ATT0004698,USR002042,HTL0056,11257.74,0.1128,1270.31,2,True
BKG0000048,ATT0004848,USR001131,HTL0081,4453.72,0.1533,682.71,6,True
BKG0000049,ATT0001641,USR001909,HTL0011,4526.26,0.1462,661.57,12,True
BKG0000050,ATT0003357,USR001461,HTL0057,6243.02,0.1323,826.03,10,True
BKG0000051,ATT0002522,USR001352,HTL0052,3604.77,0.1562,563.15,1,True
BKG0000052,ATT0000278,USR003896,HTL0025,4165.03,0.1181,491.85,21,True
BKG0000053,ATT0002594,USR002244,HTL0002,8857.68,0.1272,1127.07,19,True
BKG0000054,ATT0004693,USR002894,HTL0111,8890.42,0.1089,968.2,19,False
BKG0000055,ATT0002572,USR000691,HTL0104,21027.25,0.1081,2273.44,22,False
BKG0000056,ATT0001329,USR001780,HTL0057,4469.48,0.1365,610.25,10,True
BKG0000057,ATT0002503,USR003731,HTL0093,16025.51,0.1133,1815.23,2,False
BKG0000058,ATT0000405,USR002736,HTL0091,8970.92,0.1554,1394.3,11,False
BKG0000059,ATT0004809,USR003510,HTL0086,4143.4,0.1434,594.1,4,True
BKG0000060,ATT0000298,USR001029,HTL0005,2753.47,0.1409,387.91,9,True
BKG0000061,ATT0001077,USR001440,HTL0077,2371.76,0.1563,370.76,10,True
BKG0000062,ATT0001754,USR001506,HTL0108,14864.06,0.1597,2373.52,2,False
BKG0000063,ATT0005826,USR001927,HTL0079,6116.79,0.0965,590.49,20,True
BKG0000064,ATT0000489,USR002968,HTL0003,7749.42,0.12,929.62,24,True
BKG0000065,ATT0005008,USR001665,HTL0010,4766.07,0.1132,539.51,25,True
BKG0000066,ATT0002145,USR003756,HTL0086,12618.97,0.133,1678.95,1,True
BKG0000067,ATT0003276,USR001861,HTL0105,22603.91,0.1589,3591.32,12,False
BKG0000068,ATT0003225,USR000816,HTL0081,5297.77,0.1525,807.98,2,True
BKG0000069,ATT0002058,USR001031,HTL0062,5047.98,0.1448,731.14,5,True
BKG0000070,ATT0002744,USR001336,HTL0016,5003.33,0.1291,646.1,2,True
BKG0000071,ATT0002218,USR000783,HTL0101,23693.95,0.1166,2763.7,26,False
BKG0000072,ATT0002030,USR000365,HTL0116,17468.0,0.1113,1943.63,16,False
BKG0000073,ATT0002052,USR001454,HTL0032,3595.45,0.1225,440.33,6,True
BKG0000074,ATT0005020,USR002811,HTL0087,4468.24,0.1325,592.13,11,True
BKG0000075,ATT0001334,USR003083,HTL0002,4709.25,0.0985,463.81,16,True
BKG0000076,ATT0004194,USR002684,HTL0101,41103.99,0.11,4522.13,26,False
BKG0000077,ATT0005755,USR003486,HTL0108,28067.98,0.146,4098.26,15,False
BKG0000078,ATT0005109,USR001596,HTL0014,11206.6,0.0915,1025.02,26,True
BKG0000079,ATT0002693,USR001118,HTL0034,6691.01,0.1206,807.04,26,True
BKG0000080,ATT0001241,USR000035,HTL0020,2170.09,0.111,240.88,13,True
BKG0000081,ATT0000481,USR003996,HTL0045,2879.64,0.1359,391.24,3,True
BKG0000082,ATT0003800,USR003960,HTL0062,5147.02,0.1387,713.76,14,True
BKG0000083,ATT0005389,USR002591,HTL0058,4707.3,0.1481,696.97,11,True
BKG0000084,ATT0005291,USR000700,HTL0105,25051.7,0.1204,3017.26,18,False
BKG0000085,ATT0003633,USR001491,HTL0078,8714.05,0.1309,1140.43,5,True
BKG0000086,ATT0005002,USR003890,HTL0106,14461.14,0.0927,1339.9,19,False
BKG0000087,ATT0003457,USR002202,HTL0103,7954.66,0.1177,936.58,19,False
BKG0000088,ATT0004250,USR001482,HTL0065,3877.73,0.1355,525.62,12,True
BKG0000089,ATT0005690,USR003816,HTL0115,18629.98,0.1033,1924.89,22,False
BKG0000090,ATT0003616,USR000138,HTL0043,4326.69,0.1217,526.75,3,True
BKG0000091,ATT0003184,USR001081,HTL0014,4812.53,0.116,558.2,14,True
BKG0000092,ATT0003051,USR003998,HTL0084,7060.66,0.1248,880.87,5,True
BKG0000093,ATT0001283,USR001266,HTL0058,4340.3,0.1083,470.23,19,True
BKG0000094,ATT0005524,USR002972,HTL0019,4734.63,0.1339,633.87,15,True
BKG0000095,ATT0005660,USR001501,HTL0042,5857.03,0.1133,663.66,18,True
BKG0000096,ATT0000604,USR003370,HTL0074,6567.79,0.1045,686.33,19,True
BKG0000097,ATT0003608,USR001456,HTL0099,32545.72,0.1268,4126.66,18,False
BKG0000098,ATT0002395,USR000041,HTL0056,6246.13,0.1348,841.94,5,True
BKG0000099,ATT0005603,USR002731,HTL0068,4634.02,0.1312,607.92,10,True
BKG0000100,ATT0005103,USR003315,HTL0011,8568.9,0.0919,787.71,21,True
BKG0000101,ATT0001424,USR000637,HTL0119,11219.59,0.114,1278.59,26,False
BKG0000102,ATT0001844,USR000764,HTL0086,8390.45,0.1401,1175.87,6,True
BKG0000103,ATT0000011,USR002648,HTL0110,20119.49,0.1392,2799.92,7,False
BKG0000104,ATT0003784,USR000074,HTL0014,7813.62,0.1255,980.64,26,True
BKG0000105,ATT0005424,USR003948,HTL0116,22869.89,0.1481,3388.06,10,False
BKG0000106,ATT0001249,USR000185,HTL0080,5030.34,0.1534,771.5,7,True
BKG0000107,ATT0004110,USR001382,HTL0085,3888.25,0.113,439.26,4,True
BKG0000108,ATT0001560,USR003985,HTL0105,17166.82,0.1027,1763.46,24,False
BKG0000109,ATT0002571,USR003897,HTL0042,5408.1,0.1259,681.07,10,True
BKG0000110,ATT0005979,USR003040,HTL0076,5284.69,0.1429,754.93,5,True
BKG0000111,ATT0001599,USR003002,HTL0002,3052.15,0.1324,404.2,12,True
BKG0000112,ATT0004845,USR002092,HTL0087,4146.54,0.1489,617.31,15,True
BKG0000113,ATT0000110,USR003829,HTL0059,3014.08,0.1292,389.48,11,True
BKG0000114,ATT0003908,USR000092,HTL0105,9890.06,0.0989,977.77,23,False
BKG0000115,ATT0001336,USR002813,HTL0028,11609.05,0.1245,1445.88,4,True
BKG0000116,ATT0001320,USR002230,HTL0106,7751.27,0.1191,923.36,15,False
BKG0000117,ATT0002680,USR001488,HTL0081,5100.99,0.1199,611.58,11,True
BKG0000118,ATT0001757,USR000127,HTL0028,4473.7,0.0987,441.44,19,True
BKG0000119,ATT0004092,USR001127,HTL0101,20813.19,0.0906,1886.59,22,False
BKG0000120,ATT0004275,USR000480,HTL0104,13735.39,0.1458,2002.68,10,False
BKG0000121,ATT0000934,USR001053,HTL0060,4578.4,0.13,595.1,7,True
BKG0000122,ATT0003655,USR002621,HTL0097,35265.11,0.1111,3919.14,14,False
BKG0000123,ATT0001784,USR001507,HTL0082,7816.41,0.1048,819.16,22,True
BKG0000124,ATT0000894,USR001098,HTL0027,5391.31,0.1553,837.1,10,True
BKG0000125,ATT0003546,USR003343,HTL0061,7639.69,0.1104,843.8,17,True
BKG0000126,ATT0002689,USR001637,HTL0046,6821.91,0.1593,1086.99,2,True
BKG0000127,ATT0002119,USR003532,HTL0106,29642.47,0.137,4060.96,10,False
BKG0000128,ATT0002457,USR000643,HTL0096,31207.55,0.1285,4010.54,20,False
BKG0000129,ATT0003215,USR003762,HTL0109,10980.52,0.1201,1318.65,13,False
BKG0000130,ATT0003384,USR000966,HTL0040,7626.15,0.1016,774.8,21,True
BKG0000131,ATT0005813,USR001514,HTL0011,4157.45,0.145,602.82,14,True
BKG0000132,ATT0001865,USR003675,HTL0069,3952.96,0.1593,629.87,1,True
BKG0000133,ATT0000141,USR001366,HTL0067,5627.24,0.1513,851.2,6,True
BKG0000134,ATT0000321,USR003242,HTL0094,18663.26,0.1377,2569.66,6,False
BKG0000135,ATT0004005,USR000216,HTL0100,12764.72,0.1143,1458.47,4,False
BKG0000136,ATT0005896,USR002030,HTL0118,14039.97,0.1282,1800.19,7,False
BKG0000137,ATT0003569,USR001133,HTL0069,5920.2,0.0935,553.28,17,True
BKG0000138,ATT0004712,USR001291,HTL0104,19064.75,0.1256,2393.85,11,False
BKG0000139,ATT0000559,USR001904,HTL0082,9892.03,0.1004,992.68,17,True
BKG0000140,ATT0000360,USR000967,HTL0111,22964.49,0.1294,2972.24,15,False
BKG0000141,ATT0005240,USR001580,HTL0114,26658.46,0.1519,4048.46,15,False
BKG0000142,ATT0005312,USR003133,HTL0071,5364.24,0.1175,630.4,4,True
BKG0000143,ATT0000342,USR000527,HTL0093,16491.41,0.1022,1686.12,17,False
BKG0000144,ATT0004794,USR000310,HTL0050,5041.69,0.1004,506.41,26,True
BKG0000145,ATT0001394,USR003352,HTL0090,3922.79,0.1248,489.59,15,True
BKG0000146,ATT0001053,USR002892,HTL0101,8020.85,0.1044,837.58,18,False
BKG0000147,ATT0003668,USR001452,HTL0041,3033.92,0.1222,370.79,7,True
BKG0000148,ATT0005062,USR002484,HTL0067,5124.58,0.1571,805.22,1,True
BKG0000149,ATT0000714,USR003193,HTL0024,5447.5,0.131,713.65,13,True
BKG0000150,ATT0000671,USR003207,HTL0077,6560.89,0.0946,620.43,21,True
BKG0000151,ATT0005043,USR001621,HTL0045,3824.13,0.1087,415.71,18,True
BKG0000152,ATT0003898,USR001465,HTL0104,57215.35,0.0974,5571.47,23,False
BKG0000153,ATT0001596,USR001366,HTL0037,6280.29,0.1208,758.7,7,True
BKG0000154,ATT0001627,USR001822,HTL0004,3864.97,0.1243,480.23,4,True
BKG0000155,ATT0002080,USR003033,HTL0095,12669.3,0.1162,1472.65,9,False
BKG0000156,ATT0001679,USR001750,HTL0016,5546.86,0.1461,810.15,10,True
BKG0000157,ATT0005782,USR002621,HTL0109,10194.17,0.1496,1525.02,14,False
BKG0000158,ATT0002921,USR003715,HTL0099,9070.26,0.1058,959.37,22,False
BKG0000159,ATT0001506,USR001085,HTL0118,22400.88,0.1444,3235.8,4,False
BKG0000160,ATT0003496,USR002273,HTL0027,6066.9,0.1294,785.35,1,True
BKG0000161,ATT0001257,USR001367,HTL0074,5786.47,0.1182,683.98,9,True
BKG0000162,ATT0005025,USR000478,HTL0089,3725.2,0.1299,483.75,9,True
BKG0000163,ATT0000177,USR001388,HTL0026,6192.56,0.1378,853.64,8,True
BKG0000164,ATT0004308,USR002481,HTL0029,3385.47,0.112,379.34,3,True
BKG0000165,ATT0001859,USR003252,HTL0074,2605.09,0.1427,371.81,5,True
BKG0000166,ATT0005899,USR002702,HTL0003,3601.71,0.1471,529.92,8,True
BKG0000167,ATT0001619,USR002149,HTL0066,3267.38,0.153,499.9,5,True
BKG0000168,ATT0005132,USR001984,HTL0059,7475.2,0.1151,860.68,6,True
BKG0000169,ATT0004200,USR001092,HTL0077,8403.7,0.11,924.45,9,True
BKG0000170,ATT0001697,USR002700,HTL0074,4452.72,0.0929,413.79,19,True
BKG0000171,ATT0005699,USR001410,HTL0098,24964.33,0.1562,3899.57,12,False
BKG0000172,ATT0000026,USR001344,HTL0066,3105.2,0.1483,460.43,10,True
BKG0000173,ATT0003853,USR001573,HTL0016,7868.39,0.1518,1194.2,11,True
BKG0000174,ATT0003597,USR002002,HTL0040,5933.75,0.1107,656.75,26,True
BKG0000175,ATT0001623,USR002133,HTL0042,4897.64,0.1363,667.72,4,True
BKG0000176,ATT0000830,USR000719,HTL0108,25715.81,0.1249,3212.55,7,False
BKG0000177,ATT0004507,USR003454,HTL0049,4737.27,0.1237,586.05,26,True
BKG0000178,ATT0003007,USR002470,HTL0014,10146.61,0.1232,1249.97,23,True
BKG0000179,ATT0005011,USR001017,HTL0093,11219.69,0.1057,1185.77,19,False
BKG0000180,ATT0004055,USR000507,HTL0078,4954.17,0.1265,626.52,10,True
BKG0000181,ATT0000494,USR002847,HTL0023,8691.21,0.1469,1276.9,8,True
BKG0000182,ATT0002858,USR002342,HTL0032,7262.09,0.091,661.19,16,True
BKG0000183,ATT0005933,USR003863,HTL0120,30256.37,0.1244,3763.83,17,False
BKG0000184,ATT0004398,USR003502,HTL0079,8912.82,0.1078,961.25,21,True
BKG0000185,ATT0004418,USR000284,HTL0009,4526.25,0.1321,597.77,8,True
BKG0000186,ATT0003016,USR002032,HTL0076,6263.17,0.1168,731.31,26,True
BKG0000187,ATT0005232,USR003798,HTL0053,4314.87,0.1423,613.95,9,True
BKG0000188,ATT0004945,USR002373,HTL0081,5641.82,0.1233,695.63,6,True
BKG0000189,ATT0005432,USR003941,HTL0071,3124.92,0.1277,399.15,25,True
BKG0000190,ATT0003133,USR000798,HTL0066,4937.2,0.1593,786.58,7,True
BKG0000191,ATT0002755,USR003716,HTL0073,4636.53,0.1363,631.96,13,True
BKG0000192,ATT0000451,USR003384,HTL0102,19688.21,0.1381,2718.33,7,False
BKG0000193,ATT0001412,USR002429,HTL0003,4566.88,0.1377,628.93,4,True
BKG0000194,ATT0000164,USR000230,HTL0049,5592.79,0.1343,751.05,9,True
BKG0000195,ATT0002193,USR002608,HTL0071,6121.71,0.1278,782.4,22,True
BKG0000196,ATT0003453,USR000236,HTL0049,4461.58,0.1222,545.37,1,True
BKG0000197,ATT0003469,USR000191,HTL0073,3344.12,0.1154,385.9,13,True
BKG0000198,ATT0004267,USR002048,HTL0039,2302.61,0.1565,360.31,8,True
BKG0000199,ATT0003519,USR000471,HTL0037,3317.16,0.1207,400.22,2,True
BKG0000200,ATT0004338,USR002834,HTL0101,19936.06,0.12,2391.65,22,False
BKG0000201,ATT0000079,USR003033,HTL0112,27748.71,0.1202,3335.22,8,False
BKG0000202,ATT0004159,USR003898,HTL0050,3405.91,0.158,538.17,2,True
BKG0000203,ATT0002050,USR003928,HTL0046,7283.83,0.1496,1089.34,9,True
BKG0000204,ATT0002421,USR003199,HTL0043,3044.45,0.1559,474.74,1,True
BKG0000205,ATT0000115,USR002509,HTL0117,44547.69,0.128,5703.86,21,False
BKG0000206,ATT0002986,USR003370,HTL0019,7980.89,0.1142,911.59,1,True
BKG0000207,ATT0001657,USR001367,HTL0103,10850.42,0.1317,1428.67,12,False
BKG0000208,ATT0002814,USR000783,HTL0025,4030.81,0.1424,574.01,7,True
BKG0000209,ATT0004090,USR001207,HTL0095,18232.94,0.1221,2226.21,17,False
BKG0000210,ATT0005521,USR002047,HTL0004,2763.7,0.1221,337.37,10,True
BKG0000211,ATT0004409,USR002347,HTL0110,28812.55,0.1557,4486.99,4,False
BKG0000212,ATT0004545,USR000441,HTL0023,6187.51,0.0988,611.57,20,True
BKG0000213,ATT0004009,USR000550,HTL0099,21966.09,0.1533,3367.6,5,False
BKG0000214,ATT0000438,USR002762,HTL0112,14803.27,0.1356,2007.85,15,False
BKG0000215,ATT0000637,USR001033,HTL0086,6070.1,0.1358,824.14,9,True
BKG0000216,ATT0003136,USR003320,HTL0038,5363.39,0.105,562.94,22,True
BKG0000217,ATT0002724,USR002511,HTL0114,23479.32,0.1152,2704.24,3,False
BKG0000218,ATT0001777,USR003701,HTL0115,30484.44,0.1274,3882.33,3,False
BKG0000219,ATT0005362,USR002726,HTL0014,5699.75,0.1071,610.27,21,True
BKG0000220,ATT0000240,USR001138,HTL0051,5379.91,0.134,720.64,1,True
BKG0000221,ATT0005131,USR001772,HTL0088,4205.44,0.147,618.01,3,True
BKG0000222,ATT0004716,USR000961,HTL0017,4543.8,0.1276,579.8,7,True
BKG0000223,ATT0000838,USR002969,HTL0043,4750.55,0.1303,619.14,8,True
BKG0000224,ATT0000081,USR003032,HTL0044,8395.33,0.1262,1059.86,19,True
BKG0000225,ATT0000330,USR001377,HTL0119,22352.62,0.1476,3299.88,11,False
BKG0000226,ATT0002954,USR002058,HTL0118,36942.33,0.0909,3358.58,22,False
BKG0000227,ATT0000040,USR002462,HTL0118,33491.23,0.1225,4102.12,22,False
BKG0000228,ATT0004909,USR000419,HTL0019,3906.13,0.1595,623.02,14,True
BKG0000229,ATT0005672,USR000037,HTL0099,27291.07,0.1276,3482.09,25,False
BKG0000230,ATT0004718,USR003709,HTL0097,13797.39,0.1518,2094.41,11,False
BKG0000231,ATT0000313,USR002455,HTL0017,5205.91,0.1415,736.42,1,True
BKG0000232,ATT0000324,USR000291,HTL0107,14365.43,0.1011,1452.74,23,False
BKG0000233,ATT0000636,USR002654,HTL0023,6355.61,0.1162,738.38,16,True
BKG0000234,ATT0005340,USR000766,HTL0119,7998.23,0.1448,1157.98,12,False
BKG0000235,ATT0001819,USR003450,HTL0015,6138.52,0.1241,761.65,6,True
BKG0000236,ATT0000047,USR003627,HTL0119,37857.33,0.1002,3793.8,23,False
BKG0000237,ATT0001666,USR001212,HTL0057,6508.83,0.1298,845.15,11,True
BKG0000238,ATT0003411,USR000629,HTL0108,44372.82,0.1156,5131.53,20,False
BKG0000239,ATT0001349,USR003541,HTL0032,8488.89,0.1017,863.51,23,True
BKG0000240,ATT0002049,USR003896,HTL0022,5518.33,0.1122,619.3,16,True
BKG0000241,ATT0003962,USR003181,HTL0008,5014.72,0.155,777.09,1,True
BKG0000242,ATT0001121,USR003688,HTL0001,5149.54,0.1248,642.43,12,True
BKG0000243,ATT0002138,USR002561,HTL0002,6192.76,0.1583,980.31,7,True
BKG0000244,ATT0001601,USR002264,HTL0108,52281.16,0.1089,5695.19,17,False
BKG0000245,ATT0001472,USR003773,HTL0063,5292.8,0.115,608.91,13,True
BKG0000246,ATT0001441,USR001260,HTL0012,6367.34,0.1128,717.93,4,True
BKG0000247,ATT0005036,USR002891,HTL0096,11571.59,0.1269,1468.83,6,False
BKG0000248,ATT0005735,USR002840,HTL0066,3431.46,0.1229,421.86,15,True
BKG0000249,ATT0000626,USR000022,HTL0068,5114.5,0.1522,778.35,3,True
BKG0000250,ATT0001862,USR003164,HTL0059,3823.13,0.1469,561.55,4,True
BKG0000251,ATT0004881,USR003287,HTL0068,6414.13,0.1542,989.23,12,True
BKG0000252,ATT0001682,USR001045,HTL0051,5557.11,0.1395,775.01,2,True
BKG0000253,ATT0001379,USR000994,HTL0074,8528.89,0.1318,1123.88,14,True
BKG0000254,ATT0001389,USR003055,HTL0035,3069.49,0.1235,379.17,11,True
BKG0000255,ATT0002974,USR003622,HTL0003,1924.44,0.1133,218.09,21,True
BKG0000256,ATT0005548,USR001968,HTL0109,15490.48,0.1409,2182.63,3,False
BKG0000257,ATT0004880,USR001148,HTL0032,5599.61,0.1057,591.98,21,True
BKG0000258,ATT0003658,USR001816,HTL0114,21679.51,0.1568,3399.99,6,False
BKG0000259,ATT0004584,USR002435,HTL0077,5294.34,0.142,751.78,9,True
BKG0000260,ATT0005758,USR002901,HTL0035,3978.54,0.1519,604.24,4,True
BKG0000261,ATT0003762,USR003401,HTL0065,4533.52,0.141,639.31,10,True
BKG0000262,ATT0001327,USR000258,HTL0015,4491.26,0.1258,565.12,10,True
BKG0000263,ATT0001584,USR000385,HTL0053,8282.75,0.1468,1216.16,9,True
BKG0000264,ATT0004020,USR003849,HTL0079,3930.16,0.0992,389.91,18,True
BKG0000265,ATT0000488,USR002841,HTL0041,9705.38,0.1398,1357.11,1,True
BKG0000266,ATT0005278,USR003730,HTL0070,6570.67,0.1061,697.11,19,True
BKG0000267,ATT0000794,USR001786,HTL0110,23598.4,0.1175,2772.68,3,False
BKG0000268,ATT0002330,USR002628,HTL0115,13375.38,0.1307,1747.65,3,False
BKG0000269,ATT0004251,USR001530,HTL0003,3473.13,0.1255,435.93,2,True
BKG0000270,ATT0005633,USR000368,HTL0053,2707.45,0.1156,313.01,6,True
BKG0000271,ATT0000630,USR002893,HTL0089,2856.64,0.1512,431.9,6,True
BKG0000272,ATT0003464,USR001385,HTL0064,5257.42,0.1349,709.38,8,True
BKG0000273,ATT0000384,USR001873,HTL0029,7602.92,0.1273,967.99,3,True
BKG0000274,ATT0001796,USR003896,HTL0105,28246.5,0.1352,3820.29,7,False
BKG0000275,ATT0004158,USR000113,HTL0033,3367.76,0.1202,404.75,26,True
BKG0000276,ATT0002106,USR002281,HTL0096,19237.27,0.1109,2133.7,14,False
BKG0000277,ATT0001667,USR003599,HTL0041,5024.02,0.1373,689.99,10,True
BKG0000278,ATT0004030,USR001817,HTL0081,5629.41,0.1092,614.54,23,True
BKG0000279,ATT0003497,USR002397,HTL0077,3761.81,0.1547,581.78,1,True
BKG0000280,ATT0002431,USR001984,HTL0096,16485.37,0.1378,2271.66,14,False
BKG0000281,ATT0003813,USR002586,HTL0099,9986.2,0.1169,1167.05,5,False
BKG0000282,ATT0003433,USR000813,HTL0073,3448.99,0.1294,446.42,13,True
BKG0000283,ATT0000663,USR001009,HTL0059,4324.89,0.1411,610.04,6,True
BKG0000284,ATT0003654,USR001226,HTL0015,3731.79,0.0918,342.72,19,True
BKG0000285,ATT0002470,USR000412,HTL0103,21753.64,0.1254,2727.6,21,False
BKG0000286,ATT0001591,USR003672,HTL0046,5073.78,0.1134,575.31,8,True
BKG0000287,ATT0000200,USR001604,HTL0038,7966.02,0.1115,888.45,12,True
BKG0000288,ATT0002312,USR002898,HTL0101,38323.2,0.0901,3452.18,19,False
BKG0000289,ATT0002409,USR003749,HTL0118,15722.97,0.1173,1845.09,20,False
BKG0000290,ATT0002808,USR003794,HTL0095,22253.91,0.1082,2408.69,19,False
BKG0000291,ATT0000397,USR002801,HTL0029,7248.23,0.0941,682.15,22,True
BKG0000292,ATT0002229,USR000936,HTL0118,20551.93,0.1528,3140.55,6,False
BKG0000293,ATT0000718,USR000811,HTL0077,3032.31,0.1201,364.29,6,True
BKG0000294,ATT0001557,USR003529,HTL0031,4615.02,0.1263,582.95,12,True
BKG0000295,ATT0002849,USR000679,HTL0018,5510.46,0.1189,655.12,6,True
BKG0000296,ATT0004893,USR003002,HTL0042,4111.91,0.1271,522.5,23,True
BKG0000297,ATT0002963,USR001222,HTL0119,46100.72,0.1203,5546.96,19,False
BKG0000298,ATT0001912,USR001503,HTL0062,7981.67,0.119,949.48,25,True
BKG0000299,ATT0004911,USR001924,HTL0016,11385.44,0.1122,1277.44,6,True
BKG0000300,ATT0004031,USR003325,HTL0059,4442.0,0.1361,604.71,10,True
BKG0000301,ATT0002379,USR001868,HTL0007,4917.61,0.113,555.78,22,True
BKG0000302,ATT0001992,USR000572,HTL0003,6550.4,0.1053,689.76,21,True
BKG0000303,ATT0000819,USR001409,HTL0036,6242.86,0.1029,642.2,22,True
BKG0000304,ATT0005787,USR001797,HTL0082,4573.08,0.1241,567.42,17,True
BKG0000305,ATT0004655,USR003143,HTL0109,14714.54,0.0909,1337.86,23,False
BKG0000306,ATT0004417,USR002580,HTL0114,12613.11,0.1413,1781.83,1,False
BKG0000307,ATT0000262,USR001998,HTL0084,8521.08,0.1058,901.27,24,True
BKG0000308,ATT0004736,USR002895,HTL0089,4935.55,0.1433,707.25,14,True
BKG0000309,ATT0003926,USR003501,HTL0047,5008.33,0.1199,600.48,14,True
BKG0000310,ATT0003598,USR000552,HTL0105,12816.07,0.1219,1562.7,4,False
BKG0000311,ATT0002262,USR001643,HTL0090,2363.18,0.1393,329.29,1,True
BKG0000312,ATT0002887,USR003214,HTL0059,8064.49,0.159,1282.23,8,True
BKG0000313,ATT0000285,USR001967,HTL0066,4551.26,0.129,587.05,20,True
BKG0000314,ATT0000016,USR000830,HTL0055,4782.5,0.1224,585.61,11,True
BKG0000315,ATT0001750,USR002968,HTL0053,9402.8,0.1151,1082.43,13,True
BKG0000316,ATT0002848,USR003347,HTL0081,4092.1,0.1395,570.92,11,True
BKG0000317,ATT0003480,USR001006,HTL0113,32152.24,0.131,4211.92,13,False
BKG0000318,ATT0004209,USR002818,HTL0115,15395.42,0.1481,2279.82,12,False
BKG0000319,ATT0001359,USR000281,HTL0056,5807.9,0.1111,645.37,19,True
BKG0000320,ATT0002210,USR000581,HTL0049,5276.49,0.1104,582.65,20,True
BKG0000321,ATT0001738,USR000489,HTL0083,3598.31,0.1423,512.12,9,True
