session_id,user_id,session_start,session_end,week_number,channel
SES0000150,USR002426,2024-02-09 13:47:00,,6,organic
SES0000151,USR001209,2024-03-16 18:18:00,2024-03-16 18:34:51,11,organic
SES0000152,USR000955,2024-05-30 19:36:00,2024-05-30 19:44:26,22,organic
SES0000153,USR002948,2024-02-26 16:15:00,2024-02-26 16:39:16,9,paid
SES0000154,USR000175,2024-05-03 14:58:00,2024-05-03 15:34:12,18,paid
SES0000155,USR003533,2024-05-04 09:29:00,2024-05-04 09:59:17,18,paid
SES0000156,USR000399,2024-01-28 18:28:00,2024-01-28 19:03:38,4,referral
SES0000157,USR001025,2024-04-13 23:21:00,2024-04-13 23:50:26,15,paid
SES0000158,USR000056,2024-04-21 10:24:00,2024-04-21 10:57:33,16,organic
SES0000159,USR001130,2024-02-25 14:19:00,2024-02-25 14:22:39,8,organic
SES0000160,USR000295,2024-03-23 14:03:00,2024-03-23 14:34:13,12,organic
SES0000161,USR001816,2024-06-03 22:29:00,,23,organic
SES0000162,USR000093,2024-06-08 14:20:00,2024-06-08 14:22:44,23,organic
SES0000163,USR000435,2024-02-05 23:32:00,2024-02-06 00:09:29,6,direct
SES0000164,USR000298,2024-06-28 13:09:00,2024-06-28 13:23:01,26,direct
SES0000165,USR003037,2024-06-22 18:18:00,2024-06-22 18:19:55,25,direct
SES0000166,USR003273,2024-06-18 21:37:00,,25,referral
SES0000167,USR002341,2024-03-08 18:43:00,2024-03-08 18:46:57,10,paid
SES0000168,USR002266,2024-01-30 10:48:00,2024-01-30 10:58:26,5,referral
SES0000169,USR002927,2024-01-20 20:20:00,2024-01-20 20:34:21,3,organic
SES0000170,USR000217,2024-05-07 18:44:00,2024-05-07 19:07:35,19,paid
SES0000171,USR001000,2024-03-06 22:09:00,2024-03-06 22:27:55,10,referral
SES0000172,USR003719,2024-04-08 14:08:00,2024-04-08 14:17:44,15,paid
SES0000173,USR001541,2024-03-07 23:04:00,2024-03-07 23:24:56,10,organic
SES0000174,USR003695,2024-06-28 18:56:00,2024-06-28 18:59:16,26,direct
SES0000175,USR001725,2024-04-06 19:20:00,2024-04-06 19:46:07,14,organic
SES0000176,USR000056,2024-06-20 09:58:00,,25,organic
SES0000177,USR003265,2024-03-07 11:30:00,,10,organic
SES0000178,USR002223,2024-02-01 17:16:00,2024-02-01 17:41:36,5,paid
SES0000179,USR003470,2024-04-21 23:51:00,,16,organic
SES0000180,USR000912,2024-03-19 11:35:00,2024-03-19 12:14:28,12,organic
SES0000181,USR001135,2024-04-27 10:40:00,2024-04-27 10:51:04,17,referral
SES0000182,USR002811,2024-06-08 08:53:00,2024-06-08 09:22:34,23,organic
SES0000183,USR001527,2024-02-15 20:06:00,2024-02-15 20:17:30,7,direct
SES0000184,USR003363,2024-04-09 15:41:00,2024-04-09 15:43:48,15,organic
SES0000185,USR003434,2024-05-22 17:26:00,2024-05-22 18:05:03,21,paid
SES0000186,USR002281,2024-03-12 08:59:00,2024-03-12 09:17:31,11,direct
SES0000187,USR001002,2024-02-14 18:37:00,,7,paid
SES0000188,USR001460,2024-06-27 14:45:00,2024-06-27 15:08:43,26,paid
SES0000189,USR000552,2024-04-04 23:31:00,2024-04-05 00:08:47,14,direct
SES0000190,USR003987,2024-04-20 17:59:00,2024-04-20 18:14:46,16,direct
SES0000191,USR001315,2024-03-19 23:26:00,2024-03-19 23:40:05,12,paid
SES0000192,USR001936,2024-03-15 09:16:00,,11,organic
SES0000193,USR000586,2024-06-21 13:44:00,2024-06-21 14:01:40,25,organic
SES0000194,USR002152,2024-04-04 12:27:00,,14,paid
SES0000195,USR001326,2024-02-24 13:09:00,2024-02-24 13:14:14,8,paid
SES0000196,USR002870,2024-03-13 18:43:00,2024-03-13 18:45:35,11,direct
SES0000197,USR001302,2024-06-06 09:27:00,,23,organic
SES0000198,USR001124,2024-03-09 10:21:00,2024-03-09 10:29:21,10,organic
SES0000199,USR001126,2024-04-22 14:37:00,2024-04-22 14:52:15,17,organic
SES0000200,USR002390,2024-05-24 09:29:00,2024-05-24 09:59:47,21,paid
SES0000201,USR002040,2024-05-21 11:24:00,2024-05-21 11:37:26,21,organic
SES0000202,USR003963,2024-03-01 14:43:00,2024-03-01 15:00:13,9,paid
SES0000203,USR002342,2024-02-25 15:37:00,2024-02-25 15:42:57,8,organic
SES0000204,USR002746,2024-01-02 20:50:00,,1,organic
SES0000205,USR000869,2024-03-03 18:14:00,2024-03-03 18:16:41,9,organic
SES0000206,USR002941,2024-04-23 13:58:00,,17,direct
SES0000207,USR003701,2024-06-10 12:56:00,2024-06-10 13:06:55,24,direct
SES0000208,USR003490,2024-06-15 22:28:00,2024-06-15 22:48:05,24,organic
SES0000209,USR001125,2024-06-02 09:20:00,2024-06-02 09:40:31,22,organic
SES0000210,USR001638,2024-01-17 23:47:00,2024-01-18 00:24:57,3,referral
SES0000211,USR000238,2024-06-06 13:57:00,2024-06-06 14:35:22,23,organic
SES0000212,USR003438,2024-06-17 20:12:00,2024-06-17 20:23:17,25,paid
SES0000213,USR003633,2024-04-27 08:05:00,2024-04-27 08:17:25,17,organic
SES0000214,USR003261,2024-02-02 09:57:00,2024-02-02 10:17:52,5,paid
SES0000215,USR001447,2024-02-10 21:23:00,2024-02-10 21:58:21,6,paid
SES0000216,USR000656,2024-06-04 16:31:00,,23,paid
SES0000217,USR002800,2024-03-08 21:52:00,2024-03-08 21:54:19,10,paid
SES0000218,USR001643,2024-02-18 16:28:00,2024-02-18 16:39:37,7,organic
SES0000219,USR000408,2024-05-29 18:11:00,2024-05-29 18:36:41,22,organic
SES0000220,USR003717,2024-01-18 22:44:00,2024-01-18 23:02:06,3,organic
SES0000221,USR000547,2024-03-15 16:00:00,,11,organic
SES0000222,USR001201,2024-03-23 16:26:00,2024-03-23 16:48:42,12,organic
SES0000223,USR000446,2024-01-18 09:27:00,,3,organic
SES0000224,USR003520,2024-03-01 22:58:00,2024-03-01 23:09:27,9,organic
SES0000225,USR000087,2024-01-23 20:33:00,2024-01-23 20:38:11,4,direct
SES0000226,USR000644,2024-05-28 12:57:00,2024-05-28 13:25:22,22,referral
SES0000227,USR001580,2024-02-05 20:16:00,2024-02-05 20:25:09,6,organic
SES0000228,USR002840,2024-02-12 18:12:00,,7,paid
SES0000229,USR003819,2024-02-09 21:02:00,2024-02-09 21:25:50,6,paid
SES0000230,USR003916,2024-04-27 20:34:00,,17,organic
SES0000231,USR003944,2024-02-13 10:44:00,2024-02-13 11:12:24,7,paid
SES0000232,USR002480,2024-03-21 19:40:00,,12,paid
SES0000233,USR000318,2024-05-17 14:57:00,2024-05-17 15:06:24,20,organic
SES0000234,USR003044,2024-06-23 16:08:00,2024-06-23 16:47:00,25,organic
SES0000235,USR001803,2024-01-16 19:43:00,,3,paid
SES0000236,USR003961,2024-05-30 08:05:00,2024-05-30 08:11:50,22,paid
SES0000237,USR000056,2024-03-29 16:35:00,2024-03-29 16:37:20,13,paid
SES0000238,USR001730,2024-03-04 11:30:00,2024-03-04 11:31:04,10,organic
SES0000239,USR000915,2024-01-07 20:31:00,2024-01-07 20:39:00,1,organic
SES0000240,USR001188,2024-04-22 23:29:00,2024-04-22 23:37:03,17,organic
SES0000241,USR002041,2024-06-17 23:52:00,,25,paid
SES0000242,USR000427,2024-01-30 15:27:00,2024-01-30 16:05:24,5,direct
SES0000243,USR002620,2024-06-08 22:38:00,2024-06-08 23:04:53,23,referral
SES0000244,USR003461,2024-05-28 17:26:00,2024-05-28 17:32:40,22,paid
SES0000245,USR003147,2024-02-28 10:05:00,2024-02-28 10:08:23,9,organic
SES0000246,USR000350,2024-05-24 08:03:00,,21,paid
SES0000247,USR000490,2024-01-15 23:35:00,,3,organic
SES0000248,USR002930,2024-05-21 08:23:00,,21,referral
SES0000249,USR003516,2024-02-10 17:36:00,2024-02-10 18:09:19,6,paid
SES0000250,USR000345,2024-03-17 15:45:00,,11,paid
SES0000251,USR001252,2024-04-08 13:39:00,2024-04-08 14:12:07,15,paid
SES0000252,USR002137,2024-06-28 23:17:00,2024-06-28 23:49:27,26,direct
SES0000253,USR001605,2024-05-11 18:40:00,2024-05-11 18:56:42,19,paid
SES0000254,USR003609,2024-04-11 18:38:00,2024-04-11 19:09:48,15,paid
SES0000255,USR002093,2024-04-17 13:22:00,2024-04-17 13:33:19,16,paid
SES0000256,USR000928,2024-04-27 16:42:00,,17,direct
SES0000257,USR002756,2024-06-03 20:18:00,2024-06-03 20:26:42,23,organic
SES0000258,USR003607,2024-05-25 14:28:00,,21,paid
SES0000259,USR000008,2024-01-07 19:05:00,2024-01-07 19:18:48,1,paid
SES0000260,USR003940,2024-03-17 15:55:00,2024-03-17 16:26:19,11,organic
SES0000261,USR002454,2024-02-18 20:47:00,2024-02-18 21:18:32,7,direct
SES0000262,USR002070,2024-04-08 20:49:00,2024-04-08 20:50:19,15,referral
SES0000263,USR001278,2024-04-17 18:31:00,2024-04-17 18:38:02,16,organic
SES0000264,USR003403,2024-05-23 17:38:00,2024-05-23 17:42:10,21,direct
SES0000265,USR000949,2024-03-22 17:39:00,2024-03-22 18:06:41,12,referral
SES0000266,USR001902,2024-06-10 16:17:00,2024-06-10 16:20:22,24,referral
SES0000267,USR000189,2024-06-18 18:32:00,2024-06-18 19:00:21,25,paid
SES0000268,USR001623,2024-04-20 09:43:00,2024-04-20 10:08:16,16,paid
SES0000269,USR003193,2024-06-12 18:01:00,2024-06-12 18:40:33,24,direct
SES0000270,USR002339,2024-05-24 21:13:00,2024-05-24 21:26:28,21,direct
SES0000271,USR000599,2024-03-24 15:20:00,2024-03-24 15:30:55,12,paid
SES0000272,USR002023,2024-06-22 11:06:00,,25,organic
SES0000273,USR003259,2024-06-03 19:51:00,2024-06-03 19:56:50,23,direct
SES0000274,USR002919,2024-04-17 21:43:00,2024-04-17 22:12:57,16,organic
SES0000275,USR001367,2024-03-22 18:38:00,2024-03-22 18:54:10,12,paid
SES0000276,USR000549,2024-05-20 15:22:00,,21,paid
SES0000277,USR001874,2024-04-13 14:03:00,2024-04-13 14:34:59,15,organic
SES0000278,USR003470,2024-02-27 16:44:00,,9,paid
SES0000279,USR002178,2024-06-09 09:56:00,,23,paid
SES0000280,USR001886,2024-02-04 21:16:00,2024-02-04 21:27:34,5,referral
SES0000281,USR003726,2024-05-16 12:00:00,2024-05-16 12:23:51,20,organic
SES0000282,USR000724,2024-04-10 13:52:00,2024-04-10 14:28:17,15,organic
SES0000283,USR001064,2024-06-27 11:45:00,2024-06-27 11:55:37,26,referral
SES0000284,USR001751,2024-06-16 17:30:00,2024-06-16 17:48:26,24,organic
SES0000285,USR002384,2024-03-01 16:28:00,2024-03-01 16:49:49,9,paid
SES0000286,USR001988,2024-05-01 13:37:00,2024-05-01 13:54:55,18,paid
SES0000287,USR002839,2024-05-13 23:46:00,2024-05-14 00:24:23,20,direct
SES0000288,USR003248,2024-03-23 23:50:00,,12,referral
SES0000289,USR001967,2024-03-14 10:29:00,2024-03-14 10:42:30,11,paid
SES0000290,USR001348,2024-06-07 09:51:00,2024-06-07 10:10:31,23,organic
SES0000291,USR001346,2024-05-28 13:27:00,2024-05-28 13:58:26,22,organic
SES0000292,USR000523,2024-06-09 21:39:00,2024-06-09 22:14:22,23,direct
SES0000293,USR003767,2024-03-01 22:37:00,2024-03-01 23:14:59,9,paid
SES0000294,USR000362,2024-04-04 18:18:00,2024-04-04 18:38:01,14,direct
SES0000295,USR003293,2024-02-28 22:48:00,2024-02-28 23:09:07,9,organic
SES0000296,USR003338,2024-04-23 16:00:00,2024-04-23 16:08:53,17,organic
SES0000297,USR003521,2024-01-23 14:26:00,2024-01-23 14:27:13,4,organic
SES0000298,USR001662,2024-01-19 21:11:00,2024-01-19 21:42:58,3,organic
SES0000299,USR001067,2024-05-06 14:16:00,2024-05-06 14:42:43,19,organic
SES0000300,USR002422,2024-06-28 08:07:00,2024-06-28 08:18:27,26,paid
SES0000301,USR002792,2024-01-07 17:50:00,2024-01-07 18:11:06,1,paid
SES0000302,USR002276,2024-06-18 21:46:00,2024-06-18 22:10:51,25,direct
SES0000303,USR003690,2024-01-01 19:26:00,2024-01-01 20:04:50,1,direct
SES0000304,USR003419,2024-01-09 12:44:00,2024-01-09 13:01:23,2,referral
SES0000305,USR001513,2024-01-29 22:01:00,2024-01-29 22:30:35,5,organic
SES0000306,USR003681,2024-02-28 08:55:00,2024-02-28 09:17:34,9,organic
SES0000307,USR003115,2024-04-29 20:02:00,2024-04-29 20:11:57,18,organic
SES0000308,USR002772,2024-04-25 17:15:00,,17,direct
SES0000309,USR001176,2024-06-16 22:43:00,2024-06-16 22:56:01,24,paid
SES0000310,USR003929,2024-01-20 23:04:00,2024-01-20 23:41:39,3,organic
SES0000311,USR003264,2024-02-17 13:18:00,2024-02-17 13:39:21,7,direct
SES0000312,USR003800,2024-05-05 19:26:00,2024-05-05 19:39:50,18,organic
SES0000313,USR000170,2024-06-02 11:08:00,2024-06-02 11:14:13,22,organic
SES0000314,USR002787,2024-06-29 08:31:00,2024-06-29 09:09:10,26,paid
SES0000315,USR003467,2024-01-26 23:34:00,2024-01-26 23:38:14,4,direct
SES0000316,USR001461,2024-03-07 10:20:00,2024-03-07 10:41:23,10,paid
SES0000317,USR003115,2024-03-10 18:32:00,2024-03-10 19:00:23,10,organic
SES0000318,USR003895,2024-02-14 21:20:00,,7,paid
SES0000319,USR003251,2024-03-04 13:40:00,2024-03-04 14:18:36,10,referral
SES0000320,USR001083,2024-04-02 18:08:00,2024-04-02 18:14:11,14,referral
SES0000321,USR002432,2024-04-13 20:27:00,2024-04-13 20:30:49,15,organic
SES0000322,USR001103,2024-05-01 16:24:00,2024-05-01 17:00:54,18,direct
SES0000323,USR002529,2024-03-19 13:44:00,2024-03-19 14:21:21,12,paid
SES0000324,USR002817,2024-05-16 09:21:00,,20,direct
SES0000325,USR003050,2024-05-06 15:53:00,2024-05-06 16:05:26,19,organic
SES0000326,USR002842,2024-03-01 22:05:00,2024-03-01 22:17:26,9,organic
SES0000327,USR000451,2024-02-27 08:13:00,2024-02-27 08:43:31,9,organic
SES0000328,USR000042,2024-04-12 21:18:00,2024-04-12 21:27:39,15,direct
SES0000329,USR000028,2024-04-28 23:34:00,,17,paid
SES0000330,USR002462,2024-03-15 18:11:00,,11,organic
SES0000331,USR002137,2024-04-25 20:01:00,,17,organic
SES0000332,USR001857,2024-05-17 23:28:00,2024-05-18 00:07:18,20,paid
SES0000333,USR002578,2024-01-31 22:05:00,2024-01-31 22:06:29,5,direct
SES0000334,USR001504,2024-06-29 15:52:00,2024-06-29 16:08:08,26,direct
SES0000335,USR002733,2024-05-11 19:52:00,2024-05-11 20:18:08,19,paid
SES0000336,USR001405,2024-06-19 21:11:00,2024-06-19 21:25:10,25,organic
SES0000337,USR002470,2024-03-19 22:31:00,,12,organic
SES0000338,USR001230,2024-06-12 14:21:00,2024-06-12 14:58:13,24,organic
SES0000339,USR000389,2024-05-31 23:13:00,2024-05-31 23:18:09,22,paid
SES0000340,USR001974,2024-05-19 22:14:00,2024-05-19 22:23:38,20,paid
SES0000341,USR002368,2024-02-28 22:59:00,2024-02-28 23:01:32,9,direct
SES0000342,USR003481,2024-03-19 16:02:00,2024-03-19 16:13:24,12,paid
SES0000343,USR003301,2024-05-22 17:58:00,2024-05-22 18:27:01,21,direct
SES0000344,USR001530,2024-01-27 15:37:00,2024-01-27 16:08:42,4,organic
SES0000345,USR003874,2024-06-06 09:18:00,,23,paid
SES0000346,USR001496,2024-06-27 10:23:00,2024-06-27 10:52:45,26,referral
SES0000347,USR003834,2024-05-12 17:25:00,2024-05-12 17:57:25,19,paid
SES0000348,USR003431,2024-06-20 18:24:00,2024-06-20 18:25:41,25,referral
SES0000349,USR002444,2024-02-28 16:47:00,2024-02-28 17:17:26,9,paid
