notification_id,user_id,notification_type,sent_at,week_of
NOT0000093,USR01265,promotional,2024-09-27T15:26:00,2024-09-23
NOT0000094,USR02319,promotional,2024-09-24T17:40:00,2024-09-23
NOT0000095,USR02343,promotional,2024-09-28T10:40:00,2024-09-23
NOT0000096,USR01690,promotional,2024-09-23T18:00:00,2024-09-23
NOT0000097,USR03280,promotional,2024-09-29T11:49:00,2024-09-23
NOT0000098,USR02876,promotional,2024-09-25T14:42:00,2024-09-23
NOT0000099,USR02908,promotional,2024-09-25T14:26:00,2024-09-23
NOT0000100,USR02244,promotional,2024-09-29T18:41:00,2024-09-23
NOT0000101,USR04763,promotional,2024-09-27T11:23:00,2024-09-23
NOT0000102,USR00117,promotional,2024-09-26T15:55:00,2024-09-23
NOT0000103,USR01280,promotional,2024-09-24T16:53:00,2024-09-23
NOT0000104,USR04381,promotional,2024-09-29T12:26:00,2024-09-23
NOT0000105,USR01863,promotional,2024-09-29T21:12:00,2024-09-23
NOT0000106,USR02384,promotional,2024-09-29T12:31:00,2024-09-23
NOT0000107,USR00755,promotional,2024-09-24T10:18:00,2024-09-23
NOT0000108,USR02500,promotional,2024-09-24T09:31:00,2024-09-23
NOT0000109,USR00403,promotional,2024-09-28T09:38:00,2024-09-23
NOT0000110,USR02120,promotional,2024-09-27T12:51:00,2024-09-23
NOT0000111,USR00140,promotional,2024-09-25T11:49:00,2024-09-23
NOT0000112,USR04747,promotional,2024-09-27T15:13:00,2024-09-23
NOT0000113,USR01006,promotional,2024-09-24T10:03:00,2024-09-23
NOT0000114,USR01184,promotional,2024-09-26T14:44:00,2024-09-23
NOT0000115,USR02056,promotional,2024-09-26T13:30:00,2024-09-23
NOT0000116,USR01719,promotional,2024-09-28T13:38:00,2024-09-23
NOT0000117,USR01337,promotional,2024-09-26T15:31:00,2024-09-23
NOT0000118,USR01500,promotional,2024-09-25T11:06:00,2024-09-23
NOT0000119,USR02540,promotional,2024-09-23T17:15:00,2024-09-23
NOT0000120,USR01925,promotional,2024-09-23T11:58:00,2024-09-23
NOT0000121,USR03257,promotional,2024-09-27T16:51:00,2024-09-23
NOT0000122,USR01806,promotional,2024-09-29T09:39:00,2024-09-23
NOT0000123,USR01404,promotional,2024-09-29T19:37:00,2024-09-23
NOT0000124,USR01359,promotional,2024-09-25T18:44:00,2024-09-23
NOT0000125,USR04372,promotional,2024-09-26T13:30:00,2024-09-23
NOT0000126,USR04988,promotional,2024-09-27T12:23:00,2024-09-23
NOT0000127,USR01446,promotional,2024-09-27T20:51:00,2024-09-23
NOT0000128,USR02162,promotional,2024-09-29T15:10:00,2024-09-23
NOT0000129,USR00700,promotional,2024-09-28T14:18:00,2024-09-23
NOT0000130,USR01007,promotional,2024-09-28T21:26:00,2024-09-23
NOT0000131,USR00903,promotional,2024-09-29T15:29:00,2024-09-23
NOT0000132,USR00536,promotional,2024-09-27T17:38:00,2024-09-23
NOT0000133,USR04070,promotional,2024-09-24T15:47:00,2024-09-23
NOT0000134,USR03059,promotional,2024-09-23T10:13:00,2024-09-23
NOT0000135,USR02750,promotional,2024-09-23T18:05:00,2024-09-23
NOT0000136,USR02620,promotional,2024-09-26T16:14:00,2024-09-23
NOT0000137,USR01246,promotional,2024-09-29T11:07:00,2024-09-23
NOT0000138,USR04460,promotional,2024-09-28T19:29:00,2024-09-23
NOT0000139,USR04117,promotional,2024-09-29T16:22:00,2024-09-23
NOT0000140,USR03740,promotional,2024-09-25T21:04:00,2024-09-23
NOT0000141,USR01928,promotional,2024-09-25T16:30:00,2024-09-23
NOT0000142,USR04676,promotional,2024-09-24T09:49:00,2024-09-23
NOT0000143,USR01810,promotional,2024-09-25T12:57:00,2024-09-23
NOT0000144,USR01476,promotional,2024-09-26T20:50:00,2024-09-23
NOT0000145,USR02460,promotional,2024-09-27T21:29:00,2024-09-23
NOT0000146,USR03795,promotional,2024-09-23T20:27:00,2024-09-23
NOT0000147,USR00928,promotional,2024-09-26T15:09:00,2024-09-23
NOT0000148,USR01768,promotional,2024-09-24T18:26:00,2024-09-23
NOT0000149,USR04193,promotional,2024-09-23T21:25:00,2024-09-23
NOT0000150,USR01459,promotional,2024-09-23T09:29:00,2024-09-23
NOT0000151,USR03739,promotional,2024-09-27T11:13:00,2024-09-23
NOT0000152,USR04507,promotional,2024-09-24T19:49:00,2024-09-23
NOT0000153,USR04616,promotional,2024-09-27T18:56:00,2024-09-23
NOT0000154,USR00505,promotional,2024-09-26T17:31:00,2024-09-23
NOT0000155,USR04771,promotional,2024-09-24T19:40:00,2024-09-23
NOT0000156,USR02340,promotional,2024-09-29T15:14:00,2024-09-23
NOT0000157,USR03941,promotional,2024-09-24T10:06:00,2024-09-23
NOT0000158,USR03234,promotional,2024-09-26T17:57:00,2024-09-23
NOT0000159,USR04765,promotional,2024-09-23T20:24:00,2024-09-23
NOT0000160,USR00957,promotional,2024-09-26T19:55:00,2024-09-23
NOT0000161,USR03646,promotional,2024-09-27T16:28:00,2024-09-23
NOT0000162,USR01453,promotional,2024-09-25T20:43:00,2024-09-23
NOT0000163,USR00784,promotional,2024-09-23T14:54:00,2024-09-23
NOT0000164,USR04360,promotional,2024-09-29T21:40:00,2024-09-23
NOT0000165,USR03962,promotional,2024-09-26T12:19:00,2024-09-23
NOT0000166,USR01938,promotional,2024-09-29T15:33:00,2024-09-23
NOT0000167,USR02197,promotional,2024-09-29T09:02:00,2024-09-23
NOT0000168,USR03924,promotional,2024-09-25T16:39:00,2024-09-23
NOT0000169,USR04304,promotional,2024-09-25T16:48:00,2024-09-23
NOT0000170,USR04245,promotional,2024-09-29T18:10:00,2024-09-23
NOT0000171,USR03716,promotional,2024-09-24T19:25:00,2024-09-23
NOT0000172,USR04899,promotional,2024-09-29T19:06:00,2024-09-23
NOT0000173,USR02463,promotional,2024-09-29T15:55:00,2024-09-23
NOT0000174,USR01041,promotional,2024-09-28T20:39:00,2024-09-23
NOT0000175,USR00274,promotional,2024-09-27T16:36:00,2024-09-23
NOT0000176,USR00898,promotional,2024-09-27T15:34:00,2024-09-23
NOT0000177,USR02436,promotional,2024-09-24T19:51:00,2024-09-23
NOT0000178,USR02720,promotional,2024-09-28T20:31:00,2024-09-23
NOT0000179,USR02910,promotional,2024-09-29T15:14:00,2024-09-23
NOT0000180,USR03953,promotional,2024-09-26T15:14:00,2024-09-23
NOT0000181,USR02375,promotional,2024-09-24T16:15:00,2024-09-23
NOT0000182,USR02554,promotional,2024-09-23T09:50:00,2024-09-23
NOT0000183,USR02909,promotional,2024-09-25T14:00:00,2024-09-23
NOT0000184,USR01679,promotional,2024-09-23T19:35:00,2024-09-23
NOT0000185,USR01785,promotional,2024-09-23T20:12:00,2024-09-23
NOT0000186,USR03269,promotional,2024-09-24T21:32:00,2024-09-23
NOT0000187,USR03646,promotional,2024-09-23T10:04:00,2024-09-23
NOT0000188,USR02952,promotional,2024-09-25T11:50:00,2024-09-23
NOT0000189,USR03473,promotional,2024-09-28T11:00:00,2024-09-23
NOT0000190,USR04067,promotional,2024-09-26T18:00:00,2024-09-23
NOT0000191,USR03188,promotional,2024-09-26T19:58:00,2024-09-23
NOT0000192,USR03688,promotional,2024-09-28T17:46:00,2024-09-23
NOT0000193,USR04609,promotional,2024-09-27T19:25:00,2024-09-23
NOT0000194,USR00826,promotional,2024-09-27T11:23:00,2024-09-23
NOT0000195,USR02629,promotional,2024-09-28T10:26:00,2024-09-23
NOT0000196,USR02717,promotional,2024-09-25T09:56:00,2024-09-23
NOT0000197,USR01146,promotional,2024-09-27T19:00:00,2024-09-23
NOT0000198,USR00890,promotional,2024-09-27T09:09:00,2024-09-23
NOT0000199,USR01145,promotional,2024-09-24T19:19:00,2024-09-23
NOT0000200,USR01902,promotional,2024-09-29T15:27:00,2024-09-23
NOT0000201,USR00559,promotional,2024-09-28T15:20:00,2024-09-23
NOT0000202,USR00616,promotional,2024-09-26T20:52:00,2024-09-23
NOT0000203,USR02310,promotional,2024-09-27T15:25:00,2024-09-23
NOT0000204,USR02602,promotional,2024-09-24T15:22:00,2024-09-23
NOT0000205,USR03197,promotional,2024-09-29T09:19:00,2024-09-23
NOT0000206,USR01444,promotional,2024-09-27T21:33:00,2024-09-23
NOT0000207,USR01341,promotional,2024-09-24T21:36:00,2024-09-23
NOT0000208,USR01175,promotional,2024-09-24T19:46:00,2024-09-23
NOT0000209,USR03331,promotional,2024-09-25T09:39:00,2024-09-23
NOT0000210,USR03675,promotional,2024-09-28T10:11:00,2024-09-23
NOT0000211,USR04888,promotional,2024-09-26T18:04:00,2024-09-23
NOT0000212,USR02921,promotional,2024-09-26T21:16:00,2024-09-23
NOT0000213,USR03660,promotional,2024-09-27T14:28:00,2024-09-23
NOT0000214,USR02856,promotional,2024-09-25T11:28:00,2024-09-23
NOT0000215,USR01391,promotional,2024-09-29T14:36:00,2024-09-23
NOT0000216,USR03524,promotional,2024-09-25T09:43:00,2024-09-23
NOT0000217,USR04338,promotional,2024-09-28T16:01:00,2024-09-23
NOT0000218,USR04585,promotional,2024-09-29T14:19:00,2024-09-23
NOT0000219,USR03004,promotional,2024-09-24T09:48:00,2024-09-23
NOT0000220,USR03924,promotional,2024-09-24T15:17:00,2024-09-23
NOT0000221,USR02464,promotional,2024-09-28T14:51:00,2024-09-23
NOT0000222,USR00956,promotional,2024-09-27T15:29:00,2024-09-23
NOT0000223,USR04552,promotional,2024-09-27T13:57:00,2024-09-23
NOT0000224,USR03022,promotional,2024-09-23T17:38:00,2024-09-23
NOT0000225,USR00513,promotional,2024-09-28T15:26:00,2024-09-23
NOT0000226,USR03448,promotional,2024-09-23T16:14:00,2024-09-23
NOT0000227,USR04539,promotional,2024-09-23T20:02:00,2024-09-23
NOT0000228,USR00199,promotional,2024-09-23T16:36:00,2024-09-23
NOT0000229,USR03021,promotional,2024-09-26T15:24:00,2024-09-23
NOT0000230,USR04258,promotional,2024-09-23T09:11:00,2024-09-23
NOT0000231,USR01078,promotional,2024-09-23T09:41:00,2024-09-23
NOT0000232,USR01629,promotional,2024-09-28T20:27:00,2024-09-23
NOT0000233,USR01983,promotional,2024-09-29T11:13:00,2024-09-23
NOT0000234,USR03275,promotional,2024-09-24T11:15:00,2024-09-23
NOT0000235,USR02200,promotional,2024-09-25T11:09:00,2024-09-23
NOT0000236,USR00203,promotional,2024-09-27T13:06:00,2024-09-23
NOT0000237,USR01108,promotional,2024-09-25T14:41:00,2024-09-23
NOT0000238,USR04475,promotional,2024-09-26T11:40:00,2024-09-23
NOT0000239,USR03967,promotional,2024-09-23T11:47:00,2024-09-23
NOT0000240,USR00160,promotional,2024-09-24T14:16:00,2024-09-23
NOT0000241,USR04101,promotional,2024-09-29T09:36:00,2024-09-23
NOT0000242,USR01648,promotional,2024-09-23T10:56:00,2024-09-23
NOT0000243,USR01270,promotional,2024-09-27T21:25:00,2024-09-23
NOT0000244,USR02149,promotional,2024-09-25T14:10:00,2024-09-23
NOT0000245,USR02123,promotional,2024-09-28T14:06:00,2024-09-23
NOT0000246,USR02859,promotional,2024-09-29T15:20:00,2024-09-23
NOT0000247,USR02638,promotional,2024-09-28T18:35:00,2024-09-23
NOT0000248,USR01456,promotional,2024-09-26T13:54:00,2024-09-23
NOT0000249,USR03820,promotional,2024-09-25T09:53:00,2024-09-23
NOT0000250,USR03804,promotional,2024-09-28T11:26:00,2024-09-23
NOT0000251,USR00996,promotional,2024-09-27T18:51:00,2024-09-23
NOT0000252,USR03090,promotional,2024-09-25T19:31:00,2024-09-23
NOT0000253,USR01028,promotional,2024-09-23T20:42:00,2024-09-23
NOT0000254,USR04610,promotional,2024-09-24T20:57:00,2024-09-23
NOT0000255,USR00657,promotional,2024-09-25T20:12:00,2024-09-23
NOT0000256,USR00067,promotional,2024-09-26T10:19:00,2024-09-23
NOT0000257,USR01553,promotional,2024-09-29T11:32:00,2024-09-23
NOT0000258,USR03212,promotional,2024-09-25T17:36:00,2024-09-23
NOT0000259,USR03940,promotional,2024-09-25T16:02:00,2024-09-23
NOT0000260,USR03806,promotional,2024-09-28T18:52:00,2024-09-23
NOT0000261,USR00145,promotional,2024-09-26T18:36:00,2024-09-23
NOT0000262,USR04626,promotional,2024-09-28T17:07:00,2024-09-23
NOT0000263,USR03515,promotional,2024-09-27T11:14:00,2024-09-23
NOT0000264,USR04984,promotional,2024-09-29T16:04:00,2024-09-23
NOT0000265,USR00403,promotional,2024-09-25T13:37:00,2024-09-23
NOT0000266,USR00397,promotional,2024-09-26T10:42:00,2024-09-23
NOT0000267,USR00698,promotional,2024-09-24T19:27:00,2024-09-23
NOT0000268,USR01657,promotional,2024-09-26T17:39:00,2024-09-23
NOT0000269,USR00365,promotional,2024-09-26T20:34:00,2024-09-23
NOT0000270,USR03364,promotional,2024-09-26T17:20:00,2024-09-23
NOT0000271,USR03434,promotional,2024-09-23T12:38:00,2024-09-23
NOT0000272,USR00665,promotional,2024-09-24T19:51:00,2024-09-23
NOT0000273,USR02959,promotional,2024-09-29T16:39:00,2024-09-23
NOT0000274,USR04982,promotional,2024-09-23T14:12:00,2024-09-23
NOT0000275,USR04271,promotional,2024-09-27T20:31:00,2024-09-23
NOT0000276,USR02140,promotional,2024-09-23T20:44:00,2024-09-23
NOT0000277,USR03254,promotional,2024-09-28T18:21:00,2024-09-23
NOT0000278,USR01406,promotional,2024-09-28T21:16:00,2024-09-23
NOT0000279,USR01206,promotional,2024-09-29T18:28:00,2024-09-23
NOT0000280,USR04063,promotional,2024-09-23T12:36:00,2024-09-23
NOT0000281,USR04710,promotional,2024-09-26T20:48:00,2024-09-23
NOT0000282,USR04964,promotional,2024-09-26T12:14:00,2024-09-23
NOT0000283,USR03287,promotional,2024-09-23T09:16:00,2024-09-23
NOT0000284,USR00598,promotional,2024-09-25T19:52:00,2024-09-23
NOT0000285,USR01298,promotional,2024-09-24T19:58:00,2024-09-23
NOT0000286,USR04891,promotional,2024-09-28T15:46:00,2024-09-23
NOT0000287,USR04361,promotional,2024-09-28T18:56:00,2024-09-23
NOT0000288,USR02008,promotional,2024-09-28T13:07:00,2024-09-23
NOT0000289,USR04963,promotional,2024-09-23T13:49:00,2024-09-23
NOT0000290,USR00903,promotional,2024-09-24T11:59:00,2024-09-23
NOT0000291,USR00095,promotional,2024-09-23T20:55:00,2024-09-23
NOT0000292,USR04345,promotional,2024-09-27T15:23:00,2024-09-23
NOT0000293,USR03485,promotional,2024-09-26T11:44:00,2024-09-23
NOT0000294,USR04407,promotional,2024-09-24T12:16:00,2024-09-23
NOT0000295,USR03582,promotional,2024-09-26T17:04:00,2024-09-23
NOT0000296,USR03903,promotional,2024-09-24T13:54:00,2024-09-23
NOT0000297,USR01122,promotional,2024-09-23T10:57:00,2024-09-23
NOT0000298,USR01841,promotional,2024-09-26T19:18:00,2024-09-23
NOT0000299,USR02517,promotional,2024-09-26T14:54:00,2024-09-23
NOT0000300,USR03123,promotional,2024-09-24T11:44:00,2024-09-23
NOT0000301,USR02037,promotional,2024-09-23T20:40:00,2024-09-23
NOT0000302,USR01634,promotional,2024-09-23T14:56:00,2024-09-23
NOT0000303,USR02664,promotional,2024-09-23T16:59:00,2024-09-23
NOT0000304,USR01278,promotional,2024-09-29T10:11:00,2024-09-23
NOT0000305,USR01808,promotional,2024-09-24T11:07:00,2024-09-23
NOT0000306,USR04627,promotional,2024-09-27T16:36:00,2024-09-23
NOT0000307,USR01039,promotional,2024-09-25T16:51:00,2024-09-23
NOT0000308,USR04419,promotional,2024-09-28T15:07:00,2024-09-23
NOT0000309,USR02972,promotional,2024-09-25T09:14:00,2024-09-23
NOT0000310,USR02114,promotional,2024-09-28T20:13:00,2024-09-23
NOT0000311,USR04502,promotional,2024-09-23T09:49:00,2024-09-23
NOT0000312,USR02137,promotional,2024-09-26T17:17:00,2024-09-23
NOT0000313,USR00828,promotional,2024-09-29T16:09:00,2024-09-23
NOT0000314,USR03140,promotional,2024-09-24T13:03:00,2024-09-23
NOT0000315,USR02483,promotional,2024-09-27T16:51:00,2024-09-23
NOT0000316,USR02127,promotional,2024-09-25T10:14:00,2024-09-23
NOT0000317,USR04885,promotional,2024-09-24T15:12:00,2024-09-23
NOT0000318,USR04559,promotional,2024-09-28T09:58:00,2024-09-23
NOT0000319,USR04255,promotional,2024-09-23T21:50:00,2024-09-23
NOT0000320,USR02057,promotional,2024-09-23T17:41:00,2024-09-23
NOT0000321,USR04765,promotional,2024-09-27T11:08:00,2024-09-23
NOT0000322,USR03889,promotional,2024-09-27T12:02:00,2024-09-23
NOT0000323,USR03745,promotional,2024-09-24T11:04:00,2024-09-23
NOT0000324,USR04828,promotional,2024-09-24T12:56:00,2024-09-23
NOT0000325,USR02987,promotional,2024-09-23T13:42:00,2024-09-23
NOT0000326,USR02070,promotional,2024-09-29T20:02:00,2024-09-23
NOT0000327,USR01432,promotional,2024-09-28T17:26:00,2024-09-23
NOT0000328,USR00105,promotional,2024-09-26T11:39:00,2024-09-23
NOT0000329,USR01929,promotional,2024-09-24T09:26:00,2024-09-23
NOT0000330,USR00941,promotional,2024-09-27T16:12:00,2024-09-23
NOT0000331,USR04870,promotional,2024-09-25T14:07:00,2024-09-23
NOT0000332,USR00931,promotional,2024-09-27T14:52:00,2024-09-23
NOT0000333,USR00783,promotional,2024-09-27T16:43:00,2024-09-23
NOT0000334,USR04352,promotional,2024-09-24T17:46:00,2024-09-23
NOT0000335,USR02161,promotional,2024-09-25T17:24:00,2024-09-23
NOT0000336,USR03206,promotional,2024-09-27T20:15:00,2024-09-23
NOT0000337,USR00800,promotional,2024-09-26T09:41:00,2024-09-23
NOT0000338,USR01042,promotional,2024-09-26T17:27:00,2024-09-23
NOT0000339,USR01314,promotional,2024-09-28T20:18:00,2024-09-23
NOT0000340,USR03409,promotional,2024-09-26T15:49:00,2024-09-23
NOT0000341,USR02325,promotional,2024-09-28T15:58:00,2024-09-23
NOT0000342,USR04719,promotional,2024-09-23T11:33:00,2024-09-23
NOT0000343,USR00370,promotional,2024-09-26T18:53:00,2024-09-23
NOT0000344,USR02237,promotional,2024-09-25T21:49:00,2024-09-23
NOT0000345,USR01061,promotional,2024-09-23T10:02:00,2024-09-23
NOT0000346,USR04425,promotional,2024-09-29T18:48:00,2024-09-23
NOT0000347,USR02133,promotional,2024-09-24T10:25:00,2024-09-23
NOT0000348,USR00741,promotional,2024-09-25T15:51:00,2024-09-23
NOT0000349,USR02481,promotional,2024-09-26T20:35:00,2024-09-23
NOT0000350,USR04356,promotional,2024-09-25T18:28:00,2024-09-23
NOT0000351,USR04770,promotional,2024-09-23T12:17:00,2024-09-23
NOT0000352,USR00484,promotional,2024-09-23T11:38:00,2024-09-23
NOT0000353,USR00995,promotional,2024-09-28T17:43:00,2024-09-23
NOT0000354,USR03319,promotional,2024-09-23T09:17:00,2024-09-23
NOT0000355,USR01129,promotional,2024-09-29T12:35:00,2024-09-23
NOT0000356,USR03994,promotional,2024-09-28T14:40:00,2024-09-23
NOT0000357,USR01209,promotional,2024-09-25T16:39:00,2024-09-23
NOT0000358,USR02542,promotional,2024-09-25T20:53:00,2024-09-23
NOT0000359,USR02300,promotional,2024-09-25T14:02:00,2024-09-23
NOT0000360,USR03221,promotional,2024-09-25T14:16:00,2024-09-23
NOT0000361,USR03448,promotional,2024-09-27T14:38:00,2024-09-23
NOT0000362,USR03289,promotional,2024-09-29T19:49:00,2024-09-23
NOT0000363,USR04409,promotional,2024-09-29T09:24:00,2024-09-23
NOT0000364,USR03647,promotional,2024-09-23T13:15:00,2024-09-23
NOT0000365,USR03682,promotional,2024-09-29T17:30:00,2024-09-23
NOT0000366,USR03292,promotional,2024-09-27T17:38:00,2024-09-23
NOT0000367,USR03678,promotional,2024-09-27T13:39:00,2024-09-23
NOT0000368,USR04056,promotional,2024-09-29T17:55:00,2024-09-23
NOT0000369,USR01963,promotional,2024-09-29T13:54:00,2024-09-23
NOT0000370,USR00007,promotional,2024-09-26T09:09:00,2024-09-23
NOT0000371,USR04985,promotional,2024-09-26T18:48:00,2024-09-23
NOT0000372,USR00235,promotional,2024-09-27T19:23:00,2024-09-23
NOT0000373,USR03784,promotional,2024-09-25T09:22:00,2024-09-23
NOT0000374,USR04321,promotional,2024-09-28T11:06:00,2024-09-23
NOT0000375,USR03605,promotional,2024-09-27T18:39:00,2024-09-23
NOT0000376,USR00125,promotional,2024-09-24T09:50:00,2024-09-23
NOT0000377,USR04869,promotional,2024-09-26T16:31:00,2024-09-23
NOT0000378,USR01300,promotional,2024-09-23T17:57:00,2024-09-23
NOT0000379,USR03232,promotional,2024-09-23T14:14:00,2024-09-23
NOT0000380,USR00136,promotional,2024-09-24T18:14:00,2024-09-23
NOT0000381,USR01375,promotional,2024-09-24T15:51:00,2024-09-23
NOT0000382,USR02988,promotional,2024-09-26T09:22:00,2024-09-23
NOT0000383,USR00950,promotional,2024-09-27T16:37:00,2024-09-23
NOT0000384,USR00923,promotional,2024-09-25T12:34:00,2024-09-23
NOT0000385,USR01981,promotional,2024-09-23T20:49:00,2024-09-23
NOT0000386,USR00970,promotional,2024-09-29T20:28:00,2024-09-23
NOT0000387,USR03732,promotional,2024-09-28T10:50:00,2024-09-23
