user_id,signup_date,city,device_type,user_segment
USR000069,2023-05-08,London,tablet,returning
USR000070,2023-09-20,Chennai,desktop,returning
USR000071,2022-12-08,Pune,desktop,returning
USR000072,2023-03-23,Bengaluru,desktop,vip
USR000073,2022-09-24,Goa,mobile,new
USR000074,2022-03-22,Goa,desktop,returning
USR000075,2022-12-24,Goa,desktop,vip
USR000076,2023-07-19,Ahmedabad,desktop,returning
USR000077,2022-12-18,London,mobile,returning
USR000078,2023-01-03,Ahmedabad,mobile,returning
USR000079,2023-06-01,Delhi,mobile,new
USR000080,2022-02-14,Kolkata,tablet,returning
USR000081,2023-04-03,Pune,desktop,new
USR000082,2022-01-13,Goa,tablet,new
USR000083,2022-02-01,Singapore,desktop,returning
USR000084,2022-03-09,Hyderabad,tablet,returning
USR000085,2023-10-20,New York,desktop,returning
USR000086,2022-04-18,Jaipur,mobile,new
USR000087,2022-03-22,Mumbai,desktop,new
USR000088,2023-07-10,Kolkata,mobile,vip
USR000089,2022-07-04,Dubai,mobile,new
USR000090,2023-04-26,Ahmedabad,mobile,returning
USR000091,2023-07-18,Singapore,mobile,new
USR000092,2022-09-15,Kolkata,mobile,returning
USR000093,2022-12-09,Jaipur,mobile,returning
USR000094,2023-03-31,Chennai,mobile,returning
USR000095,2022-03-17,Chennai,desktop,returning
USR000096,2022-01-27,Mumbai,desktop,returning
USR000097,2022-06-10,Jaipur,desktop,returning
USR000098,2023-05-22,Mumbai,mobile,new
USR000099,2022-01-30,Bangkok,desktop,vip
USR000100,2023-02-03,Chennai,mobile,returning
USR000101,2023-11-05,Bangkok,mobile,new
USR000102,2023-05-12,Ahmedabad,desktop,returning
USR000103,2023-11-30,Kolkata,mobile,vip
USR000104,2023-02-12,Jaipur,mobile,returning
USR000105,2022-11-17,Hyderabad,tablet,returning
USR000106,2023-04-02,Bengaluru,desktop,returning
USR000107,2023-10-26,Hyderabad,mobile,new
USR000108,2023-05-30,Hyderabad,desktop,new
USR000109,2022-05-31,,mobile,vip
USR000110,2023-02-13,Singapore,mobile,returning
USR000111,2023-05-29,Singapore,mobile,returning
USR000112,2022-03-01,Singapore,mobile,new
USR000113,2022-08-08,New York,desktop,returning
USR000114,2022-11-22,Jaipur,mobile,new
USR000115,2022-03-14,New York,mobile,new
USR000116,2022-09-19,Kolkata,mobile,new
USR000117,2023-08-08,New York,desktop,vip
USR000118,2023-04-05,New York,mobile,returning
USR000119,2023-08-12,Bengaluru,desktop,returning
USR000120,2023-04-24,Hyderabad,mobile,returning
USR000121,2022-06-06,,mobile,returning
USR000122,2022-06-29,Singapore,desktop,new
USR000123,2023-04-07,Kolkata,desktop,returning
USR000124,2022-05-13,Jaipur,tablet,returning
USR000125,2022-10-20,Dubai,mobile,vip
USR000126,2022-05-14,Kolkata,desktop,new
USR000127,2022-11-19,Jaipur,tablet,new
USR000128,2022-12-27,Bengaluru,mobile,returning
USR000129,2023-05-22,New York,desktop,vip
USR000130,2023-08-13,Bangkok,desktop,new
USR000131,2022-07-29,Bangkok,mobile,returning
USR000132,2022-08-14,New York,mobile,new
USR000133,2023-09-30,Jaipur,mobile,vip
USR000134,2023-11-14,Bengaluru,mobile,new
USR000135,2023-09-11,Mumbai,desktop,returning
USR000136,2023-07-29,Mumbai,mobile,new
USR000137,2022-03-30,Goa,mobile,returning
USR000138,2023-07-22,Mumbai,mobile,returning
USR000139,2022-02-04,Ahmedabad,desktop,returning
USR000140,2022-10-26,Chennai,mobile,returning
USR000141,2022-05-01,Goa,mobile,returning
USR000142,2023-10-28,Bangkok,tablet,returning
USR000143,2022-12-03,,tablet,returning
USR000144,2022-12-07,Bengaluru,desktop,returning
USR000145,2022-05-01,Bangkok,desktop,new
USR000146,2022-09-09,London,tablet,returning
USR000147,2022-07-09,Mumbai,mobile,returning
USR000148,2023-04-19,Bengaluru,desktop,returning
USR000149,2022-06-14,Dubai,desktop,returning
USR000150,2023-12-21,Bengaluru,desktop,new
USR000151,2022-02-04,Delhi,desktop,vip
USR000152,2023-09-06,Ahmedabad,mobile,new
USR000153,2022-02-02,Kolkata,mobile,vip
USR000154,2022-07-01,Delhi,desktop,vip
USR000155,2023-04-03,Dubai,desktop,new
USR000156,2022-03-16,Goa,mobile,returning
USR000157,2023-01-18,Jaipur,mobile,new
USR000158,2023-09-09,Kolkata,mobile,returning
USR000159,2023-03-07,Chennai,mobile,returning
USR000160,2022-10-13,New York,desktop,new
USR000161,2023-07-24,,mobile,new
USR000162,2022-09-24,Pune,mobile,new
USR000163,2023-12-29,Goa,mobile,returning
USR000164,2023-04-07,Ahmedabad,mobile,returning
USR000165,2022-08-07,Chennai,desktop,returning
USR000166,2023-07-03,Dubai,mobile,vip
USR000167,2022-07-31,Jaipur,desktop,returning
USR000168,2023-09-15,London,desktop,new
USR000169,2022-04-01,Goa,mobile,returning
USR000170,2023-03-02,Kolkata,mobile,returning
USR000171,2022-03-18,Goa,mobile,new
USR000172,2022-07-31,Bangkok,desktop,new
USR000173,2022-04-18,Kolkata,desktop,returning
USR000174,2023-06-12,Singapore,mobile,new
USR000175,2023-07-29,Chennai,mobile,new
USR000176,2022-12-15,Bengaluru,mobile,returning
USR000177,2023-07-20,Mumbai,mobile,returning
USR000178,2022-06-28,Dubai,mobile,returning
USR000179,2022-07-07,Jaipur,mobile,new
USR000180,2024-01-01,Bangkok,mobile,new
USR000181,2022-04-28,Singapore,mobile,new
USR000182,2023-02-04,Jaipur,desktop,new
USR000183,2022-08-19,Bengaluru,mobile,returning
USR000184,2023-12-13,Chennai,mobile,returning
USR000185,2023-09-09,Bangkok,desktop,returning
USR000186,2022-12-26,Goa,mobile,new
USR000187,2023-02-21,Goa,mobile,returning
USR000188,2023-05-01,Delhi,mobile,returning
USR000189,2023-11-03,Ahmedabad,desktop,new
USR000190,2023-04-30,Chennai,desktop,new
USR000191,2022-05-31,Delhi,mobile,new
USR000192,2023-10-13,Kolkata,mobile,returning
USR000193,2023-10-06,Chennai,mobile,returning
USR000194,2022-08-22,Goa,desktop,new
USR000195,2023-10-23,New York,tablet,returning
USR000196,2022-07-05,Bangkok,mobile,returning
USR000197,2023-08-26,Dubai,mobile,returning
USR000198,2023-08-23,Dubai,mobile,new
USR000199,2022-02-25,Kolkata,mobile,vip
USR000200,2022-09-02,Mumbai,mobile,returning
USR000201,2022-06-18,Hyderabad,desktop,new
USR000202,2023-07-16,Dubai,mobile,vip
USR000203,2023-04-05,Kolkata,desktop,returning
USR000204,2022-07-10,Singapore,tablet,new
USR000205,2022-04-20,Dubai,desktop,new
USR000206,2022-10-25,Mumbai,desktop,returning
USR000207,2023-05-30,Pune,mobile,returning
USR000208,2022-06-28,Pune,mobile,returning
USR000209,2022-01-25,Bengaluru,desktop,returning
USR000210,2023-06-10,Pune,desktop,new
USR000211,2022-01-01,London,mobile,returning
USR000212,2023-02-16,Kolkata,mobile,vip
USR000213,2022-11-19,Kolkata,mobile,new
USR000214,2022-02-13,Bangkok,desktop,returning
USR000215,2022-03-07,Singapore,mobile,new
USR000216,2022-12-15,Jaipur,mobile,new
USR000217,2022-10-10,Singapore,mobile,returning
USR000218,2022-07-21,Hyderabad,desktop,returning
USR000219,2022-09-26,Pune,mobile,new
USR000220,2023-08-31,Singapore,mobile,returning
USR000221,2023-04-23,Mumbai,mobile,returning
USR000222,2023-05-16,Mumbai,mobile,new
USR000223,2023-10-28,Hyderabad,mobile,new
USR000224,2023-01-20,Delhi,mobile,returning
USR000225,2023-12-11,Kolkata,mobile,new
USR000226,2022-05-09,London,mobile,new
USR000227,2022-06-13,Bengaluru,mobile,new
USR000228,2023-05-11,Delhi,desktop,returning
USR000229,2022-05-09,New York,mobile,new
USR000230,2023-05-21,New York,mobile,new
USR000231,2023-12-25,Kolkata,desktop,new
USR000232,2023-10-21,New York,desktop,returning
USR000233,2022-01-07,London,mobile,returning
USR000234,2022-03-26,Dubai,mobile,new
USR000235,2023-11-02,Pune,tablet,vip
USR000236,2023-05-12,Goa,desktop,new
USR000237,2023-10-24,Goa,tablet,returning
USR000238,2023-11-30,,desktop,returning
USR000239,2023-01-28,Mumbai,mobile,new
USR000240,2023-10-21,Chennai,mobile,returning
USR000241,2022-07-24,New York,mobile,new
USR000242,2023-05-03,Pune,mobile,returning
USR000243,2023-03-22,Jaipur,mobile,returning
USR000244,2022-02-15,London,tablet,returning
USR000245,2022-08-22,Jaipur,mobile,returning
USR000246,2023-05-27,Goa,mobile,new
USR000247,2022-06-28,Chennai,desktop,new
USR000248,2023-08-19,Delhi,mobile,returning
USR000249,2022-05-27,Kolkata,mobile,returning
USR000250,2022-05-21,Jaipur,mobile,new
USR000251,2022-09-04,Ahmedabad,mobile,returning
USR000252,2023-04-28,Mumbai,desktop,returning
USR000253,2022-09-04,Mumbai,mobile,returning
USR000254,2022-11-11,Delhi,desktop,new
USR000255,2023-06-21,Bangkok,mobile,returning
USR000256,2023-09-27,Goa,mobile,returning
USR000257,2023-09-24,Ahmedabad,mobile,new
USR000258,2022-02-26,Delhi,mobile,returning
USR000259,2022-10-17,Hyderabad,mobile,vip
USR000260,2023-01-04,Goa,mobile,returning
USR000261,2022-10-25,New York,mobile,returning
USR000262,2022-11-07,Ahmedabad,mobile,returning
USR000263,2022-09-10,Delhi,mobile,returning
USR000264,2023-11-07,Singapore,mobile,vip
USR000265,2022-02-11,Ahmedabad,desktop,new
USR000266,2022-03-03,London,mobile,new
USR000267,2022-03-11,Hyderabad,tablet,returning
USR000268,2023-09-23,Goa,mobile,returning
USR000269,2023-10-31,Kolkata,mobile,returning
USR000270,2022-11-15,Kolkata,mobile,new
USR000271,2023-01-19,Kolkata,desktop,new
USR000272,2023-09-12,Bengaluru,mobile,vip
USR000273,2023-04-22,Mumbai,mobile,returning
USR000274,2023-06-19,Pune,mobile,new
USR000275,2023-06-21,Hyderabad,mobile,returning
USR000276,2022-07-01,Bangkok,mobile,returning
USR000277,2022-09-29,Jaipur,mobile,returning
USR000278,2023-08-11,Bengaluru,mobile,returning
USR000279,2022-10-26,Dubai,mobile,returning
USR000280,2023-06-28,Delhi,mobile,new
USR000281,2023-03-22,Dubai,desktop,returning
USR000282,2022-09-15,Bangkok,desktop,returning
USR000283,2023-04-21,Pune,mobile,new
USR000284,2023-10-16,Singapore,mobile,returning
USR000285,2022-10-05,Hyderabad,mobile,returning
USR000286,2022-06-17,Mumbai,desktop,returning
USR000287,2023-09-23,Kolkata,desktop,returning
USR000288,2023-11-11,Ahmedabad,mobile,returning
USR000289,2022-03-05,New York,desktop,new
USR000290,2022-06-27,Dubai,mobile,new
USR000291,2023-12-17,,mobile,new
USR000292,2023-09-28,Jaipur,mobile,returning
USR000293,2023-05-04,Hyderabad,mobile,returning
USR000294,2023-07-15,Chennai,desktop,new
USR000295,2022-11-11,Kolkata,mobile,new
USR000296,2022-08-22,Bangkok,mobile,new
USR000297,2022-08-27,Mumbai,desktop,returning
USR000298,2023-05-28,Jaipur,mobile,returning
USR000299,2022-11-17,Ahmedabad,mobile,returning
USR000300,2023-11-02,Jaipur,mobile,new
USR000301,2023-07-17,New York,mobile,returning
USR000302,2022-12-09,Bengaluru,mobile,new
USR000303,2023-12-30,New York,mobile,new
USR000304,2022-11-28,Pune,desktop,returning
USR000305,2023-04-05,New York,mobile,returning
USR000306,2022-09-23,Bengaluru,mobile,new
USR000307,2023-03-15,Hyderabad,mobile,returning
USR000308,2022-10-25,Bengaluru,mobile,returning
USR000309,2022-01-18,Mumbai,tablet,vip
USR000310,2022-06-11,Delhi,mobile,vip
USR000311,2022-02-23,Dubai,desktop,vip
USR000312,2022-08-21,Hyderabad,tablet,returning
USR000313,2023-07-27,,mobile,returning
USR000314,2023-06-21,Bengaluru,desktop,new
USR000315,2023-03-04,,mobile,new
USR000316,2023-05-24,Chennai,mobile,new
USR000317,2023-11-03,Dubai,desktop,returning
USR000318,2022-05-18,Bangkok,mobile,returning
USR000319,2022-06-25,Delhi,tablet,returning
USR000320,2023-10-31,Jaipur,mobile,new
USR000321,2023-02-14,Jaipur,mobile,returning
USR000322,2023-11-04,Bangkok,desktop,returning
USR000323,2023-11-11,Ahmedabad,desktop,new
USR000324,2022-05-13,London,mobile,returning
USR000325,2022-08-31,Mumbai,mobile,new
USR000326,2022-08-05,Dubai,mobile,returning
USR000327,2022-07-07,Jaipur,mobile,new
USR000328,2023-07-24,Singapore,mobile,returning
USR000329,2023-11-04,Delhi,mobile,returning
USR000330,2022-07-30,Bengaluru,tablet,returning
USR000331,2023-10-11,Jaipur,mobile,new
USR000332,2023-06-25,Jaipur,mobile,vip
USR000333,2023-10-23,New York,mobile,vip
USR000334,2022-05-02,Delhi,mobile,returning
USR000335,2023-10-24,Delhi,mobile,returning
USR000336,2022-02-09,Singapore,mobile,vip
USR000337,2023-05-06,Singapore,tablet,returning
USR000338,2022-11-14,London,mobile,returning
USR000339,2023-09-01,London,mobile,returning
USR000340,2022-05-28,London,mobile,returning
USR000341,2023-04-24,Hyderabad,desktop,new
USR000342,2022-05-19,Goa,mobile,returning
USR000343,2022-05-03,Jaipur,tablet,new
USR000344,2023-11-22,,desktop,vip
USR000345,2022-04-07,Bengaluru,mobile,new
USR000346,2023-10-10,Pune,tablet,returning
USR000347,2022-10-29,Goa,mobile,new
USR000348,2022-02-27,Dubai,desktop,returning
USR000349,2022-05-14,Pune,mobile,new
USR000350,2022-06-02,Kolkata,mobile,returning
USR000351,2022-07-15,London,mobile,new
USR000352,2023-02-12,Dubai,desktop,new
USR000353,2023-04-09,Mumbai,mobile,new
USR000354,2023-06-06,Ahmedabad,tablet,new
USR000355,2022-02-15,Chennai,desktop,returning
USR000356,2023-02-14,Kolkata,mobile,returning
USR000357,2023-05-02,Kolkata,mobile,new
USR000358,2023-04-05,Singapore,mobile,returning
USR000359,2022-11-22,Chennai,mobile,returning
USR000360,2023-08-20,Bangkok,mobile,returning
USR000361,2022-02-13,Bangkok,mobile,new
USR000362,2022-03-12,Dubai,tablet,new
USR000363,2023-02-28,New York,mobile,returning
USR000364,2022-09-20,Hyderabad,mobile,new
USR000365,2023-02-12,Chennai,mobile,returning
USR000366,2023-10-19,Singapore,mobile,returning
USR000367,2023-12-23,Singapore,mobile,returning
USR000368,2022-09-19,Chennai,mobile,returning
USR000369,2022-04-05,Dubai,desktop,returning
USR000370,2022-06-04,Goa,mobile,returning
USR000371,2023-09-21,Delhi,mobile,returning
USR000372,2023-10-18,Pune,mobile,returning
USR000373,2022-06-30,London,mobile,returning
USR000374,2023-05-28,Pune,desktop,new
USR000375,2022-08-01,Ahmedabad,desktop,new
USR000376,2023-04-05,Ahmedabad,mobile,returning
USR000377,2023-08-19,Kolkata,mobile,new
USR000378,2023-01-09,Mumbai,mobile,returning
USR000379,2023-10-23,Singapore,desktop,returning
USR000380,2023-04-26,Mumbai,mobile,returning
USR000381,2022-12-19,Dubai,desktop,new
USR000382,2023-03-16,Pune,mobile,returning
USR000383,2023-07-24,Singapore,mobile,returning
USR000384,2022-10-10,Ahmedabad,mobile,returning
USR000385,2022-06-24,Jaipur,mobile,returning
USR000386,2022-01-11,Bengaluru,tablet,new
USR000387,2023-02-26,London,tablet,returning
USR000388,2022-04-15,Hyderabad,mobile,vip
USR000389,2022-03-03,Mumbai,mobile,new
USR000390,2022-07-09,Mumbai,desktop,returning
USR000391,2023-12-24,,tablet,returning
USR000392,2022-02-17,Kolkata,mobile,new
USR000393,2022-06-13,Bengaluru,desktop,returning
USR000394,2023-03-01,Kolkata,mobile,returning
USR000395,2022-02-21,Pune,mobile,returning
USR000396,2023-09-17,Kolkata,desktop,new
USR000397,2023-08-17,London,mobile,returning
USR000398,2023-04-06,Dubai,mobile,returning
USR000399,2023-09-05,Hyderabad,desktop,returning
USR000400,2023-09-14,Ahmedabad,tablet,returning
USR000401,2022-06-14,Pune,desktop,returning
USR000402,2023-07-26,New York,mobile,returning
USR000403,2023-03-29,Ahmedabad,desktop,new
USR000404,2023-03-19,Jaipur,mobile,returning
USR000405,2022-04-22,Kolkata,mobile,vip
USR000406,2023-05-31,Bangkok,mobile,returning
USR000407,2023-01-15,Hyderabad,mobile,returning
USR000408,2023-06-07,Bangkok,mobile,returning
USR000409,2022-01-28,Delhi,desktop,vip
USR000410,2022-03-23,Mumbai,desktop,new
USR000411,2023-04-06,Mumbai,desktop,returning
USR000412,2022-08-02,Bangkok,tablet,new
USR000413,2022-08-19,Singapore,desktop,new
USR000414,2023-04-19,Hyderabad,mobile,new
USR000415,2023-11-10,Hyderabad,mobile,returning
USR000416,2023-09-29,Hyderabad,desktop,returning
USR000417,2022-03-23,Hyderabad,desktop,vip
USR000418,2022-10-25,Goa,tablet,vip
USR000419,2023-03-24,Ahmedabad,mobile,returning
USR000420,2023-11-17,Bangkok,tablet,returning
USR000421,2023-12-29,New York,desktop,new
USR000422,2023-01-25,Dubai,mobile,vip
USR000423,2023-08-21,Ahmedabad,desktop,new
USR000424,2022-03-20,Delhi,mobile,returning
USR000425,2023-04-08,Bengaluru,mobile,returning
USR000426,2023-07-20,Bangkok,tablet,returning
USR000427,2022-10-06,Hyderabad,mobile,returning
USR000428,2022-06-16,Goa,desktop,returning
USR000429,2022-01-09,New York,mobile,returning
USR000430,2022-10-21,Dubai,desktop,returning
USR000431,2022-06-06,Dubai,mobile,returning
USR000432,2023-12-23,Chennai,mobile,new
USR000433,2023-09-09,London,mobile,returning
USR000434,2023-10-16,Bangkok,mobile,returning
USR000435,2022-01-24,Pune,mobile,new
USR000436,2023-08-02,Hyderabad,desktop,vip
USR000437,2022-06-22,Chennai,mobile,new
USR000438,2023-11-26,,mobile,returning
USR000439,2022-12-19,Goa,mobile,returning
USR000440,2022-05-15,Jaipur,desktop,new
USR000441,2022-06-15,Mumbai,desktop,returning
USR000442,2023-08-03,New York,mobile,returning
USR000443,2022-10-18,New York,desktop,returning
USR000444,2023-08-24,Bangkok,desktop,returning
USR000445,2023-11-20,Jaipur,mobile,new
USR000446,2023-02-20,,mobile,returning
USR000447,2022-12-24,Chennai,tablet,returning
USR000448,2023-11-22,Dubai,mobile,returning
USR000449,2022-12-31,Ahmedabad,mobile,new
USR000450,2023-05-31,Kolkata,mobile,new
USR000451,2022-02-02,Chennai,desktop,new
USR000452,2023-04-21,Chennai,desktop,returning
USR000453,2022-02-18,Chennai,tablet,returning
USR000454,2023-09-18,Goa,mobile,new
USR000455,2023-01-04,New York,mobile,returning
USR000456,2022-06-07,Goa,mobile,returning
USR000457,2022-11-11,Bengaluru,mobile,new
USR000458,2022-04-06,Ahmedabad,desktop,returning
USR000459,2023-07-27,,desktop,new
USR000460,2023-05-04,Mumbai,desktop,returning
USR000461,2023-07-19,Bangkok,desktop,returning
USR000462,2023-07-04,Bangkok,mobile,vip
USR000463,2022-11-05,Pune,desktop,new
USR000464,2023-12-07,Chennai,mobile,returning
USR000465,2023-07-02,Bengaluru,desktop,returning
USR000466,2023-01-26,Mumbai,mobile,returning
USR000467,2022-11-06,Ahmedabad,tablet,returning
USR000468,2022-02-15,Chennai,tablet,new
USR000469,2023-04-22,London,mobile,vip
USR000470,2023-04-03,Pune,mobile,returning
USR000471,2023-07-22,Singapore,desktop,returning
USR000472,2022-01-13,Jaipur,mobile,new
USR000473,2023-09-13,New York,mobile,returning
USR000474,2022-12-06,Bangkok,tablet,returning
USR000475,2023-11-23,Kolkata,mobile,new
USR000476,2022-09-07,Dubai,mobile,new
USR000477,2023-05-19,Dubai,mobile,new
USR000478,2023-06-11,Goa,mobile,new
USR000479,2022-09-17,Ahmedabad,mobile,returning
USR000480,2023-01-08,New York,mobile,returning
USR000481,2023-02-23,Kolkata,desktop,returning
USR000482,2023-05-13,Chennai,desktop,returning
USR000483,2023-05-18,Bengaluru,mobile,new
USR000484,2023-12-08,Goa,mobile,new
USR000485,2022-02-25,Jaipur,mobile,returning
USR000486,2023-06-18,Chennai,desktop,returning
USR000487,2022-11-19,Ahmedabad,mobile,returning
USR000488,2023-01-30,Singapore,tablet,returning
USR000489,2023-03-22,Dubai,desktop,returning
USR000490,2023-10-22,Jaipur,desktop,vip
USR000491,2023-03-22,,desktop,new
USR000492,2023-01-07,New York,mobile,returning
USR000493,2022-03-16,London,desktop,new
USR000494,2022-07-29,Goa,mobile,returning
USR000495,2022-11-18,Hyderabad,tablet,returning
USR000496,2022-02-05,Hyderabad,desktop,returning
USR000497,2022-07-01,London,mobile,returning
USR000498,2023-01-27,Pune,desktop,returning
USR000499,2023-12-04,London,desktop,returning
USR000500,2023-09-05,Kolkata,mobile,returning
USR000501,2023-04-09,Jaipur,mobile,vip
USR000502,2023-07-03,Pune,desktop,returning
USR000503,2022-05-17,Delhi,desktop,returning
USR000504,2023-04-05,Mumbai,desktop,returning
USR000505,2023-11-23,,mobile,returning
USR000506,2023-09-12,Jaipur,desktop,vip
USR000507,2022-05-01,Goa,mobile,returning
USR000508,2022-10-14,Ahmedabad,mobile,returning
USR000509,2023-01-13,Bengaluru,mobile,returning
USR000510,2023-02-14,Delhi,mobile,new
USR000511,2022-10-12,Dubai,mobile,returning
USR000512,2022-04-21,Ahmedabad,mobile,returning
USR000513,2022-07-27,Pune,desktop,returning
USR000514,2023-09-05,London,mobile,new
USR000515,2022-12-03,Bengaluru,desktop,returning
USR000516,2022-05-21,New York,mobile,vip
USR000517,2023-06-21,Kolkata,mobile,returning
USR000518,2023-04-16,New York,mobile,returning
USR000519,2023-11-17,London,mobile,returning
USR000520,2022-01-06,New York,desktop,new
USR000521,2022-10-12,Bengaluru,desktop,returning
USR000522,2023-12-31,Bangkok,tablet,returning
USR000523,2022-07-18,Bengaluru,mobile,returning
USR000524,2022-06-29,,desktop,returning
USR000525,2022-01-28,Chennai,tablet,returning
USR000526,2022-02-14,New York,desktop,returning
USR000527,2023-06-14,Chennai,mobile,returning
USR000528,2022-12-25,Mumbai,mobile,new
USR000529,2022-10-17,Pune,mobile,new
USR000530,2023-10-22,Hyderabad,mobile,returning
USR000531,2022-02-20,Singapore,mobile,new
USR000532,2023-01-28,Jaipur,mobile,new
USR000533,2022-04-03,Bengaluru,mobile,returning
USR000534,2023-02-14,Singapore,desktop,returning
USR000535,2022-02-21,Singapore,tablet,returning
USR000536,2023-08-27,Delhi,desktop,returning
USR000537,2023-02-28,Pune,mobile,returning
USR000538,2022-07-31,Pune,mobile,new
USR000539,2023-02-19,Pune,tablet,returning
USR000540,2022-02-18,Ahmedabad,desktop,new
USR000541,2022-11-09,Mumbai,desktop,returning
USR000542,2023-02-01,Jaipur,mobile,new
USR000543,2022-11-15,Dubai,mobile,new
USR000544,2022-01-18,New York,mobile,new
USR000545,2023-03-05,London,mobile,new
USR000546,2022-06-13,Singapore,mobile,returning
USR000547,2023-08-24,Ahmedabad,mobile,new
USR000548,2023-06-19,Mumbai,mobile,returning
USR000549,2022-10-28,,mobile,returning
USR000550,2022-02-20,Singapore,tablet,returning
USR000551,2022-12-09,Hyderabad,desktop,new
USR000552,2022-02-07,,mobile,returning
USR000553,2023-07-07,Chennai,desktop,returning
USR000554,2022-04-11,Delhi,desktop,new
USR000555,2022-05-29,Ahmedabad,desktop,returning
USR000556,2023-02-27,Chennai,mobile,returning
USR000557,2022-11-12,Mumbai,desktop,new
USR000558,2022-06-19,Mumbai,mobile,returning
USR000559,2024-01-01,New York,mobile,new
USR000560,2023-02-24,Pune,mobile,returning
USR000561,2023-03-14,Ahmedabad,mobile,returning
USR000562,2023-05-31,Ahmedabad,mobile,new
USR000563,2022-10-18,Pune,mobile,new
USR000564,2022-05-18,Dubai,desktop,returning
USR000565,2022-04-20,Bengaluru,mobile,returning
USR000566,2022-03-02,New York,mobile,new
USR000567,2023-02-06,Ahmedabad,mobile,new
USR000568,2022-09-12,Singapore,desktop,returning
USR000569,2022-10-06,Bengaluru,desktop,returning
USR000570,2022-10-06,London,mobile,returning
USR000571,2022-02-09,,mobile,returning
USR000572,2023-05-28,Mumbai,mobile,returning
USR000573,2022-07-27,Hyderabad,mobile,vip
USR000574,2022-09-04,New York,mobile,vip
USR000575,2023-07-12,Hyderabad,mobile,returning
USR000576,2022-02-26,Mumbai,desktop,returning
USR000577,2023-10-07,Ahmedabad,desktop,returning
USR000578,2023-03-17,Delhi,mobile,returning
USR000579,2022-07-23,Dubai,mobile,returning
USR000580,2022-02-21,Singapore,mobile,vip
USR000581,2022-03-24,Kolkata,mobile,returning
USR000582,2022-04-07,Goa,mobile,returning
USR000583,2023-01-23,Singapore,desktop,returning
USR000584,2023-09-28,Goa,mobile,returning
USR000585,2023-05-06,Jaipur,desktop,returning
USR000586,2022-02-12,Mumbai,desktop,returning
