log_id,hotel_id,algorithm_version,base_price,computed_price,multiplier,logged_at,week_number
LOG0000034,HTL0031,v1.2,2893.47,2751.69,0.951,2024-03-24 15:27:00,12
LOG0000035,HTL0036,v1.2,4632.72,5108.5,1.1027,2024-02-13 19:21:00,7
LOG0000036,HTL0100,v1.3_buggy,7017.27,9516.82,1.3562,2024-06-28 18:40:00,26
LOG0000037,HTL0112,v1.2,3456.35,3395.17,0.9823,2024-02-16 17:01:00,7
LOG0000038,HTL0071,v1.3_buggy,5240.74,7055.61,1.3463,2024-05-30 23:47:00,22
LOG0000039,HTL0011,v1.2,5713.79,5990.91,1.0485,2024-02-23 12:46:00,8
LOG0000040,HTL0052,v1.3_buggy,2721.4,3452.37,1.2686,2024-04-30 19:30:00,18
LOG0000041,HTL0047,v1.3_buggy,6484.97,8582.21,1.3234,2024-06-08 05:52:00,23
LOG0000042,HTL0106,v1.3_buggy,6933.3,8871.85,1.2796,2024-05-27 19:44:00,22
LOG0000043,HTL0095,v1.3_buggy,5094.9,6881.68,1.3507,2024-06-03 19:46:00,23
LOG0000044,HTL0097,v1.3_buggy,2645.43,3471.07,1.3121,2024-06-05 02:01:00,23
LOG0000045,HTL0055,v1.2,4048.49,4319.33,1.0669,2024-03-30 00:47:00,13
LOG0000046,HTL0013,v1.3_buggy,7265.07,9789.68,1.3475,2024-04-16 05:07:00,16
LOG0000047,HTL0002,v1.3_buggy,3647.94,4639.81,1.2719,2024-05-14 19:40:00,20
LOG0000048,HTL0072,v1.3_buggy,7848.97,10407.73,1.326,2024-05-17 09:02:00,20
LOG0000049,HTL0045,v1.3_buggy,4718.76,6023.5,1.2765,2024-04-25 22:33:00,17
LOG0000050,HTL0061,v1.3_buggy,6557.27,8938.21,1.3631,2024-06-23 13:24:00,25
LOG0000051,HTL0006,v1.2,3349.44,3226.18,0.9632,2024-01-12 14:06:00,2
LOG0000052,HTL0059,v1.2,9212.08,10279.76,1.1159,2024-01-07 03:23:00,1
LOG0000053,HTL0030,v1.3_buggy,3884.33,5119.55,1.318,2024-05-21 08:40:00,21
LOG0000054,HTL0053,v1.2,4534.16,4644.34,1.0243,2024-01-04 12:07:00,1
LOG0000055,HTL0088,v1.3_buggy,4410.09,5886.59,1.3348,2024-06-17 17:45:00,25
LOG0000056,HTL0070,v1.2,2121.15,2150.0,1.0136,2024-01-22 17:17:00,4
LOG0000057,HTL0069,v1.3_buggy,4642.92,5705.22,1.2288,2024-05-22 14:50:00,21
LOG0000058,HTL0089,v1.2,3584.9,3980.67,1.1104,2024-01-12 07:44:00,2
LOG0000059,HTL0051,v1.2,5136.83,5205.15,1.0133,2024-03-19 03:57:00,12
LOG0000060,HTL0064,v1.3_buggy,5584.95,6976.16,1.2491,2024-06-22 14:51:00,25
LOG0000061,HTL0049,v1.2,3663.72,3745.05,1.0222,2024-02-04 11:52:00,5
LOG0000062,HTL0001,v1.3_buggy,3707.18,4580.59,1.2356,2024-04-23 15:54:00,17
LOG0000063,HTL0119,v1.3_buggy,3854.01,5197.52,1.3486,2024-05-06 15:18:00,19
LOG0000064,HTL0055,v1.2,5239.36,5051.79,0.9642,2024-03-06 20:23:00,10
LOG0000065,HTL0098,v1.3_buggy,4335.3,5588.2,1.289,2024-06-12 11:40:00,24
LOG0000066,HTL0100,v1.3_buggy,3704.75,4729.48,1.2766,2024-06-30 17:35:00,26
LOG0000067,HTL0033,v1.3_buggy,4247.94,5331.16,1.255,2024-05-14 07:31:00,20
LOG0000068,HTL0010,v1.2,7208.65,7655.59,1.062,2024-02-03 23:20:00,5
LOG0000069,HTL0098,v1.2,5111.2,5148.0,1.0072,2024-03-16 16:39:00,11
LOG0000070,HTL0111,v1.3_buggy,4101.01,5395.7,1.3157,2024-04-29 03:55:00,18
LOG0000071,HTL0020,v1.3_buggy,7978.22,10027.03,1.2568,2024-06-16 20:37:00,24
LOG0000072,HTL0106,v1.3_buggy,5877.01,7606.03,1.2942,2024-04-29 15:09:00,18
LOG0000073,HTL0020,v1.3_buggy,2739.76,3674.29,1.3411,2024-04-29 00:49:00,18
LOG0000074,HTL0064,v1.2,6464.95,7179.97,1.1106,2024-01-07 16:00:00,1
LOG0000075,HTL0114,v1.2,9574.97,10447.25,1.0911,2024-02-03 23:14:00,5
LOG0000076,HTL0092,v1.2,6631.99,7092.91,1.0695,2024-02-07 03:24:00,6
LOG0000077,HTL0105,v1.2,3951.36,4540.51,1.1491,2024-03-20 15:12:00,12
LOG0000078,HTL0006,v1.2,4720.76,5424.63,1.1491,2024-02-24 15:19:00,8
LOG0000079,HTL0045,v1.3_buggy,2653.13,3248.76,1.2245,2024-06-14 11:03:00,24
LOG0000080,HTL0027,v1.2,6309.38,5995.8,0.9503,2024-02-17 22:19:00,7
LOG0000081,HTL0114,v1.2,4530.64,4500.28,0.9933,2024-04-11 06:43:00,15
LOG0000082,HTL0020,v1.2,3835.04,3877.23,1.011,2024-03-06 15:53:00,10
LOG0000083,HTL0008,v1.2,4593.63,5411.3,1.178,2024-04-12 13:56:00,15
LOG0000084,HTL0049,v1.3_buggy,2760.78,3779.78,1.3691,2024-04-29 12:47:00,18
LOG0000085,HTL0036,v1.3_buggy,2862.06,3602.47,1.2587,2024-06-30 01:21:00,26
LOG0000086,HTL0040,v1.2,3156.24,3111.11,0.9857,2024-01-12 12:36:00,2
LOG0000087,HTL0038,v1.3_buggy,2165.6,2900.17,1.3392,2024-06-01 15:25:00,22
LOG0000088,HTL0109,v1.2,3999.55,4017.55,1.0045,2024-01-12 06:26:00,2
LOG0000089,HTL0060,v1.2,3428.94,3724.86,1.0863,2024-01-05 09:23:00,1
LOG0000090,HTL0080,v1.2,7343.64,8054.5,1.0968,2024-01-08 04:01:00,2
LOG0000091,HTL0074,v1.2,3318.61,3368.39,1.015,2024-04-04 15:06:00,14
LOG0000092,HTL0095,v1.3_buggy,6049.8,7619.12,1.2594,2024-06-15 11:03:00,24
LOG0000093,HTL0074,v1.2,3628.77,3879.88,1.0692,2024-04-10 02:48:00,15
LOG0000094,HTL0013,v1.2,5189.83,5034.65,0.9701,2024-04-13 01:07:00,15
LOG0000095,HTL0014,v1.3_buggy,8143.6,10472.67,1.286,2024-05-06 22:32:00,19
LOG0000096,HTL0095,v1.3_buggy,3163.02,4000.9,1.2649,2024-06-05 11:03:00,23
LOG0000097,HTL0108,v1.3_buggy,8701.02,10969.38,1.2607,2024-06-24 06:22:00,26
LOG0000098,HTL0009,v1.2,6473.22,6595.56,1.0189,2024-03-12 01:45:00,11
LOG0000099,HTL0077,v1.3_buggy,5594.08,7016.1,1.2542,2024-06-07 18:30:00,23
LOG0000100,HTL0003,v1.2,5110.44,5624.04,1.1005,2024-03-04 18:52:00,10
LOG0000101,HTL0068,v1.2,4752.74,4861.58,1.0229,2024-01-08 13:55:00,2
LOG0000102,HTL0011,v1.3_buggy,7033.14,9330.87,1.3267,2024-06-04 23:20:00,23
LOG0000103,HTL0007,v1.3_buggy,4749.82,5990.95,1.2613,2024-06-20 12:24:00,25
LOG0000104,HTL0105,v1.2,4383.54,4390.99,1.0017,2024-03-14 19:09:00,11
LOG0000105,HTL0036,v1.3_buggy,6166.02,8464.71,1.3728,2024-05-12 21:36:00,19
LOG0000106,HTL0040,v1.3_buggy,3617.77,4636.53,1.2816,2024-04-22 08:18:00,17
LOG0000107,HTL0056,v1.3_buggy,9906.8,13113.63,1.3237,2024-06-11 07:52:00,24
LOG0000108,HTL0043,v1.3_buggy,5539.97,7561.51,1.3649,2024-05-05 14:20:00,18
LOG0000109,HTL0101,v1.2,4526.76,4656.23,1.0286,2024-02-14 17:18:00,7
LOG0000110,HTL0077,v1.3_buggy,4494.56,5836.64,1.2986,2024-05-25 21:11:00,21
LOG0000111,HTL0102,v1.2,4312.14,4820.11,1.1178,2024-01-05 18:55:00,1
LOG0000112,HTL0110,v1.2,5856.54,6080.26,1.0382,2024-04-05 13:35:00,14
LOG0000113,HTL0009,v1.3_buggy,5167.16,6896.61,1.3347,2024-05-15 17:02:00,20
LOG0000114,HTL0110,v1.2,4663.54,5311.31,1.1389,2024-02-06 05:54:00,6
LOG0000115,HTL0114,v1.3_buggy,7732.04,10153.71,1.3132,2024-05-14 03:35:00,20
LOG0000116,HTL0120,v1.3_buggy,8358.54,11220.5,1.3424,2024-04-27 03:19:00,17
LOG0000117,HTL0008,v1.2,3246.12,3486.33,1.074,2024-01-11 17:33:00,2
LOG0000118,HTL0036,v1.3_buggy,4467.87,5985.61,1.3397,2024-05-13 08:25:00,20
LOG0000119,HTL0106,v1.3_buggy,4131.22,5500.31,1.3314,2024-06-18 09:33:00,25
LOG0000120,HTL0079,v1.3_buggy,3952.26,4992.1,1.2631,2024-05-19 12:48:00,20
LOG0000121,HTL0068,v1.3_buggy,4102.38,5285.92,1.2885,2024-04-19 10:32:00,16
LOG0000122,HTL0120,v1.3_buggy,3317.21,4299.77,1.2962,2024-05-10 06:15:00,19
LOG0000123,HTL0101,v1.2,6518.81,7180.47,1.1015,2024-04-12 08:20:00,15
LOG0000124,HTL0083,v1.2,4469.56,4615.71,1.0327,2024-01-25 22:51:00,4
LOG0000125,HTL0020,v1.2,5007.07,4795.27,0.9577,2024-01-21 10:02:00,3
LOG0000126,HTL0031,v1.3_buggy,2005.02,2743.47,1.3683,2024-05-12 13:02:00,19
LOG0000127,HTL0086,v1.3_buggy,6559.86,8819.08,1.3444,2024-06-29 13:51:00,26
LOG0000128,HTL0111,v1.2,3280.32,3740.55,1.1403,2024-03-16 22:27:00,11
LOG0000129,HTL0077,v1.3_buggy,5192.37,6404.27,1.2334,2024-04-29 05:19:00,18
LOG0000130,HTL0038,v1.2,2978.92,3381.37,1.1351,2024-03-31 04:56:00,13
LOG0000131,HTL0108,v1.2,3001.74,3347.84,1.1153,2024-03-11 18:57:00,11
LOG0000132,HTL0007,v1.2,4819.57,4945.84,1.0262,2024-03-02 04:03:00,9
LOG0000133,HTL0020,v1.2,4719.28,4738.63,1.0041,2024-03-23 05:33:00,12
LOG0000134,HTL0019,v1.2,3288.07,3842.44,1.1686,2024-02-13 15:27:00,7
LOG0000135,HTL0020,v1.2,7327.74,8559.53,1.1681,2024-01-25 16:37:00,4
LOG0000136,HTL0101,v1.2,2288.62,2381.54,1.0406,2024-02-24 11:36:00,8
LOG0000137,HTL0044,v1.3_buggy,3256.51,4461.74,1.3701,2024-06-08 14:57:00,23
LOG0000138,HTL0095,v1.2,4134.12,4688.92,1.1342,2024-01-15 20:00:00,3
LOG0000139,HTL0085,v1.2,3752.74,4354.68,1.1604,2024-01-30 14:58:00,5
LOG0000140,HTL0111,v1.3_buggy,3134.48,4093.63,1.306,2024-04-19 16:08:00,16
LOG0000141,HTL0005,v1.2,10954.41,12327.0,1.1253,2024-02-02 00:46:00,5
LOG0000142,HTL0060,v1.3_buggy,6666.05,9134.49,1.3703,2024-04-19 05:37:00,16
LOG0000143,HTL0011,v1.3_buggy,4412.79,5634.25,1.2768,2024-06-26 18:48:00,26
LOG0000144,HTL0094,v1.2,7676.05,7635.37,0.9947,2024-01-24 19:11:00,4
LOG0000145,HTL0092,v1.2,7194.35,6933.2,0.9637,2024-03-30 18:22:00,13
LOG0000146,HTL0096,v1.2,3777.35,4054.23,1.0733,2024-01-13 00:16:00,2
LOG0000147,HTL0077,v1.3_buggy,4508.61,5973.46,1.3249,2024-06-03 16:41:00,23
LOG0000148,HTL0018,v1.3_buggy,4780.53,6553.63,1.3709,2024-06-09 22:34:00,23
LOG0000149,HTL0024,v1.2,6541.99,6502.08,0.9939,2024-01-17 23:52:00,3
LOG0000150,HTL0009,v1.3_buggy,5749.39,7079.22,1.2313,2024-04-17 19:31:00,16
LOG0000151,HTL0099,v1.2,4537.16,4769.46,1.0512,2024-04-07 22:17:00,14
LOG0000152,HTL0087,v1.3_buggy,3851.76,4994.96,1.2968,2024-05-10 12:59:00,19
LOG0000153,HTL0028,v1.3_buggy,4693.65,5732.82,1.2214,2024-05-09 06:05:00,19
LOG0000154,HTL0004,v1.2,3111.25,3127.12,1.0051,2024-04-05 13:02:00,14
LOG0000155,HTL0056,v1.2,3461.79,3936.75,1.1372,2024-02-10 05:02:00,6
LOG0000156,HTL0086,v1.2,4358.07,4341.95,0.9963,2024-04-14 06:47:00,15
LOG0000157,HTL0002,v1.2,4597.88,4875.13,1.0603,2024-02-18 02:06:00,7
LOG0000158,HTL0021,v1.3_buggy,9421.21,12466.15,1.3232,2024-05-11 08:20:00,19
LOG0000159,HTL0093,v1.2,3502.4,3673.67,1.0489,2024-03-12 03:50:00,11
LOG0000160,HTL0008,v1.3_buggy,2427.71,3224.73,1.3283,2024-06-07 07:43:00,23
LOG0000161,HTL0074,v1.2,3959.55,4586.35,1.1583,2024-03-02 18:36:00,9
LOG0000162,HTL0074,v1.2,3715.02,3534.1,0.9513,2024-02-27 23:15:00,9
LOG0000163,HTL0043,v1.2,4312.76,4532.28,1.0509,2024-01-11 14:27:00,2
LOG0000164,HTL0024,v1.2,4061.15,4342.18,1.0692,2024-02-26 02:49:00,9
LOG0000165,HTL0063,v1.2,4559.41,5132.53,1.1257,2024-03-13 20:23:00,11
LOG0000166,HTL0036,v1.3_buggy,6549.85,8189.93,1.2504,2024-05-11 13:34:00,19
LOG0000167,HTL0019,v1.2,5093.91,5802.47,1.1391,2024-01-04 04:48:00,1
LOG0000168,HTL0104,v1.3_buggy,3688.15,5029.9,1.3638,2024-04-23 06:44:00,17
LOG0000169,HTL0032,v1.3_buggy,2380.62,2946.02,1.2375,2024-04-28 08:56:00,17
LOG0000170,HTL0040,v1.3_buggy,5782.62,7672.96,1.3269,2024-04-17 04:55:00,16
LOG0000171,HTL0077,v1.2,6660.53,7254.65,1.0892,2024-03-21 09:16:00,12
LOG0000172,HTL0085,v1.2,4047.99,4645.07,1.1475,2024-03-03 05:33:00,9
LOG0000173,HTL0091,v1.3_buggy,8883.93,11256.83,1.2671,2024-06-29 12:06:00,26
LOG0000174,HTL0027,v1.2,5682.84,6056.2,1.0657,2024-04-05 12:43:00,14
LOG0000175,HTL0014,v1.2,5021.43,5386.99,1.0728,2024-02-05 05:21:00,6
LOG0000176,HTL0077,v1.2,4466.27,5018.75,1.1237,2024-02-13 19:51:00,7
LOG0000177,HTL0022,v1.2,6721.08,6472.4,0.963,2024-03-31 16:50:00,13
LOG0000178,HTL0112,v1.3_buggy,8617.54,11758.63,1.3645,2024-04-29 07:21:00,18
LOG0000179,HTL0080,v1.2,8398.5,8877.21,1.057,2024-03-09 02:03:00,10
LOG0000180,HTL0007,v1.3_buggy,4746.67,6282.22,1.3235,2024-06-07 02:47:00,23
LOG0000181,HTL0097,v1.3_buggy,8368.21,10549.8,1.2607,2024-06-04 18:21:00,23
LOG0000182,HTL0032,v1.2,3645.95,4067.06,1.1155,2024-01-29 05:19:00,5
LOG0000183,HTL0035,v1.2,6294.9,6405.06,1.0175,2024-02-13 06:04:00,7
LOG0000184,HTL0081,v1.3_buggy,3492.69,4416.86,1.2646,2024-04-15 00:30:00,16
LOG0000185,HTL0015,v1.3_buggy,5998.06,7981.02,1.3306,2024-05-16 23:39:00,20
LOG0000186,HTL0039,v1.3_buggy,5989.69,8192.7,1.3678,2024-05-20 14:24:00,21
LOG0000187,HTL0098,v1.2,4049.64,4120.91,1.0176,2024-02-07 08:31:00,6
LOG0000188,HTL0017,v1.3_buggy,3682.81,4672.75,1.2688,2024-05-18 21:08:00,20
LOG0000189,HTL0118,v1.2,7984.14,8082.34,1.0123,2024-01-03 14:10:00,1
LOG0000190,HTL0041,v1.2,3217.83,3268.67,1.0158,2024-01-16 09:19:00,3
LOG0000191,HTL0038,v1.3_buggy,2890.89,3695.71,1.2784,2024-05-01 13:57:00,18
LOG0000192,HTL0002,v1.3_buggy,5551.71,6824.72,1.2293,2024-06-01 02:15:00,22
LOG0000193,HTL0083,v1.3_buggy,4690.93,6360.9,1.356,2024-04-27 23:30:00,17
LOG0000194,HTL0074,v1.2,5516.32,5912.94,1.0719,2024-03-04 11:34:00,10
LOG0000195,HTL0111,v1.2,3762.49,4175.61,1.1098,2024-04-09 19:01:00,15
LOG0000196,HTL0060,v1.2,3878.29,4544.97,1.1719,2024-03-24 19:31:00,12
LOG0000197,HTL0064,v1.2,4743.02,4928.0,1.039,2024-04-05 18:02:00,14
LOG0000198,HTL0032,v1.2,4772.79,4966.57,1.0406,2024-04-11 00:33:00,15
LOG0000199,HTL0071,v1.2,4645.66,4480.27,0.9644,2024-02-06 23:35:00,6
LOG0000200,HTL0076,v1.3_buggy,8555.41,11697.81,1.3673,2024-05-26 08:11:00,21
LOG0000201,HTL0001,v1.3_buggy,8900.85,11809.65,1.3268,2024-06-27 19:43:00,26
LOG0000202,HTL0107,v1.3_buggy,3143.58,3863.46,1.229,2024-06-10 13:11:00,24
LOG0000203,HTL0005,v1.2,5550.08,6054.03,1.0908,2024-02-12 18:39:00,7
LOG0000204,HTL0008,v1.2,3329.44,3163.3,0.9501,2024-01-05 14:38:00,1
LOG0000205,HTL0026,v1.2,9710.8,9642.82,0.993,2024-02-15 15:42:00,7
LOG0000206,HTL0044,v1.3_buggy,3912.36,5305.55,1.3561,2024-05-15 19:26:00,20
LOG0000207,HTL0057,v1.2,4316.76,4794.63,1.1107,2024-04-08 04:24:00,15
LOG0000208,HTL0101,v1.3_buggy,6652.05,8953.66,1.346,2024-05-06 17:29:00,19
LOG0000209,HTL0013,v1.3_buggy,3452.08,4492.88,1.3015,2024-05-27 05:01:00,22
LOG0000210,HTL0059,v1.2,2869.13,3110.14,1.084,2024-01-26 04:35:00,4
LOG0000211,HTL0052,v1.2,3431.85,3765.77,1.0973,2024-04-12 06:01:00,15
LOG0000212,HTL0034,v1.3_buggy,7164.45,9239.99,1.2897,2024-06-29 17:17:00,26
LOG0000213,HTL0099,v1.3_buggy,4175.18,5219.39,1.2501,2024-04-25 02:25:00,17
LOG0000214,HTL0063,v1.3_buggy,6929.58,8505.37,1.2274,2024-05-11 04:40:00,19
LOG0000215,HTL0063,v1.2,4827.31,4909.86,1.0171,2024-03-07 17:48:00,10
LOG0000216,HTL0003,v1.3_buggy,2671.39,3358.74,1.2573,2024-05-11 03:12:00,19
LOG0000217,HTL0006,v1.3_buggy,3737.13,4863.5,1.3014,2024-05-15 04:33:00,20
LOG0000218,HTL0104,v1.2,5297.48,5504.61,1.0391,2024-03-30 12:57:00,13
LOG0000219,HTL0045,v1.3_buggy,2229.85,2924.0,1.3113,2024-05-16 02:11:00,20
LOG0000220,HTL0003,v1.3_buggy,5671.3,6993.28,1.2331,2024-04-19 23:22:00,16
LOG0000221,HTL0039,v1.3_buggy,2882.51,3718.73,1.2901,2024-05-30 10:46:00,22
LOG0000222,HTL0077,v1.3_buggy,3821.01,4905.03,1.2837,2024-06-12 13:28:00,24
LOG0000223,HTL0048,v1.2,8609.08,8997.35,1.0451,2024-02-03 19:10:00,5
LOG0000224,HTL0074,v1.2,8700.49,8629.15,0.9918,2024-03-04 09:18:00,10
LOG0000225,HTL0117,v1.2,5903.68,5860.58,0.9927,2024-04-06 12:53:00,14
LOG0000226,HTL0109,v1.2,5075.55,4902.47,0.9659,2024-02-06 00:13:00,6
LOG0000227,HTL0005,v1.2,3903.53,3983.16,1.0204,2024-02-14 01:29:00,7
LOG0000228,HTL0053,v1.2,2636.39,3010.76,1.142,2024-03-28 17:53:00,13
LOG0000229,HTL0064,v1.3_buggy,2544.82,3491.49,1.372,2024-05-01 06:56:00,18
LOG0000230,HTL0094,v1.2,4826.73,4724.4,0.9788,2024-04-09 03:30:00,15
LOG0000231,HTL0020,v1.2,4283.69,4145.33,0.9677,2024-02-21 12:25:00,8
LOG0000232,HTL0092,v1.3_buggy,4009.99,5374.59,1.3403,2024-05-11 01:23:00,19
LOG0000233,HTL0104,v1.2,7696.5,8661.64,1.1254,2024-02-16 11:31:00,7
LOG0000234,HTL0035,v1.2,3410.82,3426.51,1.0046,2024-02-05 07:20:00,6
LOG0000235,HTL0052,v1.2,13334.8,15340.35,1.1504,2024-01-28 00:55:00,4
LOG0000236,HTL0103,v1.2,12525.78,11973.39,0.9559,2024-03-13 12:50:00,11
LOG0000237,HTL0107,v1.3_buggy,6586.38,8285.01,1.2579,2024-06-19 19:53:00,25
LOG0000238,HTL0019,v1.2,4271.75,4192.72,0.9815,2024-01-13 00:59:00,2
LOG0000239,HTL0028,v1.2,2449.18,2590.01,1.0575,2024-01-05 03:32:00,1
LOG0000240,HTL0105,v1.3_buggy,6458.66,8726.94,1.3512,2024-05-13 10:28:00,20
LOG0000241,HTL0046,v1.3_buggy,11352.14,14354.78,1.2645,2024-06-04 16:33:00,23
LOG0000242,HTL0015,v1.2,14624.17,16560.41,1.1324,2024-04-11 04:16:00,15
LOG0000243,HTL0008,v1.3_buggy,3486.73,4432.33,1.2712,2024-05-05 21:43:00,18
LOG0000244,HTL0007,v1.2,6698.43,7578.6,1.1314,2024-03-15 10:07:00,11
LOG0000245,HTL0049,v1.3_buggy,3090.79,3950.96,1.2783,2024-06-02 02:00:00,22
LOG0000246,HTL0050,v1.2,2479.25,2447.52,0.9872,2024-04-05 12:19:00,14
LOG0000247,HTL0076,v1.3_buggy,7602.17,9872.18,1.2986,2024-06-07 07:19:00,23
LOG0000248,HTL0095,v1.2,3908.51,4125.04,1.0554,2024-02-10 16:50:00,6
LOG0000249,HTL0017,v1.2,4301.59,4129.1,0.9599,2024-01-07 22:24:00,1
LOG0000250,HTL0057,v1.2,4264.03,4064.47,0.9532,2024-01-29 16:57:00,5
LOG0000251,HTL0087,v1.2,1748.68,1771.94,1.0133,2024-04-02 02:36:00,14
LOG0000252,HTL0054,v1.2,4287.85,5049.8,1.1777,2024-04-08 17:35:00,15
LOG0000253,HTL0005,v1.2,8333.29,8319.96,0.9984,2024-03-31 15:11:00,13
LOG0000254,HTL0118,v1.2,4078.71,4106.45,1.0068,2024-01-28 08:53:00,4
LOG0000255,HTL0057,v1.3_buggy,5225.41,6948.75,1.3298,2024-06-14 05:49:00,24
LOG0000256,HTL0012,v1.2,2672.24,2730.23,1.0217,2024-02-15 10:32:00,7
LOG0000257,HTL0010,v1.3_buggy,6428.05,8009.35,1.246,2024-06-22 01:35:00,25
LOG0000258,HTL0010,v1.3_buggy,3956.17,5255.77,1.3285,2024-04-23 13:48:00,17
LOG0000259,HTL0070,v1.2,3385.15,3592.66,1.0613,2024-03-14 08:27:00,11
LOG0000260,HTL0048,v1.3_buggy,3357.76,4220.7,1.257,2024-05-17 02:21:00,20
LOG0000261,HTL0111,v1.2,10895.07,11520.45,1.0574,2024-03-05 14:17:00,10
LOG0000262,HTL0086,v1.3_buggy,2210.48,2880.92,1.3033,2024-05-17 01:27:00,20
LOG0000263,HTL0024,v1.3_buggy,6000.71,7320.87,1.22,2024-05-31 05:35:00,22
LOG0000264,HTL0033,v1.2,2338.17,2441.52,1.0442,2024-03-26 06:00:00,13
LOG0000265,HTL0001,v1.2,6029.79,6035.22,1.0009,2024-03-18 15:15:00,12
LOG0000266,HTL0020,v1.2,3550.47,3984.34,1.1222,2024-02-18 19:43:00,7
LOG0000267,HTL0011,v1.3_buggy,5986.76,7730.7,1.2913,2024-05-22 02:18:00,21
LOG0000268,HTL0098,v1.2,4507.19,5152.17,1.1431,2024-04-08 07:51:00,15
LOG0000269,HTL0072,v1.3_buggy,5338.55,7147.25,1.3388,2024-06-19 15:20:00,25
LOG0000270,HTL0107,v1.2,5025.12,5615.07,1.1174,2024-01-19 08:25:00,3
LOG0000271,HTL0118,v1.2,4985.84,5069.1,1.0167,2024-04-08 05:53:00,15
LOG0000272,HTL0104,v1.2,2453.75,2341.86,0.9544,2024-02-03 16:31:00,5
LOG0000273,HTL0065,v1.2,3321.95,3459.48,1.0414,2024-02-16 14:11:00,7
LOG0000274,HTL0064,v1.3_buggy,6716.01,8499.11,1.2655,2024-04-15 16:11:00,16
LOG0000275,HTL0075,v1.2,3843.93,4129.53,1.0743,2024-04-06 06:27:00,14
LOG0000276,HTL0022,v1.3_buggy,4468.25,5465.12,1.2231,2024-05-27 23:43:00,22
LOG0000277,HTL0049,v1.2,3197.56,3114.42,0.974,2024-04-10 23:02:00,15
LOG0000278,HTL0113,v1.3_buggy,3462.82,4726.06,1.3648,2024-05-10 17:33:00,19
LOG0000279,HTL0060,v1.2,9978.26,11534.87,1.156,2024-03-21 13:55:00,12
LOG0000280,HTL0061,v1.3_buggy,8591.97,11734.05,1.3657,2024-04-30 23:57:00,18
