inv_id,hotel_id,rooms_available,booking_success,failure_reason,logged_at,week_number
INV0000120,HTL0024,20,True,,2024-05-07 18:44:00,19
INV0000121,HTL0020,8,True,,2024-05-28 10:24:00,22
INV0000122,HTL0009,9,True,,2024-03-29 22:35:00,13
INV0000123,HTL0117,40,True,,2024-01-15 11:00:00,3
INV0000124,HTL0110,43,True,,2024-03-29 17:03:00,13
INV0000125,HTL0005,11,True,,2024-01-02 17:07:00,1
INV0000126,HTL0014,10,True,,2024-03-25 16:04:00,13
INV0000127,HTL0023,19,True,,2024-03-23 09:07:00,12
INV0000128,HTL0086,49,True,,2024-01-24 06:16:00,4
INV0000129,HTL0104,38,True,,2024-01-22 23:30:00,4
INV0000130,HTL0069,32,True,,2024-04-10 05:48:00,15
INV0000131,HTL0074,6,True,,2024-02-28 19:56:00,9
INV0000132,HTL0075,0,True,,2024-04-01 01:08:00,14
INV0000133,HTL0086,13,True,,2024-05-30 10:47:00,22
INV0000134,HTL0001,44,False,timeout,2024-04-27 22:05:00,17
INV0000135,HTL0055,20,True,,2024-06-21 01:12:00,25
INV0000136,HTL0041,44,True,,2024-02-14 08:33:00,7
INV0000137,HTL0090,48,True,,2024-03-03 04:55:00,9
INV0000138,HTL0031,7,True,,2024-06-08 13:04:00,23
INV0000139,HTL0066,16,True,,2024-06-22 10:48:00,25
INV0000140,HTL0074,44,True,,2024-02-27 06:51:00,9
INV0000141,HTL0109,48,True,,2024-03-28 07:08:00,13
INV0000142,HTL0040,14,True,,2024-01-01 10:27:00,1
INV0000143,HTL0112,1,True,,2024-03-28 08:48:00,13
INV0000144,HTL0006,12,True,,2024-03-10 13:26:00,10
INV0000145,HTL0079,28,True,,2024-01-11 04:05:00,2
INV0000146,HTL0091,27,True,,2024-01-08 03:47:00,2
INV0000147,HTL0056,7,True,,2024-06-18 21:07:00,25
INV0000148,HTL0109,34,True,,2024-05-24 03:24:00,21
INV0000149,HTL0031,23,True,,2024-01-06 00:02:00,1
INV0000150,HTL0116,6,True,,2024-01-23 04:10:00,4
INV0000151,HTL0027,27,True,,2024-01-21 18:17:00,3
INV0000152,HTL0050,21,True,,2024-04-26 17:13:00,17
INV0000153,HTL0072,25,True,,2024-06-16 20:20:00,24
INV0000154,HTL0006,16,True,,2024-01-12 01:29:00,2
INV0000155,HTL0084,37,False,timeout,2024-06-10 23:29:00,24
INV0000156,HTL0043,5,True,,2024-01-25 14:18:00,4
INV0000157,HTL0115,10,True,,2024-05-02 11:20:00,18
INV0000158,HTL0080,37,True,,2024-05-16 07:44:00,20
INV0000159,HTL0089,1,True,,2024-03-12 01:47:00,11
INV0000160,HTL0019,31,True,,2024-01-16 21:29:00,3
INV0000161,HTL0102,25,True,,2024-02-19 14:45:00,8
INV0000162,HTL0119,30,False,timeout,2024-05-09 09:24:00,19
INV0000163,HTL0089,31,True,,2024-02-27 12:42:00,9
INV0000164,HTL0063,34,True,,2024-06-26 22:20:00,26
INV0000165,HTL0050,1,True,,2024-05-21 07:38:00,21
INV0000166,HTL0115,2,True,,2024-01-17 18:59:00,3
INV0000167,HTL0018,32,True,,2024-05-09 23:04:00,19
INV0000168,HTL0039,6,True,,2024-06-07 16:21:00,23
INV0000169,HTL0069,20,True,,2024-03-30 21:40:00,13
INV0000170,HTL0035,47,True,,2024-03-25 21:32:00,13
INV0000171,HTL0105,24,True,,2024-03-30 18:25:00,13
INV0000172,HTL0034,15,True,,2024-04-24 12:59:00,17
INV0000173,HTL0109,22,True,,2024-01-28 04:53:00,4
INV0000174,HTL0005,16,True,,2024-03-06 15:44:00,10
INV0000175,HTL0060,32,True,,2024-04-24 09:16:00,17
INV0000176,HTL0081,17,True,,2024-01-18 08:57:00,3
INV0000177,HTL0035,38,True,,2024-05-05 18:24:00,18
INV0000178,HTL0085,22,True,,2024-03-08 18:48:00,10
INV0000179,HTL0041,8,True,,2024-06-04 17:45:00,23
INV0000180,HTL0023,2,True,,2024-06-20 00:52:00,25
INV0000181,HTL0023,47,True,,2024-06-21 10:25:00,25
INV0000182,HTL0034,34,True,,2024-03-15 01:26:00,11
INV0000183,HTL0075,23,True,,2024-06-28 08:44:00,26
INV0000184,HTL0017,5,True,,2024-03-19 05:41:00,12
INV0000185,HTL0093,18,True,,2024-04-01 06:53:00,14
INV0000186,HTL0062,13,True,,2024-06-26 19:44:00,26
INV0000187,HTL0060,2,True,,2024-06-15 01:21:00,24
INV0000188,HTL0065,5,True,,2024-03-16 04:33:00,11
INV0000189,HTL0007,16,True,,2024-01-20 00:56:00,3
INV0000190,HTL0024,35,True,,2024-02-21 03:39:00,8
INV0000191,HTL0031,21,True,,2024-01-19 17:34:00,3
INV0000192,HTL0022,3,True,,2024-04-13 00:11:00,15
INV0000193,HTL0024,9,True,,2024-03-05 09:25:00,10
INV0000194,HTL0120,31,True,,2024-04-11 17:27:00,15
INV0000195,HTL0101,46,False,timeout,2024-06-22 23:18:00,25
INV0000196,HTL0101,48,True,,2024-05-22 00:40:00,21
INV0000197,HTL0076,48,True,,2024-06-29 09:22:00,26
INV0000198,HTL0053,42,True,,2024-06-26 15:20:00,26
INV0000199,HTL0004,3,True,,2024-01-11 02:19:00,2
INV0000200,HTL0024,12,True,,2024-04-18 01:05:00,16
INV0000201,HTL0028,18,True,,2024-05-04 07:27:00,18
INV0000202,HTL0052,45,True,,2024-03-06 03:11:00,10
INV0000203,HTL0074,42,True,,2024-04-17 14:14:00,16
INV0000204,HTL0007,37,True,,2024-05-19 17:50:00,20
INV0000205,HTL0006,47,True,,2024-05-18 19:32:00,20
INV0000206,HTL0047,25,True,,2024-04-15 14:59:00,16
INV0000207,HTL0102,29,True,,2024-02-11 00:12:00,6
INV0000208,HTL0080,42,True,,2024-05-20 10:13:00,21
INV0000209,HTL0073,30,True,,2024-04-20 09:22:00,16
INV0000210,HTL0020,37,True,,2024-05-26 17:35:00,21
INV0000211,HTL0055,11,True,,2024-06-13 21:24:00,24
INV0000212,HTL0093,18,True,,2024-06-10 13:37:00,24
INV0000213,HTL0084,22,True,,2024-05-04 06:34:00,18
INV0000214,HTL0094,49,True,,2024-06-11 07:54:00,24
INV0000215,HTL0011,45,True,,2024-01-04 08:37:00,1
INV0000216,HTL0100,40,True,,2024-01-04 14:40:00,1
INV0000217,HTL0101,9,True,,2024-03-08 09:34:00,10
INV0000218,HTL0060,14,True,,2024-06-18 18:34:00,25
INV0000219,HTL0080,49,True,,2024-06-13 10:02:00,24
INV0000220,HTL0069,16,True,,2024-05-06 22:11:00,19
INV0000221,HTL0070,12,True,,2024-06-02 20:07:00,22
INV0000222,HTL0031,23,True,,2024-06-29 02:23:00,26
INV0000223,HTL0103,15,True,,2024-04-03 05:07:00,14
INV0000224,HTL0026,38,True,,2024-06-20 10:20:00,25
INV0000225,HTL0046,37,True,,2024-01-03 03:22:00,1
INV0000226,HTL0074,29,True,,2024-05-28 05:01:00,22
INV0000227,HTL0045,44,True,,2024-01-23 17:45:00,4
INV0000228,HTL0117,43,True,,2024-06-08 21:48:00,23
INV0000229,HTL0101,14,True,,2024-05-23 02:47:00,21
INV0000230,HTL0045,3,True,,2024-04-04 13:49:00,14
INV0000231,HTL0022,43,True,,2024-01-24 03:14:00,4
INV0000232,HTL0005,9,True,,2024-05-21 15:29:00,21
INV0000233,HTL0097,39,True,,2024-03-02 03:41:00,9
INV0000234,HTL0093,45,True,,2024-01-16 12:45:00,3
INV0000235,HTL0054,45,True,,2024-05-25 05:49:00,21
INV0000236,HTL0023,31,True,,2024-02-13 19:19:00,7
INV0000237,HTL0006,20,True,,2024-05-17 17:08:00,20
INV0000238,HTL0069,28,True,,2024-02-04 21:02:00,5
INV0000239,HTL0075,29,True,,2024-01-15 16:07:00,3
INV0000240,HTL0108,6,True,,2024-05-20 12:23:00,21
INV0000241,HTL0010,41,True,,2024-06-04 03:01:00,23
INV0000242,HTL0049,28,True,,2024-02-10 09:09:00,6
INV0000243,HTL0088,9,True,,2024-01-12 02:37:00,2
INV0000244,HTL0064,49,True,,2024-05-02 19:27:00,18
INV0000245,HTL0018,21,True,,2024-02-11 02:00:00,6
INV0000246,HTL0020,16,True,,2024-01-01 14:33:00,1
INV0000247,HTL0109,17,True,,2024-01-07 09:19:00,1
INV0000248,HTL0111,45,True,,2024-06-12 19:23:00,24
INV0000249,HTL0073,4,True,,2024-04-19 10:17:00,16
INV0000250,HTL0049,38,True,,2024-06-17 05:45:00,25
INV0000251,HTL0106,16,True,,2024-05-03 13:50:00,18
INV0000252,HTL0102,33,True,,2024-02-15 16:50:00,7
INV0000253,HTL0027,3,True,,2024-05-31 06:45:00,22
INV0000254,HTL0068,40,True,,2024-02-15 18:06:00,7
INV0000255,HTL0102,7,True,,2024-01-20 21:38:00,3
INV0000256,HTL0065,25,True,,2024-02-16 00:51:00,7
INV0000257,HTL0114,24,True,,2024-03-22 14:46:00,12
INV0000258,HTL0029,35,True,,2024-01-15 21:21:00,3
INV0000259,HTL0035,42,True,,2024-05-02 05:37:00,18
INV0000260,HTL0116,38,True,,2024-04-28 07:39:00,17
INV0000261,HTL0030,10,True,,2024-05-16 08:33:00,20
INV0000262,HTL0081,2,True,,2024-03-30 09:32:00,13
INV0000263,HTL0060,43,True,,2024-05-15 07:23:00,20
INV0000264,HTL0087,39,True,,2024-02-25 14:37:00,8
INV0000265,HTL0116,27,True,,2024-06-04 01:27:00,23
INV0000266,HTL0102,38,True,,2024-06-12 17:23:00,24
INV0000267,HTL0074,24,True,,2024-04-03 01:34:00,14
INV0000268,HTL0026,21,True,,2024-05-29 05:02:00,22
INV0000269,HTL0017,12,True,,2024-04-22 00:45:00,17
INV0000270,HTL0093,3,True,,2024-05-01 08:29:00,18
INV0000271,HTL0065,27,True,,2024-04-15 06:44:00,16
INV0000272,HTL0071,18,True,,2024-02-20 05:52:00,8
INV0000273,HTL0013,2,True,,2024-01-24 12:53:00,4
INV0000274,HTL0021,26,True,,2024-02-12 19:32:00,7
INV0000275,HTL0051,10,True,,2024-04-08 08:12:00,15
INV0000276,HTL0024,5,True,,2024-02-06 01:38:00,6
INV0000277,HTL0038,47,True,,2024-05-05 23:32:00,18
INV0000278,HTL0104,30,True,,2024-02-03 15:52:00,5
INV0000279,HTL0101,28,True,,2024-06-19 09:11:00,25
INV0000280,HTL0043,7,True,,2024-02-07 21:18:00,6
INV0000281,HTL0104,10,True,,2024-04-15 10:25:00,16
INV0000282,HTL0059,8,True,,2024-03-06 12:19:00,10
INV0000283,HTL0095,30,True,,2024-02-23 17:27:00,8
INV0000284,HTL0004,0,True,,2024-03-11 01:20:00,11
INV0000285,HTL0095,6,True,,2024-02-29 21:51:00,9
INV0000286,HTL0100,9,True,,2024-03-18 18:16:00,12
INV0000287,HTL0066,8,True,,2024-02-21 10:54:00,8
INV0000288,HTL0007,12,True,,2024-05-01 13:38:00,18
INV0000289,HTL0009,26,True,,2024-02-29 17:12:00,9
INV0000290,HTL0073,17,True,,2024-04-08 01:47:00,15
INV0000291,HTL0005,15,True,,2024-01-16 17:46:00,3
INV0000292,HTL0089,3,True,,2024-04-28 10:48:00,17
INV0000293,HTL0082,29,False,timeout,2024-06-21 11:22:00,25
INV0000294,HTL0082,37,True,,2024-01-19 18:50:00,3
INV0000295,HTL0002,19,True,,2024-05-25 17:18:00,21
INV0000296,HTL0082,40,True,,2024-01-12 13:00:00,2
INV0000297,HTL0080,11,True,,2024-02-27 00:05:00,9
INV0000298,HTL0081,27,True,,2024-06-22 08:44:00,25
INV0000299,HTL0036,43,False,api_error,2024-02-18 18:15:00,7
INV0000300,HTL0044,0,True,,2024-03-24 03:07:00,12
INV0000301,HTL0108,8,True,,2024-06-27 10:48:00,26
INV0000302,HTL0086,41,True,,2024-03-01 04:36:00,9
INV0000303,HTL0099,48,False,no_inventory,2024-05-02 09:41:00,18
INV0000304,HTL0101,32,True,,2024-01-14 07:17:00,2
INV0000305,HTL0058,0,True,,2024-06-11 10:48:00,24
INV0000306,HTL0028,41,False,no_inventory,2024-02-23 23:01:00,8
INV0000307,HTL0058,8,True,,2024-04-25 04:02:00,17
INV0000308,HTL0074,21,True,,2024-06-05 05:24:00,23
INV0000309,HTL0054,8,True,,2024-03-26 05:02:00,13
INV0000310,HTL0057,4,True,,2024-02-27 12:26:00,9
INV0000311,HTL0097,1,True,,2024-05-09 09:10:00,19
INV0000312,HTL0042,13,True,,2024-02-20 03:44:00,8
INV0000313,HTL0032,11,True,,2024-04-13 17:47:00,15
INV0000314,HTL0097,28,True,,2024-05-07 23:02:00,19
INV0000315,HTL0058,15,True,,2024-02-28 11:15:00,9
INV0000316,HTL0008,47,True,,2024-04-13 04:32:00,15
INV0000317,HTL0052,8,True,,2024-06-10 01:20:00,24
INV0000318,HTL0053,31,True,,2024-04-11 00:31:00,15
INV0000319,HTL0107,23,True,,2024-03-23 03:28:00,12
INV0000320,HTL0064,19,True,,2024-05-02 19:34:00,18
INV0000321,HTL0045,19,True,,2024-06-03 17:49:00,23
INV0000322,HTL0055,41,True,,2024-04-24 20:49:00,17
INV0000323,HTL0045,42,True,,2024-06-24 09:35:00,26
INV0000324,HTL0069,4,True,,2024-05-18 00:21:00,20
INV0000325,HTL0020,19,True,,2024-01-06 04:50:00,1
INV0000326,HTL0067,15,True,,2024-02-19 00:17:00,8
INV0000327,HTL0001,18,True,,2024-03-31 21:03:00,13
INV0000328,HTL0082,11,True,,2024-06-18 19:38:00,25
INV0000329,HTL0001,16,True,,2024-02-22 15:07:00,8
INV0000330,HTL0077,33,True,,2024-05-13 11:51:00,20
INV0000331,HTL0076,26,True,,2024-04-18 07:29:00,16
INV0000332,HTL0113,40,True,,2024-04-25 15:28:00,17
INV0000333,HTL0005,25,True,,2024-01-28 22:52:00,4
INV0000334,HTL0022,49,True,,2024-02-20 11:55:00,8
INV0000335,HTL0016,33,True,,2024-03-03 12:57:00,9
INV0000336,HTL0013,20,True,,2024-05-22 08:18:00,21
INV0000337,HTL0007,41,True,,2024-04-23 09:29:00,17
INV0000338,HTL0086,40,True,,2024-06-16 20:49:00,24
INV0000339,HTL0100,2,True,,2024-04-28 08:12:00,17
INV0000340,HTL0101,40,True,,2024-06-27 05:04:00,26
INV0000341,HTL0065,35,True,,2024-02-19 09:03:00,8
INV0000342,HTL0089,28,True,,2024-02-12 07:23:00,7
INV0000343,HTL0039,44,True,,2024-06-09 01:41:00,23
INV0000344,HTL0093,18,True,,2024-01-22 15:02:00,4
INV0000345,HTL0025,20,True,,2024-05-18 21:39:00,20
INV0000346,HTL0113,11,True,,2024-06-06 21:20:00,23
INV0000347,HTL0063,43,True,,2024-02-20 22:52:00,8
INV0000348,HTL0058,22,True,,2024-06-16 08:22:00,24
INV0000349,HTL0110,46,True,,2024-06-17 21:00:00,25
INV0000350,HTL0025,27,True,,2024-03-27 10:38:00,13
INV0000351,HTL0105,11,True,,2024-04-21 15:26:00,16
INV0000352,HTL0021,1,True,,2024-05-08 12:24:00,19
INV0000353,HTL0001,29,True,,2024-01-29 15:34:00,5
INV0000354,HTL0099,11,True,,2024-04-03 11:57:00,14
INV0000355,HTL0022,38,True,,2024-04-24 09:06:00,17
INV0000356,HTL0078,38,True,,2024-06-01 07:43:00,22
INV0000357,HTL0047,17,True,,2024-04-23 12:24:00,17
INV0000358,HTL0076,23,True,,2024-03-01 11:43:00,9
INV0000359,HTL0053,11,True,,2024-04-12 16:25:00,15
INV0000360,HTL0002,17,True,,2024-05-02 09:51:00,18
INV0000361,HTL0003,5,True,,2024-02-19 20:20:00,8
INV0000362,HTL0097,7,True,,2024-06-18 08:19:00,25
INV0000363,HTL0080,48,True,,2024-06-30 20:42:00,26
INV0000364,HTL0050,14,True,,2024-06-15 20:17:00,24
INV0000365,HTL0110,43,True,,2024-06-03 17:23:00,23
INV0000366,HTL0018,6,True,,2024-06-19 09:57:00,25
INV0000367,HTL0008,28,True,,2024-04-30 12:19:00,18
INV0000368,HTL0107,24,True,,2024-03-08 06:30:00,10
INV0000369,HTL0023,12,True,,2024-02-21 13:03:00,8
INV0000370,HTL0030,31,True,,2024-03-25 13:11:00,13
INV0000371,HTL0015,11,True,,2024-04-01 16:48:00,14
INV0000372,HTL0110,47,True,,2024-03-13 03:54:00,11
INV0000373,HTL0031,24,True,,2024-03-06 16:31:00,10
INV0000374,HTL0007,18,True,,2024-01-28 06:08:00,4
INV0000375,HTL0008,41,True,,2024-04-22 03:51:00,17
INV0000376,HTL0063,15,True,,2024-05-01 04:42:00,18
INV0000377,HTL0084,11,False,api_error,2024-03-15 09:24:00,11
INV0000378,HTL0027,34,True,,2024-01-26 10:25:00,4
INV0000379,HTL0116,35,True,,2024-04-23 12:17:00,17
INV0000380,HTL0009,23,True,,2024-04-23 21:11:00,17
INV0000381,HTL0024,32,True,,2024-02-11 05:58:00,6
INV0000382,HTL0001,35,True,,2024-01-09 10:40:00,2
INV0000383,HTL0085,3,True,,2024-05-06 01:09:00,19
INV0000384,HTL0111,34,True,,2024-03-03 13:51:00,9
INV0000385,HTL0007,49,True,,2024-06-04 17:18:00,23
INV0000386,HTL0091,49,True,,2024-06-14 03:50:00,24
INV0000387,HTL0043,7,True,,2024-03-18 04:09:00,12
INV0000388,HTL0059,7,True,,2024-01-12 10:51:00,2
INV0000389,HTL0049,6,True,,2024-06-04 16:49:00,23
INV0000390,HTL0110,39,True,,2024-06-27 15:52:00,26
INV0000391,HTL0048,24,True,,2024-06-15 10:06:00,24
INV0000392,HTL0029,47,True,,2024-05-23 15:02:00,21
INV0000393,HTL0067,34,True,,2024-01-20 19:33:00,3
INV0000394,HTL0024,14,True,,2024-02-14 14:49:00,7
INV0000395,HTL0021,17,True,,2024-06-09 07:14:00,23
INV0000396,HTL0031,10,True,,2024-01-14 23:19:00,2
INV0000397,HTL0090,29,True,,2024-06-15 15:26:00,24
INV0000398,HTL0021,28,True,,2024-01-26 14:37:00,4
INV0000399,HTL0111,22,True,,2024-05-14 12:09:00,20
INV0000400,HTL0048,33,True,,2024-02-21 05:50:00,8
INV0000401,HTL0014,18,True,,2024-05-10 09:08:00,19
INV0000402,HTL0028,15,True,,2024-04-29 18:37:00,18
INV0000403,HTL0107,5,True,,2024-01-28 10:32:00,4
INV0000404,HTL0011,40,True,,2024-05-16 20:40:00,20
INV0000405,HTL0061,14,True,,2024-02-26 23:32:00,9
INV0000406,HTL0017,8,True,,2024-06-27 12:49:00,26
INV0000407,HTL0093,28,True,,2024-05-08 18:35:00,19
INV0000408,HTL0011,41,True,,2024-02-10 06:37:00,6
INV0000409,HTL0025,1,True,,2024-02-19 12:43:00,8
INV0000410,HTL0055,46,True,,2024-01-16 17:29:00,3
INV0000411,HTL0096,32,True,,2024-05-26 10:43:00,21
INV0000412,HTL0026,37,True,,2024-01-29 13:38:00,5
INV0000413,HTL0007,22,True,,2024-05-23 10:07:00,21
INV0000414,HTL0013,12,True,,2024-04-24 15:07:00,17
INV0000415,HTL0055,19,True,,2024-06-15 16:32:00,24
INV0000416,HTL0014,6,True,,2024-05-19 18:30:00,20
INV0000417,HTL0002,16,True,,2024-05-29 09:22:00,22
INV0000418,HTL0013,20,True,,2024-02-19 07:11:00,8
INV0000419,HTL0037,27,True,,2024-02-27 04:21:00,9
INV0000420,HTL0070,29,True,,2024-04-09 02:48:00,15
INV0000421,HTL0069,22,True,,2024-06-18 00:40:00,25
INV0000422,HTL0111,20,True,,2024-05-19 23:06:00,20
INV0000423,HTL0080,48,True,,2024-04-13 09:57:00,15
INV0000424,HTL0009,0,False,no_inventory,2024-03-26 09:17:00,13
INV0000425,HTL0113,16,True,,2024-05-20 04:57:00,21
INV0000426,HTL0075,31,True,,2024-05-30 00:49:00,22
INV0000427,HTL0116,23,True,,2024-06-24 15:12:00,26
INV0000428,HTL0029,6,True,,2024-06-01 09:24:00,22
INV0000429,HTL0096,34,True,,2024-06-16 09:47:00,24
INV0000430,HTL0110,35,True,,2024-06-06 18:37:00,23
INV0000431,HTL0048,13,True,,2024-01-10 18:32:00,2
INV0000432,HTL0074,11,True,,2024-06-24 21:12:00,26
INV0000433,HTL0001,38,True,,2024-06-28 19:11:00,26
