payment_id,booking_id,payment_method,payment_status,amount,week_number
PAY0000235,BKG0000235,card,success,6138.52,6
PAY0000236,BKG0000236,card,success,37857.33,23
PAY0000237,BKG0000237,card,success,6508.83,11
PAY0000238,BKG0000238,card,success,44372.82,20
PAY0000239,BKG0000239,upi,failed,8488.89,23
PAY0000240,BKG0000240,card,success,5518.33,16
PAY0000241,BKG0000241,card,success,5014.72,1
PAY0000242,BKG0000242,upi,success,5149.54,12
PAY0000243,BKG0000243,upi,success,6192.76,7
PAY0000244,BKG0000244,card,success,52281.16,17
PAY0000245,BKG0000245,upi,success,5292.8,13
PAY0000246,BKG0000246,upi,success,6367.34,4
PAY0000247,BKG0000247,upi,success,11571.59,6
PAY0000248,BKG0000248,upi,success,3431.46,15
PAY0000249,BKG0000249,card,success,5114.5,3
PAY0000250,BKG0000250,card,success,3823.13,4
PAY0000251,BKG0000251,upi,success,6414.13,12
PAY0000252,BKG0000252,netbanking,success,5557.11,2
PAY0000253,BKG0000253,card,success,8528.89,14
PAY0000254,BKG0000254,upi,success,3069.49,11
PAY0000255,BKG0000255,upi,success,1924.44,21
PAY0000256,BKG0000256,netbanking,failed,15490.48,3
PAY0000257,BKG0000257,upi,success,5599.61,21
PAY0000258,BKG0000258,upi,success,21679.51,6
PAY0000259,BKG0000259,upi,success,5294.34,9
PAY0000260,BKG0000260,netbanking,success,3978.54,4
PAY0000261,BKG0000261,netbanking,success,4533.52,10
PAY0000262,BKG0000262,upi,success,4491.26,10
PAY0000263,BKG0000263,wallet,success,8282.75,9
PAY0000264,BKG0000264,upi,success,3930.16,18
PAY0000265,BKG0000265,upi,success,9705.38,1
PAY0000266,BKG0000266,upi,success,6570.67,19
PAY0000267,BKG0000267,upi,success,23598.4,3
PAY0000268,BKG0000268,card,success,13375.38,3
PAY0000269,BKG0000269,upi,success,3473.13,2
PAY0000270,BKG0000270,card,success,2707.45,6
PAY0000271,BKG0000271,upi,success,2856.64,6
PAY0000272,BKG0000272,upi,success,5257.42,8
PAY0000273,BKG0000273,upi,success,7602.92,3
PAY0000274,BKG0000274,wallet,success,28246.5,7
PAY0000275,BKG0000275,card,success,3367.76,26
PAY0000276,BKG0000276,upi,success,19237.27,14
PAY0000277,BKG0000277,upi,success,5024.02,10
PAY0000278,BKG0000278,card,success,5629.41,23
PAY0000279,BKG0000279,wallet,success,3761.81,1
PAY0000280,BKG0000280,wallet,success,16485.37,14
PAY0000281,BKG0000281,upi,success,9986.2,5
PAY0000282,BKG0000282,card,success,3448.99,13
PAY0000283,BKG0000283,card,success,4324.89,6
PAY0000284,BKG0000284,card,success,3731.79,19
PAY0000285,BKG0000285,card,success,21753.64,21
PAY0000286,BKG0000286,wallet,success,5073.78,8
PAY0000287,BKG0000287,card,success,7966.02,12
PAY0000288,BKG0000288,card,success,38323.2,19
PAY0000289,BKG0000289,netbanking,success,15722.97,20
PAY0000290,BKG0000290,netbanking,success,22253.91,19
PAY0000291,BKG0000291,upi,success,7248.23,22
PAY0000292,BKG0000292,wallet,success,20551.93,6
PAY0000293,BKG0000293,upi,success,3032.31,6
PAY0000294,BKG0000294,card,success,4615.02,12
PAY0000295,BKG0000295,upi,success,5510.46,6
PAY0000296,BKG0000296,upi,success,4111.91,23
PAY0000297,BKG0000297,upi,success,46100.72,19
PAY0000298,BKG0000298,upi,success,7981.67,25
PAY0000299,BKG0000299,netbanking,success,11385.44,6
PAY0000300,BKG0000300,upi,success,4442.0,10
PAY0000301,BKG0000301,upi,success,4917.61,22
PAY0000302,BKG0000302,upi,success,6550.4,21
PAY0000303,BKG0000303,upi,failed,6242.86,22
PAY0000304,BKG0000304,upi,success,4573.08,17
PAY0000305,BKG0000305,upi,failed,14714.54,23
PAY0000306,BKG0000306,upi,success,12613.11,1
PAY0000307,BKG0000307,upi,success,8521.08,24
PAY0000308,BKG0000308,card,success,4935.55,14
PAY0000309,BKG0000309,card,success,5008.33,14
PAY0000310,BKG0000310,upi,success,12816.07,4
PAY0000311,BKG0000311,card,success,2363.18,1
PAY0000312,BKG0000312,upi,success,8064.49,8
PAY0000313,BKG0000313,upi,success,4551.26,20
PAY0000314,BKG0000314,upi,success,4782.5,11
PAY0000315,BKG0000315,card,success,9402.8,13
PAY0000316,BKG0000316,card,success,4092.1,11
PAY0000317,BKG0000317,netbanking,success,32152.24,13
PAY0000318,BKG0000318,netbanking,success,15395.42,12
PAY0000319,BKG0000319,card,success,5807.9,19
PAY0000320,BKG0000320,card,success,5276.49,20
PAY0000321,BKG0000321,card,success,3598.31,9
PAY0000322,BKG0000322,upi,success,7244.44,8
PAY0000323,BKG0000323,upi,success,6663.72,17
PAY0000324,BKG0000324,upi,success,25459.31,19
PAY0000325,BKG0000325,card,failed,3801.05,4
PAY0000326,BKG0000326,card,success,2917.3,1
PAY0000327,BKG0000327,card,success,11775.39,3
PAY0000328,BKG0000328,wallet,success,4337.35,5
PAY0000329,BKG0000329,upi,success,56067.16,24
PAY0000330,BKG0000330,upi,success,6076.98,11
PAY0000331,BKG0000331,upi,failed,28508.12,5
PAY0000332,BKG0000332,netbanking,success,36102.88,1
PAY0000333,BKG0000333,card,success,13766.35,12
PAY0000334,BKG0000334,upi,success,3668.41,20
PAY0000335,BKG0000335,upi,success,5543.19,22
PAY0000336,BKG0000336,netbanking,success,7112.66,14
PAY0000337,BKG0000337,card,success,14136.6,13
PAY0000338,BKG0000338,card,success,3340.59,5
PAY0000339,BKG0000339,netbanking,success,51258.49,13
PAY0000340,BKG0000340,netbanking,success,5639.26,5
PAY0000341,BKG0000341,card,success,7837.15,3
PAY0000342,BKG0000342,card,success,17027.78,26
PAY0000343,BKG0000343,wallet,success,1651.87,12
PAY0000344,BKG0000344,card,success,4190.54,22
PAY0000345,BKG0000345,netbanking,failed,16235.29,18
PAY0000346,BKG0000346,netbanking,success,13836.3,8
PAY0000347,BKG0000347,upi,success,11578.56,8
PAY0000348,BKG0000348,card,success,3786.84,4
PAY0000349,BKG0000349,netbanking,success,6969.76,18
PAY0000350,BKG0000350,upi,failed,17265.14,4
PAY0000351,BKG0000351,card,success,25928.73,1
PAY0000352,BKG0000352,card,success,33685.91,23
PAY0000353,BKG0000353,card,success,13111.84,1
PAY0000354,BKG0000354,upi,success,7774.53,14
PAY0000355,BKG0000355,card,success,5950.45,3
PAY0000356,BKG0000356,upi,success,5887.01,3
PAY0000357,BKG0000357,card,success,13729.19,13
PAY0000358,BKG0000358,upi,success,4688.5,16
PAY0000359,BKG0000359,card,success,5444.09,9
PAY0000360,BKG0000360,upi,success,2986.12,4
PAY0000361,BKG0000361,upi,success,25044.96,8
PAY0000362,BKG0000362,wallet,failed,19709.7,19
PAY0000363,BKG0000363,netbanking,success,2652.28,21
PAY0000364,BKG0000364,wallet,success,2313.6,10
PAY0000365,BKG0000365,upi,success,18328.57,6
PAY0000366,BKG0000366,upi,success,16803.07,13
PAY0000367,BKG0000367,card,success,22139.69,8
PAY0000368,BKG0000368,card,success,26928.37,18
PAY0000369,BKG0000369,upi,success,6860.6,2
PAY0000370,BKG0000370,upi,success,20519.98,2
PAY0000371,BKG0000371,upi,success,5205.75,14
PAY0000372,BKG0000372,netbanking,success,1797.11,1
PAY0000373,BKG0000373,card,success,3197.12,24
PAY0000374,BKG0000374,upi,success,2441.26,9
PAY0000375,BKG0000375,upi,failed,8373.38,19
PAY0000376,BKG0000376,card,success,5842.22,22
PAY0000377,BKG0000377,netbanking,success,4904.41,10
PAY0000378,BKG0000378,upi,success,11253.69,17
PAY0000379,BKG0000379,wallet,success,4087.94,11
PAY0000380,BKG0000380,card,success,16744.83,17
PAY0000381,BKG0000381,upi,success,5102.28,14
PAY0000382,BKG0000382,netbanking,success,11369.24,23
PAY0000383,BKG0000383,upi,success,6111.82,26
PAY0000384,BKG0000384,upi,success,22704.85,4
PAY0000385,BKG0000385,card,success,6005.4,12
PAY0000386,BKG0000386,upi,success,5256.82,7
PAY0000387,BKG0000387,upi,success,9549.29,25
PAY0000388,BKG0000388,wallet,success,18410.94,21
PAY0000389,BKG0000389,netbanking,success,7450.66,4
PAY0000390,BKG0000390,upi,success,4349.13,6
PAY0000391,BKG0000391,card,success,5832.76,2
PAY0000392,BKG0000392,upi,success,9093.95,6
PAY0000393,BKG0000393,wallet,success,13834.3,24
PAY0000394,BKG0000394,netbanking,failed,35193.24,14
PAY0000395,BKG0000395,netbanking,success,6486.8,13
PAY0000396,BKG0000396,netbanking,success,5711.41,13
PAY0000397,BKG0000397,upi,success,2987.47,16
PAY0000398,BKG0000398,upi,success,16925.04,17
PAY0000399,BKG0000399,card,failed,19222.09,22
PAY0000400,BKG0000400,wallet,success,28642.22,15
PAY0000401,BKG0000401,upi,success,17776.44,5
PAY0000402,BKG0000402,wallet,success,32987.29,19
PAY0000403,BKG0000403,netbanking,success,9070.59,9
PAY0000404,BKG0000404,wallet,success,4915.37,16
PAY0000405,BKG0000405,upi,success,10537.06,26
PAY0000406,BKG0000406,upi,success,4842.6,19
PAY0000407,BKG0000407,upi,success,2606.85,2
PAY0000408,BKG0000408,upi,success,3374.89,17
PAY0000409,BKG0000409,card,success,13095.7,25
PAY0000410,BKG0000410,card,success,8406.02,9
PAY0000411,BKG0000411,upi,success,13575.63,5
PAY0000412,BKG0000412,wallet,failed,1947.19,18
PAY0000413,BKG0000413,netbanking,success,15170.35,24
PAY0000414,BKG0000414,wallet,success,15545.2,13
PAY0000415,BKG0000415,upi,success,4284.78,3
PAY0000416,BKG0000416,card,success,9189.71,2
PAY0000417,BKG0000417,card,success,3928.71,11
PAY0000418,BKG0000418,upi,success,17408.0,25
PAY0000419,BKG0000419,wallet,success,10413.06,11
PAY0000420,BKG0000420,wallet,success,9174.96,7
PAY0000421,BKG0000421,netbanking,success,4649.58,7
PAY0000422,BKG0000422,upi,success,4458.64,4
PAY0000423,BKG0000423,netbanking,success,11133.53,6
PAY0000424,BKG0000424,upi,success,4372.86,4
PAY0000425,BKG0000425,upi,success,16565.09,2
PAY0000426,BKG0000426,card,success,3127.49,14
PAY0000427,BKG0000427,upi,success,4147.51,16
PAY0000428,BKG0000428,upi,success,15359.52,21
PAY0000429,BKG0000429,upi,success,38230.76,13
PAY0000430,BKG0000430,upi,success,16791.6,12
PAY0000431,BKG0000431,netbanking,success,37252.06,8
PAY0000432,BKG0000432,upi,success,15897.9,24
PAY0000433,BKG0000433,upi,success,12173.03,25
PAY0000434,BKG0000434,card,success,14111.83,16
PAY0000435,BKG0000435,upi,success,14091.9,3
PAY0000436,BKG0000436,upi,success,2586.87,4
PAY0000437,BKG0000437,wallet,success,26858.9,10
PAY0000438,BKG0000438,card,success,5705.56,11
PAY0000439,BKG0000439,upi,success,2693.61,6
PAY0000440,BKG0000440,card,success,5434.49,14
PAY0000441,BKG0000441,netbanking,success,3942.62,3
PAY0000442,BKG0000442,upi,success,8274.91,19
PAY0000443,BKG0000443,upi,success,3908.19,13
PAY0000444,BKG0000444,upi,success,5904.62,10
PAY0000445,BKG0000445,upi,success,19862.55,1
PAY0000446,BKG0000446,card,failed,8160.7,25
PAY0000447,BKG0000447,wallet,success,7060.2,5
PAY0000448,BKG0000448,card,success,9500.91,6
PAY0000449,BKG0000449,upi,success,4065.91,3
PAY0000450,BKG0000450,card,success,2165.58,17
PAY0000451,BKG0000451,netbanking,success,4034.44,18
PAY0000452,BKG0000452,netbanking,success,4638.83,12
PAY0000453,BKG0000453,card,success,2125.65,13
PAY0000454,BKG0000454,card,success,22181.27,20
PAY0000455,BKG0000455,wallet,success,22734.03,21
PAY0000456,BKG0000456,upi,success,2475.63,7
PAY0000457,BKG0000457,upi,success,6636.77,17
PAY0000458,BKG0000458,card,success,3894.27,11
PAY0000459,BKG0000459,netbanking,success,5212.02,12
PAY0000460,BKG0000460,wallet,success,50769.64,16
PAY0000461,BKG0000461,netbanking,success,28452.19,15
PAY0000462,BKG0000462,upi,success,16382.06,12
PAY0000463,BKG0000463,netbanking,success,13793.44,11
PAY0000464,BKG0000464,upi,success,2961.79,25
PAY0000465,BKG0000465,wallet,success,4208.48,10
PAY0000466,BKG0000466,card,success,3829.36,11
PAY0000467,BKG0000467,card,success,4432.36,18
PAY0000468,BKG0000468,upi,success,2311.33,13
PAY0000469,BKG0000469,wallet,success,16136.66,11
PAY0000470,BKG0000470,wallet,success,13159.7,26
PAY0000471,BKG0000471,card,success,2068.2,26
PAY0000472,BKG0000472,netbanking,success,12565.28,8
PAY0000473,BKG0000473,upi,success,4839.29,18
PAY0000474,BKG0000474,card,success,22481.39,3
PAY0000475,BKG0000475,upi,success,5555.79,8
PAY0000476,BKG0000476,upi,failed,5029.48,9
PAY0000477,BKG0000477,upi,success,3494.69,1
PAY0000478,BKG0000478,upi,failed,5096.73,2
PAY0000479,BKG0000479,wallet,success,4546.65,3
PAY0000480,BKG0000480,netbanking,failed,3934.36,24
PAY0000481,BKG0000481,upi,success,19290.83,22
PAY0000482,BKG0000482,upi,success,4878.18,14
PAY0000483,BKG0000483,upi,success,3269.84,7
PAY0000484,BKG0000484,upi,success,9796.05,7
PAY0000485,BKG0000485,card,success,6897.84,15
PAY0000486,BKG0000486,upi,success,3856.81,10
PAY0000487,BKG0000487,upi,success,6510.45,17
PAY0000488,BKG0000488,card,success,3682.47,10
PAY0000489,BKG0000489,upi,success,51975.33,17
PAY0000490,BKG0000490,upi,success,40112.52,13
PAY0000491,BKG0000491,netbanking,success,24994.31,18
PAY0000492,BKG0000492,card,success,7202.27,9
PAY0000493,BKG0000493,card,success,3706.14,8
PAY0000494,BKG0000494,card,success,4303.99,10
PAY0000495,BKG0000495,upi,success,11916.06,15
PAY0000496,BKG0000496,upi,success,7549.46,7
PAY0000497,BKG0000497,card,success,35011.18,24
PAY0000498,BKG0000498,card,success,11181.12,12
PAY0000499,BKG0000499,netbanking,success,1553.83,11
PAY0000500,BKG0000500,upi,success,8944.48,22
PAY0000501,BKG0000501,card,success,4716.48,7
PAY0000502,BKG0000502,netbanking,success,6621.71,1
PAY0000503,BKG0000503,card,success,7754.52,15
PAY0000504,BKG0000504,upi,success,13993.31,3
PAY0000505,BKG0000505,card,success,24190.45,7
PAY0000506,BKG0000506,upi,success,5254.75,11
PAY0000507,BKG0000507,card,success,4997.36,24
PAY0000508,BKG0000508,card,success,3549.65,4
PAY0000509,BKG0000509,upi,success,5910.73,16
PAY0000510,BKG0000510,card,success,16809.83,2
PAY0000511,BKG0000511,upi,success,9036.55,11
PAY0000512,BKG0000512,upi,success,7242.47,15
PAY0000513,BKG0000513,netbanking,success,10243.25,10
PAY0000514,BKG0000514,netbanking,success,9420.03,22
PAY0000515,BKG0000515,netbanking,success,3853.29,14
PAY0000516,BKG0000516,wallet,success,36747.7,6
PAY0000517,BKG0000517,netbanking,failed,14288.46,21
PAY0000518,BKG0000518,card,success,19240.1,19
PAY0000519,BKG0000519,upi,success,3793.09,23
PAY0000520,BKG0000520,upi,success,6148.98,11
PAY0000521,BKG0000521,wallet,success,38451.1,2
PAY0000522,BKG0000522,upi,success,18735.76,19
PAY0000523,BKG0000523,netbanking,success,4305.46,4
PAY0000524,BKG0000524,upi,success,3668.99,26
PAY0000525,BKG0000525,card,success,22631.77,20
PAY0000526,BKG0000526,netbanking,success,3739.21,2
PAY0000527,BKG0000527,card,success,5514.7,8
PAY0000528,BKG0000528,upi,success,32980.12,18
PAY0000529,BKG0000529,netbanking,success,4532.89,16
PAY0000530,BKG0000530,upi,success,3779.82,6
PAY0000531,BKG0000531,netbanking,success,5238.28,19
PAY0000532,BKG0000532,card,success,5688.82,25
